Ankunft,Zugnr.,von (Abfahrt),Gleis
01:42,RE 73752,Erkner (ab 01:16),2
04:26,RE 3101,Berlin Ostkreuz (ab 04:16),2
04:55,RE 94716,Erkner (ab 04:24),2
05:28,RE 3103,Cottbus Hbf (ab 04:00),2
05:53,RE 94718,Eisenhüttenstadt (ab 04:21),2
06:05,RE 94713,Berlin Zoologischer Garten (ab 05:52),1
06:07,RB 93009,Lübben(Spreewald) (ab 05:00),2
06:28,RE 3105,Cottbus Hbf (ab 04:57),2
06:31,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:51 (+1),RE 3706,Dessau Hbf (ab 05:05),1
06:53,RE 94720,Frankfurt(Oder) (ab 05:42),2
07:05,RE 94715,Berlin Zoologischer Garten (ab 06:52),1
07:07,RE 3711,Senftenberg (ab 05:11),2
07:28,RE 3107,Cottbus Hbf (ab 06:07),2
07:31,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:42,RB 18146,Berlin Ostbahnhof (ab 07:39),2
07:51 (+1),RE 3708,Dessau Hbf (ab 06:05),1
08:05,RE 94717,Berlin Zoologischer Garten (ab 07:52),1
08:07 (+2),RE 3713,Senftenberg (ab 06:14),2
08:16,RB 18145,Berlin-Wannsee (ab 07:51),1
08:28,RE 3109,Cottbus Hbf (ab 07:03),2
08:31,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:42,RB 18148,Berlin Ostbahnhof (ab 08:39),2
08:51 (+12),RE 3710,Dessau Hbf (ab 07:05),1
09:05,RE 94719,Berlin Zoologischer Garten (ab 08:52),1
09:07 (+1),RE 3715,Senftenberg (ab 07:14),2
09:16,RB 18147,Berlin-Wannsee (ab 08:51),1
09:28,RE 3111,Cottbus Hbf (ab 08:04),2
09:31,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:42,RB 18150,Berlin Ostbahnhof (ab 09:39),2
09:51 (+2),RE 3712,Dessau Hbf (ab 08:05),1
10:05,RE 94721,Berlin Zoologischer Garten (ab 09:52),1
10:07 (+17),RE 3717,Senftenberg (ab 08:14),2
10:16,RB 18149,Berlin-Wannsee (ab 09:51),1
10:31,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:31,RE 3113,Cottbus Hbf (ab 09:03),2
10:51 (+1),RE 3714,Dessau Hbf (ab 09:05),1
10:53,RE 94728,Frankfurt(Oder) (ab 09:38),2
11:07 (+1),RE 3719,Senftenberg (ab 09:14),2
11:28,RE 3115,Cottbus Hbf (ab 10:03),2
11:31,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:51 (+2),RE 3716,Dessau Hbf (ab 10:05),1
12:05,RE 94725,Berlin Zoologischer Garten (ab 11:52),1
12:07 (+4),RE 3721,Senftenberg (ab 10:14),2
12:28,RE 3117,Cottbus Hbf (ab 11:03),2
12:31 (+11),RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:51 (+1),RE 3718,Dessau Hbf (ab 11:05),1
12:53,RE 94732,Frankfurt(Oder) (ab 11:38),2
13:05,RE 94727,Berlin Zoologischer Garten (ab 12:52),
13:07 (+7),RE 3723,Senftenberg (ab 11:14),2
13:28 (+6),RE 3119,Cottbus Hbf (ab 12:03),2
13:31 (+2),RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:51 (+4),RE 3720,Dessau Hbf (ab 12:05),1
13:53,RE 94734,Frankfurt(Oder) (ab 12:38),
14:05,RE 94729,Berlin Zoologischer Garten (ab 13:52),
14:07 (+6),RE 3725,Senftenberg (ab 12:14),2
14:29,RE 3121,Cottbus Hbf (ab 13:03),2
14:31,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:42,RB 18160,Berlin Ostbahnhof (ab 14:39),2
14:51 (+2),RE 3722,Dessau Hbf (ab 13:05),1
14:53,RE 94736,Frankfurt(Oder) (ab 13:38),
15:05,RE 94731,Berlin Zoologischer Garten (ab 14:52),1
15:07 (+14),RE 3727,Senftenberg (ab 13:14),2
15:16,RB 18159,Berlin-Wannsee (ab 14:51),1
15:28 (+11),RE 3123,Cottbus Hbf (ab 14:03),2
15:31,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:42,RB 18162,Berlin Ostbahnhof (ab 15:39),2
15:51 (+1),RE 3724,Dessau Hbf (ab 14:05),1
