Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:20,00:20,RE 3745,Senftenberg (ab 22:26),2
01:49,01:49,RB 21969,Eisenach Hbf (ab 12:13),1
04:55,04:55,RE 94716,Frankfurt(Oder) (ab 03:38),2
05:28,05:28,RE 3103,Cottbus Hbf (ab 04:00),2
05:51,05:51,RE 3704,Dessau Hbf (ab 04:05),1
05:53,05:53,RE 94718,Eisenhüttenstadt (ab 04:21),2
06:05,06:05,RE 94713,Berlin-Wannsee (ab 05:39),1
06:15,06:15,RE 94760,Frankfurt(Oder) (ab 05:08),2
06:28,06:28,RE 3105,Cottbus Hbf (ab 04:57),2
06:31,06:31,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:51 (+18),07:09,RE 3706,Dessau Hbf (ab 05:05),1
06:53,06:53,RE 94720,Frankfurt(Oder) (ab 05:42),2
07:07,07:07,RE 3711,Senftenberg (ab 05:11),2
07:28,07:28,RE 3107,Cottbus Hbf (ab 06:07),2
07:31,07:31,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:51 (+11),08:02,RE 3708,Dessau Hbf (ab 06:05),1
08:05,08:05,RE 94717,Berlin-Wannsee (ab 07:39),1
08:07,08:07,RE 3713,Senftenberg (ab 06:14),2
08:28,08:28,RE 3109,Cottbus Hbf (ab 07:03),2
08:31,08:31,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:51,08:51,RE 3710,Dessau Hbf (ab 07:05),1
09:05,09:05,RE 94719,Berlin-Wannsee (ab 08:39),1
09:07 (+8),09:15,RE 3715,Senftenberg (ab 07:14),2
09:28,09:28,RE 3111,Cottbus Hbf (ab 08:04),2
09:31,09:31,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:42,09:42,RB 18150,Berlin Ostbahnhof (ab 09:39),2
09:51 (+3),09:54,RE 3712,Dessau Hbf (ab 08:05),1
10:07 (+2),10:09,RE 3717,Senftenberg (ab 08:14),2
10:15,10:15,RE 94768,Frankfurt(Oder) (ab 09:08),2
10:16,10:16,RB 18149,Potsdam Griebnitzsee (ab 09:46),1
10:28,10:28,RE 3113,Cottbus Hbf (ab 09:03),2
10:31 Ausfall,--:--,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:51 (+8),10:59,RE 3714,Dessau Hbf (ab 09:05),1
10:53,10:53,RE 94728,Frankfurt(Oder) (ab 09:38),2
11:07,11:07,RE 3719,Senftenberg (ab 09:14),2
11:28,11:28,RE 3115,Cottbus Hbf (ab 10:03),2
11:31,11:31,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:51 (+12),12:03,RE 3716,Dessau Hbf (ab 10:05),1
12:07,12:07,RE 3721,Senftenberg (ab 10:14),2
12:28,12:28,RE 3117,Cottbus Hbf (ab 11:03),2
12:31 (+1),12:32,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:51 (+19),13:10,RE 3718,Dessau Hbf (ab 11:05),1
13:07,13:07,RE 3723,Senftenberg (ab 11:14),2
13:28,13:28,RE 3119,Cottbus Hbf (ab 12:03),2
13:31,13:31,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:51 (+3),13:54,RE 3720,Dessau Hbf (ab 12:05),
13:53 (+1),13:54,RE 94734,Frankfurt(Oder) (ab 12:38),
14:05,14:05,RE 94729,Berlin-Wannsee (ab 13:39),
14:07 (+4),14:11,RE 3725,Senftenberg (ab 12:14),2
14:15,14:15,RE 94776,Frankfurt(Oder) (ab 13:07),
14:28 (+4),14:32,RE 3121,Cottbus Hbf (ab 13:03),2
14:31 (+7),14:38,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:42,14:42,RE 94771,Potsdam Hbf (ab 14:10),
14:51 (+10),15:01,RE 3722,Dessau Hbf (ab 13:05),
15:05,15:05,RE 94731,Berlin-Wannsee (ab 14:39),1
15:07,15:07,RE 3727,Senftenberg (ab 13:14),2
15:28,15:28,RE 3123,Cottbus Hbf (ab 14:03),2
15:31,15:31,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
16:15,16:15,RB 94780,Frankfurt(Oder) (ab 15:07),2
16:31,16:31,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),1
16:51,16:51,RE 3726,Dessau Hbf (ab 15:05),1
17:07,17:07,RE 3731,Senftenberg (ab 15:14),2
17:16,17:16,RB 18163,Potsdam Griebnitzsee (ab 16:46),1
17:28,17:28,RE 3127,Cottbus Hbf (ab 16:03),2
17:31,17:31,RE 3126,Hennigsdorf(b Berlin) (ab 16:35),1
17:51,17:51,RE 3728,Dessau Hbf (ab 16:05),1
18:07,18:07,RE 3733,Senftenberg (ab 16:14),2
18:16,18:16,RB 18165,Potsdam Griebnitzsee (ab 17:46),1
18:28,18:28,RE 3129,Cottbus Hbf (ab 17:03),2
18:31,18:31,RE 3128,Hennigsdorf(b Berlin) (ab 17:35),1
18:51,18:51,RE 3730,Dessau Hbf (ab 17:05),1
19:07,19:07,RE 3735,Senftenberg (ab 17:14),2
19:28,19:28,RE 3131,Cottbus Hbf (ab 18:03),2
19:31,19:31,RE 3130,Hennigsdorf(b Berlin) (ab 18:35),1
19:51,19:51,RE 3732,Dessau Hbf (ab 18:05),1
20:07,20:07,RE 3737,Senftenberg (ab 18:14),2
20:28,20:28,RE 3133,Cottbus Hbf (ab 19:03),2
20:31,20:31,RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:51,20:51,RE 3734,Dessau Hbf (ab 19:05),1
20:56,20:56,RB 80439,Thale Hbf (ab 17:17),1
21:07,21:07,RE 3739,Senftenberg (ab 19:14),2
21:28,21:28,RE 3135,Cottbus Hbf (ab 20:03),2
21:31,21:31,RE 3134,Hennigsdorf(b Berlin) (ab 20:35),1
21:51,21:51,RE 3736,Dessau Hbf (ab 20:05),1
22:09,22:09,RE 3741,Senftenberg (ab 20:14),2
22:47,22:47,RE 3137,Cottbus Hbf (ab 20:58),2
22:51,22:51,RE 3738,Dessau Hbf (ab 21:05),1
22:59,22:59,RE 3136,Hennigsdorf(b Berlin) (ab 22:02),1
23:07,23:07,RE 3743,Berlin Ostbahnhof (ab 23:04),2
23:36,23:36,RB 21958,Flughafen BER (ab 23:10),2
23:51,23:51,RE 3740,Dessau Hbf (ab 22:05),1
23:54,23:54,RE 3139,Cottbus Hbf (ab 21:58),2
