Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:09,RE 62045,Berlin Hbf (an 00:14),Berlin Alexanderplatz
00:21,RE 3745,Groß Köris (an 23:38),Berlin Alexanderplatz
00:21,RE 7,Berlin-Wannsee (an 00:48),Berlin Alexanderplatz
00:28,FEX19878,Berlin Hbf (an 00:33),Berlin Alexanderplatz
00:34,RE 73797,Berlin-Wannsee (an 01:02),Berlin Alexanderplatz
00:43,RE 3141,Groß Köris (an 23:59),Berlin Alexanderplatz
01:07,RE 62041,Berlin Hbf (an 01:13),Berlin Alexanderplatz
01:34,RE 73753,Berlin Zoologischer Garten (an 01:46),Berlin Alexanderplatz
01:40,FEX19880,Berlin-Charlottenburg (an 01:55),Berlin Alexanderplatz
02:06,RE 62047,Berlin Hbf (an 02:12),Berlin Alexanderplatz
03:05,RE 62043,Berlin Hbf (an 03:11),Berlin Alexanderplatz
03:21,FEX19801,Berlin Ostkreuz (an 03:29),Berlin Alexanderplatz
03:35 (+4),FEX19803,Berlin Ostkreuz (an 03:42),Berlin Alexanderplatz
04:03,RE 3700,Senftenberg (an 05:39),Berlin Alexanderplatz
04:03,RE 3705,Berlin-Wannsee (an 04:33),Berlin Alexanderplatz
04:08,RE 62001,Berlin Hbf (an 04:14),Berlin Alexanderplatz
04:18,RE 73752,Frankfurt(Oder) (an 05:31),Berlin Alexanderplatz
04:27 (+38),RE 3101,Hennigsdorf(b Berlin) (an 05:23),Berlin Alexanderplatz
04:34,RE 73757,Brandenburg Hbf (an 05:38),Berlin Alexanderplatz
04:40,RE 73800,Eisenhüttenstadt (an 06:05),Berlin Alexanderplatz
04:54,RE 33646,Brandenburg Hbf (an 05:53),Berlin Alexanderplatz
04:54,RE 73717,Magdeburg Hbf (an 06:47),Berlin Alexanderplatz
05:06,RE 3707,Beelitz-Heilstätten (an 05:55),Berlin Alexanderplatz
05:11,RE 62003,Berlin-Spandau (an 05:35),Berlin Alexanderplatz
05:21,RE 73754,Frankfurt(Oder) (an 06:33),Berlin Alexanderplatz
05:30 (+3),RE 3102,Lübbenau(Spreewald) (an 06:32),Berlin Alexanderplatz
05:32 (+10),RE 3103,Berlin-Spandau (an 05:57),Berlin Alexanderplatz
05:34,RE 33717,Nürnberg Hbf (an 09:48),Berlin Alexanderplatz
05:34,RE 73759,Brandenburg Hbf (an 06:38),Berlin Alexanderplatz
05:39,RE 62000,Flughafen BER (an 06:11),Berlin Alexanderplatz
05:54,RE 3704,Senftenberg (an 07:41),Berlin Alexanderplatz
05:54,RE 73719,Magdeburg Hbf (an 07:47),Berlin Alexanderplatz
06:02,RE 73714,Frankfurt(Oder) (an 07:05),Berlin Alexanderplatz
06:06 (+18),RE 3709,Beelitz-Heilstätten (an 06:55),Berlin Alexanderplatz
06:11,RE 62005,Elstal (an 06:52),Berlin Alexanderplatz
06:12,RE 18754,Lübbenau(Spreewald) (an 07:15),Berlin Alexanderplatz
06:16,RB 18143,Flughafen BER (an 06:46),Berlin Alexanderplatz
