Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:06,RE 94749,Erkner (an 00:31),1
00:10,FEX,Bruchsal (an 18:05),
00:21,RE 7,Rendsburg (an 23:58),
00:43 (+1),RE 3141,Berlin-Charlottenburg (an 01:00),2
00:48,RB 94796,Berlin Zoologischer Garten (an 01:01),
00:48,RE 1,Koblenz Hbf (an 22:57),
00:48,RE 91367,Potsdam Hbf (an 01:22),
00:58,RB 21968,Berlin Zoologischer Garten (an 01:09),
01:00 (+1),RE 3140,Cottbus Hbf (an 02:40),1
01:43,RB 94752,Berlin Hbf (an 01:48),
01:43,RE 73752,Berlin-Wannsee (an 03:10),
01:49,RE 21800,Berlin Zoologischer Garten (an 03:00),
02:23,RE 3701,Berlin Hbf (an 03:29),
02:23,RE 3703,Berlin-Wannsee (an 03:48),
02:49,RB 21802,Berlin Zoologischer Garten (an 03:00),
03:00,RE 94754,Berlin Hbf (an 03:05),
04:08,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:17,RE 73751,Frankfurt(Oder) (an 05:29),
04:17 (+1),RE 94751,Berlin Ostkreuz (an 04:25),
04:27,RE 2,Dresden Hbf (an 18:33),
04:27,RE 3101,Berlin-Spandau (an 04:53),
04:32,RE 94756,Berlin Zoologischer Garten (an 04:44),
04:37,RE 73801,Frankfurt(Oder) (an 05:36),
04:38,RE 21806,Berlin Zoologischer Garten (an 04:49),
04:46,RE 21813,Flughafen BER (an 05:14),
04:56,RE 94716,Berlin-Wannsee (an 05:21),2
05:08,RE 3707,Potsdam-Rehbrücke (an 05:43),
05:16,RE 93759,Potsdam Hbf (an 05:51),
05:16,RE 94758,Potsdam Hbf (an 05:51),
05:17,RE 21817,Flughafen BER (an 05:45),
05:22,RB 94753,Berlin Ostkreuz (an 05:30),
05:22,RE 93754,Frankfurt(Oder) (an 06:35),
05:29,RE 3103,Hennigsdorf(b Berlin) (an 06:23),2
05:29,RE 92303,Berlin-Spandau (an 05:54),
05:33,RE 3102,Cottbus Hbf (an 06:56),1
05:52 (+21),RE 3704,Senftenberg (an 07:41),1
05:54,RE 93719,Berlin-Wannsee (an 06:20),
05:54,RE 94718,Berlin-Wannsee (an 06:20),2
06:06,RE 94713,Frankfurt(Oder) (an 07:18),1
06:08,RE 3709,Berlin Zoologischer Garten (an 06:20),
06:16,RE 94760,Potsdam Hbf (an 06:51),2
06:29,RE 3105,Hennigsdorf(b Berlin) (an 07:23),2
06:33,RE 3104,Cottbus Hbf (an 07:57),1
06:43,RE 94755,Frankfurt(Oder) (an 07:47),
06:53,RE 3706,Lübbenau(Spreewald) (an 08:03),1
06:54,RE 92078,Berlin-Wannsee (an 07:20),
06:54,RE 94720,Berlin-Wannsee (an 07:20),2
07:06,RE 94715,Frankfurt(Oder) (an 08:20),1
07:08 (+22),RE 3711,Dessau Hbf (an 08:53),2
07:16,RE 75851,Potsdam Hbf (an 07:51),
07:16,RE 94762,Berlin Hbf (an 07:22),
07:29,RE 3107,Hennigsdorf(b Berlin) (an 08:23),2
07:33,RE 3106,Cottbus Hbf (an 08:56),1
07:43,RE 94757,Berlin Ostkreuz (an 07:51),
07:53,RE 3708,Senftenberg (an 09:41),1
07:54,RE 33682,Berlin-Wannsee (an 08:20),
07:54,RE 94722,Berlin Hbf (an 07:59),
08:08,RE 3713,Dessau Hbf (an 09:53),2
08:16,RB 94764,Berlin Hbf (an 08:22),
08:16,RE 75853,Potsdam Hbf (an 08:51),
08:29,RE 3109,Hennigsdorf(b Berlin) (an 09:23),2
08:33,RE 3108,Cottbus Hbf (an 09:55),1
08:53 (+1),RE 3710,Senftenberg (an 10:41),1
08:54,RE 33684,Berlin-Wannsee (an 09:20),
08:54,RE 94724,Berlin-Wannsee (an 09:20),
09:08,RE 3715,Dessau Hbf (an 10:53),2
09:16,RE 75855,Potsdam Hbf (an 09:51),
09:16,RE 94766,Berlin-Wannsee (an 09:41),
09:29,RE 3111,Hennigsdorf(b Berlin) (an 10:23),2
09:33,RE 3110,Cottbus Hbf (an 10:55),1
09:53,RE 3712,Senftenberg (an 11:41),1
09:54,RE 33686,Berlin-Wannsee (an 10:20),
09:54,RE 94726,Berlin-Wannsee (an 10:20),
10:08,RE 3717,Potsdam-Rehbrücke (an 10:43),
10:16,RE 75857,Potsdam Hbf (an 10:51),
10:16,RE 94768,Berlin-Wannsee (an 10:41),
10:29,RE 3113,Hennigsdorf(b Berlin) (an 11:23),2
10:33,RE 3112,Cottbus Hbf (an 11:55),1
10:53 (+9),RE 3714,Senftenberg (an 12:41),1
10:54,RE 33688,Berlin-Wannsee (an 11:20),
10:54,RE 94728,Berlin-Wannsee (an 11:20),
11:08 (+3),RE 3719,Dessau Hbf (an 12:53),2
11:16,RE 92646,Potsdam Hbf (an 11:51),
11:16,RE 94770,Berlin Hbf (an 11:22),
11:29,RE 3115,Hennigsdorf(b Berlin) (an 12:23),2
11:53,RE 3716,Senftenberg (an 13:41),1
11:54,RE 33690,Berlin-Wannsee (an 12:20),
11:54,RE 94730,Berlin-Wannsee (an 12:20),
12:08 (+1),RE 3721,Dessau Hbf (an 13:53),2
12:16,RB 94772,Potsdam Hbf (an 12:51),
12:16,RE 94772,Potsdam Hbf (an 12:51),
12:29,RE 3117,Hennigsdorf(b Berlin) (an 13:23),2
12:33,RE 3116,Cottbus Hbf (an 13:55),1
12:53,RE 3718,Senftenberg (an 14:41),1
12:54,RE 33692,Berlin-Wannsee (an 13:20),
12:54,RE 94732,Berlin-Wannsee (an 13:20),
13:08,RE 3723,Dessau Hbf (an 14:53),2
13:16,RE 94774,Potsdam Hbf (an 13:51),
13:29,RE 3119,Hennigsdorf(b Berlin) (an 14:23),2
13:33,RE 3118,Cottbus Hbf (an 14:55),1
13:43,RE 94769,Berlin Ostkreuz (an 13:51),
13:53 (+1),RE 3720,Senftenberg (an 15:41),1
13:54,RE 92654,Berlin-Wannsee (an 14:20),
13:54,RE 94734,Berlin-Wannsee (an 14:20),
14:06,RE 94729,Berlin Ostkreuz (an 14:14),
14:08,RE 3725,Dessau Hbf (an 15:53),2
14:16,RE 73835,Potsdam Hbf (an 14:51),
14:16,RE 94776,Potsdam Hbf (an 14:51),2
14:29,RE 3121,Hennigsdorf(b Berlin) (an 15:23),2
14:33,RE 3120,Cottbus Hbf (an 15:55),1
14:53,RE 3722,Senftenberg (an 16:41),1
14:54,RE 33696,Berlin-Wannsee (an 15:20),
14:54,RE 94736,Berlin-Wannsee (an 15:20),
15:08 (+2),RE 3727,Dessau Hbf (an 16:53),2
15:16,RE 92642,Potsdam Hbf (an 15:51),
15:16,RE 94778,Potsdam Hbf (an 15:51),
15:29,RE 3123,Hennigsdorf(b Berlin) (an 16:23),2
15:33,RE 3122,Cottbus Hbf (an 16:55),1
15:53 (+2),RE 3724,Senftenberg (an 17:41),1
15:54,RB 94738,Berlin Hbf (an 15:59),
15:54,RE 92478,Berlin-Wannsee (an 16:20),
16:08 (+1),RE 3729,Dessau Hbf (an 17:53),2
16:16,RB 94780,Potsdam Hbf (an 16:51),2
16:16,RE 73839,Potsdam Hbf (an 16:51),
16:16,RE 75859,Potsdam Hbf (an 16:51),
16:29,RE 3125,Hennigsdorf(b Berlin) (an 17:23),2
16:33,RE 3124,Cottbus Hbf (an 17:55),1
16:53 (+2),RE 3726,Senftenberg (an 18:41),1
16:54,RB 94740,Berlin Hbf (an 16:59),
16:54,RE 94740,Berlin-Wannsee (an 17:20),
17:08 (+3),RE 3731,Dessau Hbf (an 18:53),2
17:16,RB 94782,Berlin-Wannsee (an 17:41),
17:16,RE 75861,Potsdam Hbf (an 17:51),
17:29,RE 3127,Hennigsdorf(b Berlin) (an 18:23),2
17:33,RE 3126,Cottbus Hbf (an 18:55),1
17:53 (+1),RE 3728,Senftenberg (an 19:41),1
17:54,RE 92496,Berlin-Wannsee (an 18:20),
17:54,RE 94742,Berlin-Wannsee (an 18:20),
18:08 (+2),RE 3733,Dessau Hbf (an 19:53),2
18:16,RE 73843,Potsdam Hbf (an 18:51),
18:16,RE 75863,Potsdam Hbf (an 18:51),
18:16,RE 94784,Berlin-Wannsee (an 18:41),
18:29,RE 3129,Hennigsdorf(b Berlin) (an 19:23),2
18:33 (+1),RE 3128,Cottbus Hbf (an 19:55),1
18:53 (+1),RE 3730,Senftenberg (an 20:41),1
18:54,RE 94744,Berlin-Wannsee (an 19:20),
19:08 (+9),RE 3735,Dessau Hbf (an 20:53),2
19:16,RB 94786,Potsdam Hbf (an 19:51),
19:16,RE 75865,Potsdam Hbf (an 19:51),
19:29 (+3),RE 3131,Hennigsdorf(b Berlin) (an 20:23),2
19:33 (+1),RE 3130,Cottbus Hbf (an 20:55),1
19:53,RE 3732,Senftenberg (an 21:41),1
19:54,RE 94746,Berlin-Wannsee (an 20:20),
20:08,RE 3737,Dessau Hbf (an 21:53),2
20:16,RE 94788,Potsdam Hbf (an 20:51),
20:29,RE 3133,Berlin-Spandau (an 20:54),
20:33 (+1),RE 3132,Cottbus Hbf (an 21:55),1
20:53 (+3),RE 3734,Lübbenau(Spreewald) (an 22:04),1
20:54,RE 94748,Berlin-Wannsee (an 21:20),
21:08 (+1),RE 3739,Dessau Hbf (an 22:53),2
21:29,RE 3135,Hennigsdorf(b Berlin) (an 22:25),2
21:33,RE 3134,Cottbus Hbf (an 22:55),1
21:48,RE 91491,Potsdam Hbf (an 22:22),
21:48,RE 94790,Berlin-Wannsee (an 22:14),
21:53,RE 3736,Lübbenau(Spreewald) (an 23:04),1
22:10,RE 3741,Bad Belzig (an 23:19),2
22:29,RE 3137,Hennigsdorf(b Berlin) (an 23:26),2
22:48,RB 94792,Berlin-Wannsee (an 23:14),
22:48,RE 91393,Potsdam Hbf (an 23:22),
23:00,RE 3136,Cottbus Hbf (an 00:40),1
23:06,RE 94747,Berlin Ostkreuz (an 23:14),
23:08,RE 3743,Dessau Hbf (an 00:53),2
23:29,RE 3139,Berlin-Charlottenburg (an 23:46),2
23:38,RB 21958,Berlin-Charlottenburg (an 23:54),2
23:48,RB 94794,Berlin-Wannsee (an 00:14),
23:48,RE 73795,Potsdam Hbf (an 00:23),
23:48,RE 91695,Berlin Hbf (an 23:53),
23:53,RE 3740,Berlin Ostbahnhof (an 23:56),1
23:59,RE 3138,Cottbus Hbf (an 01:40),1
