Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:06,00:06,RE 94749,Eisenhüttenstadt (an 01:41),1
00:10,00:10,RB 21962,Berlin Hbf (an 00:16),
00:15,00:15,RE 73826,Berlin Hbf (an 00:21),
00:21,00:21,RE 3745,Bad Belzig (an 01:31),2
00:21,00:21,RE 7,Münster(Westf)Hbf (an 22:22),
00:48,00:48,RB 94796,Berlin Hbf (an 00:53),
00:48,00:48,RE 91367,Potsdam Hbf (an 01:22),
00:58,00:58,FEX,Berlin Gesundbrunnen (an 01:11),
00:58,00:58,RB 21968,Berlin Hbf (an 01:04),
01:03,01:03,RE 19905,Berlin Hbf (an 01:09),
01:43,01:43,RB 94752,Berlin-Wannsee (an 02:10),
01:43,01:43,RE 73752,Berlin-Wannsee (an 02:10),
01:49,01:49,RB 21800,Berlin Hbf (an 01:54),
02:23,02:23,RE 3701,Bad Belzig (an 03:33),2
02:23,02:23,RE 3703,Berlin-Wannsee (an 02:48),
02:49,02:49,RB 21802,Berlin Hbf (an 02:54),
04:32,04:32,RE 1,Gotha (an 21:29),
04:32,04:32,RE 94756,Berlin Hbf (an 04:37),
04:37,04:37,RE 73801,Frankfurt(Oder) (an 05:36),
04:38,04:38,RE 21806,Berlin Hbf (an 04:44),
04:56,04:56,RE 94716,Berlin-Wannsee (an 05:21),
05:08,05:08,RE 3707,Dessau Hbf (an 06:53),2
05:16,05:16,RE 93759,Potsdam Hbf (an 05:51),
05:16,05:16,RE 94758,Potsdam Hbf (an 05:51),
05:22,05:22,RB 94753,Frankfurt(Oder) (an 06:35),
05:22,05:22,RE 93754,Frankfurt(Oder) (an 06:35),
05:29,05:29,RE 3103,Hennigsdorf(b Berlin) (an 06:23),2
05:33,05:33,RE 3102,Cottbus Hbf (an 06:56),
05:52,05:52,RE 3704,Senftenberg (an 07:41),1
05:54,05:54,RE 94718,Berlin-Wannsee (an 06:20),
06:06,06:06,RE 94713,Frankfurt(Oder) (an 07:18),1
06:16,06:16,RE 94760,Potsdam Hbf (an 06:51),2
06:29,06:29,RE 3105,Hennigsdorf(b Berlin) (an 07:23),2
06:33,06:33,RE 3104,Cottbus Hbf (an 07:57),1
06:53,06:53,RE 3706,Berlin Ostbahnhof (an 06:56),1
06:54,06:54,RE 94720,Berlin-Wannsee (an 07:20),
07:08,07:08,RE 3711,Dessau Hbf (an 08:53),2
07:16,07:16,RE 94762,Potsdam Hbf (an 07:51),
07:29,07:29,RE 3107,Hennigsdorf(b Berlin) (an 08:23),2
07:33,07:33,RE 3106,Cottbus Hbf (an 08:56),1
07:53,07:53,RE 3708,Senftenberg (an 09:41),1
07:54,07:54,RE 94722,Berlin-Wannsee (an 08:20),
08:08,08:08,RE 3713,Dessau Hbf (an 09:53),2
08:16,08:16,RB 94764,Potsdam Hbf (an 08:51),
08:16,08:16,RE 94764,Potsdam Hbf (an 08:51),
08:29,08:29,RE 3109,Hennigsdorf(b Berlin) (an 09:23),2
08:33,08:33,RE 3108,Cottbus Hbf (an 09:55),1
08:43,08:43,RE 94759,Frankfurt(Oder) (an 09:43),1
08:53,08:53,RE 3710,Senftenberg (an 10:41),1
08:54,08:54,RE 94724,Berlin-Wannsee (an 09:20),
09:06,09:06,RE 94719,Frankfurt(Oder) (an 10:18),1
09:08,09:08,RE 3715,Dessau Hbf (an 10:53),2
09:16,09:16,RE 94766,Potsdam Hbf (an 09:51),
09:29,09:29,RE 3111,Berlin-Spandau (an 09:54),
09:33,09:33,RE 3110,Cottbus Hbf (an 10:55),1
09:53,09:53,RE 3712,Senftenberg (an 11:41),1
09:54,09:54,RE 94726,Berlin-Wannsee (an 10:20),
10:06,10:06,RE 94721,Frankfurt(Oder) (an 11:18),1
10:08,10:08,RE 3717,Dessau Hbf (an 11:53),2
10:16,10:16,RE 94768,Potsdam Hbf (an 10:51),2
10:29,10:29,RE 3113,Hennigsdorf(b Berlin) (an 11:23),2
10:33,10:33,RE 3112,Cottbus Hbf (an 11:55),1
10:53,10:53,RE 3714,Senftenberg (an 12:41),1
10:54,10:54,RE 94728,Berlin-Wannsee (an 11:20),2
11:08,11:08,RE 3719,Dessau Hbf (an 12:53),2
11:16,11:16,RE 94770,Potsdam Hbf (an 11:51),
11:29,11:29,RE 3115,Hennigsdorf(b Berlin) (an 12:23),2
11:33,11:33,RE 3114,Cottbus Hbf (an 12:55),1
11:53,11:53,RE 3716,Senftenberg (an 13:41),1
11:54,11:54,RE 94730,Berlin-Wannsee (an 12:20),
12:06,12:06,RE 94725,Frankfurt(Oder) (an 13:18),1
12:08,12:08,RE 3721,Dessau Hbf (an 13:53),2
12:16,12:16,RB 94772,Potsdam Hbf (an 12:51),
12:16,12:16,RE 94772,Potsdam Hbf (an 12:51),
12:29,12:29,RE 3117,Berlin-Spandau (an 12:54),
12:33,12:33,RE 3116,Cottbus Hbf (an 13:55),1
12:43,12:43,RE 94767,Frankfurt(Oder) (an 13:43),1
12:53,12:53,RE 3718,Senftenberg (an 14:41),1
12:54,12:54,RE 94732,Berlin-Wannsee (an 13:20),2
13:08,13:08,RE 3723,Dessau Hbf (an 14:53),2
13:16,13:16,RE 94774,Potsdam Hbf (an 13:51),
13:29,13:29,RE 3119,Hennigsdorf(b Berlin) (an 14:23),2
13:33,13:33,RE 3118,Cottbus Hbf (an 14:55),1
13:43 (+1),13:44,RE 94769,Frankfurt(Oder) (an 14:43),
13:53,13:53,RE 3720,Senftenberg (an 15:41),1
13:54,13:54,RE 94734,Berlin-Wannsee (an 14:20),
14:06,14:06,RE 94729,Frankfurt(Oder) (an 15:18),
14:08,14:08,RE 3725,Dessau Hbf (an 15:53),2
14:16,14:16,RE 73835,Potsdam Hbf (an 14:51),
14:16,14:16,RE 94776,Potsdam Hbf (an 14:51),2
14:29,14:29,RE 3121,Hennigsdorf(b Berlin) (an 15:23),2
14:33,14:33,RE 3120,Cottbus Hbf (an 15:55),1
14:43,14:43,RE 94771,Frankfurt(Oder) (an 15:43),1
14:53,14:53,RE 3722,Senftenberg (an 16:41),1
14:54,14:54,RE 94736,Berlin-Wannsee (an 15:20),
15:06,15:06,RE 94731,Frankfurt(Oder) (an 16:18),1
