Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
08:23,RE 3713,Berlin Ostbahnhof (ab 08:02),Berlin-Charlottenburg
08:35,RE 3710,Beelitz-Heilstätten (ab 08:01),Berlin-Charlottenburg
08:50,RE 73720,Magdeburg Hbf (ab 07:12),Berlin-Charlottenburg
09:10,RE 73725,Eisenhüttenstadt (ab 07:36),Berlin-Charlottenburg
09:23,RE 3715,Berlin Ostbahnhof (ab 09:02),Berlin-Charlottenburg
09:35,RE 3712,Beelitz-Heilstätten (ab 09:01),Berlin-Charlottenburg
09:47,RE 73722,Magdeburg Hbf (ab 08:12),Berlin-Charlottenburg
10:01,RE 18759,Berlin Ostkreuz (ab 09:37),Berlin-Charlottenburg
10:10,RE 73727,Eisenhüttenstadt (ab 08:36),Berlin-Charlottenburg
10:23,RE 3717,Berlin Ostbahnhof (ab 10:02),Berlin-Charlottenburg
10:35,RE 3714,Beelitz-Heilstätten (ab 10:01),Berlin-Charlottenburg
10:48,RE 73724,Magdeburg Hbf (ab 09:12),Berlin-Charlottenburg
11:10,RE 73729,Frankfurt(Oder) (ab 09:55),Berlin-Charlottenburg
11:23,RE 3719,Berlin Ostbahnhof (ab 11:02),Berlin-Charlottenburg
11:35,RE 3716,Beelitz-Heilstätten (ab 11:01),Berlin-Charlottenburg
11:46,RE 92425,Berlin Zoologischer Garten (ab 11:44),Berlin-Charlottenburg
11:48,RE 73726,Magdeburg Hbf (ab 10:12),Berlin-Charlottenburg
12:11,RE 73731,Frankfurt(Oder) (ab 10:55),Berlin-Charlottenburg
12:12 (+7),RE 92426,Dallgow-Döberitz (ab 11:56),Berlin-Charlottenburg
12:23,RE 3721,Berlin Ostbahnhof (ab 12:02),Berlin-Charlottenburg
12:35 (+1),RE 3718,Beelitz-Heilstätten (ab 12:01),Berlin-Charlottenburg
12:48,RE 73728,Magdeburg Hbf (ab 11:12),Berlin-Charlottenburg
13:10,RE 73733,Frankfurt(Oder) (ab 11:55),Berlin-Charlottenburg
13:23,RE 3723,Berlin Ostbahnhof (ab 13:02),Berlin-Charlottenburg
13:35,RE 3720,Beelitz-Heilstätten (ab 13:01),Berlin-Charlottenburg
13:48,RE 73730,Magdeburg Hbf (ab 12:12),Berlin-Charlottenburg
14:10,RE 73735,Frankfurt(Oder) (ab 12:55),Berlin-Charlottenburg
14:35,RE 3722,Beelitz-Heilstätten (ab 14:01),Berlin-Charlottenburg
14:48,RE 73732,Magdeburg Hbf (ab 13:12),Berlin-Charlottenburg
15:10,RE 73737,Frankfurt(Oder) (ab 13:55),Berlin-Charlottenburg
15:23,RE 3727,Berlin Ostbahnhof (ab 15:02),Berlin-Charlottenburg
15:25,RE 73814,Brandenburg Hbf (ab 14:45),Berlin-Charlottenburg
15:35 (+7),RE 3724,Beelitz-Heilstätten (ab 15:01),Berlin-Charlottenburg
15:48,RE 73734,Magdeburg Hbf (ab 14:12),Berlin-Charlottenburg
16:10,RE 73739,Eisenhüttenstadt (ab 14:36),Berlin-Charlottenburg
16:48,RE 73736,Magdeburg Hbf (ab 15:12),Berlin-Charlottenburg
17:10,RE 73741,Frankfurt(Oder) (ab 15:55),Berlin-Charlottenburg
17:35,RE 3728,Beelitz-Heilstätten (ab 17:01),Berlin-Charlottenburg
17:46,RE 92327,Berlin Zoologischer Garten (ab 17:44),Berlin-Charlottenburg
17:48,RE 73738,Magdeburg Hbf (ab 16:12),Berlin-Charlottenburg
18:10,RE 73743,Frankfurt(Oder) (ab 16:55),Berlin-Charlottenburg
18:23,RE 3733,Berlin Ostbahnhof (ab 18:02),Berlin-Charlottenburg
18:26,RE 73820,Brandenburg Hbf (ab 17:45),Berlin-Charlottenburg
18:35,RE 3730,Beelitz-Heilstätten (ab 18:01),Berlin-Charlottenburg
18:48,RE 73740,Magdeburg Hbf (ab 17:12),Berlin-Charlottenburg
19:10,RE 73745,Cottbus Hbf (ab 16:56),Berlin-Charlottenburg
19:35 (+16),RE 3732,Beelitz-Heilstätten (ab 19:01),Berlin-Charlottenburg
19:48,RE 73742,Magdeburg Hbf (ab 18:12),Berlin-Charlottenburg
20:23,RE 3737,Berlin Ostbahnhof (ab 20:02),Berlin-Charlottenburg
20:35,RE 3734,Beelitz-Heilstätten (ab 20:01),Berlin-Charlottenburg
20:48,RE 73744,Magdeburg Hbf (ab 19:12),Berlin-Charlottenburg
21:10,RE 73749,Frankfurt(Oder) (ab 19:55),Berlin-Charlottenburg
21:47,RE 73746,Magdeburg Hbf (ab 20:12),Berlin-Charlottenburg
22:25 (+11),RE 3741,Berlin Ostbahnhof (ab 22:04),Berlin-Charlottenburg
22:28 (+7),EC 40,Warszawa Wschodnia (ab 16:44),Berlin-Charlottenburg
22:35,RE 3738,Beelitz-Heilstätten (ab 22:01),Berlin-Charlottenburg
22:45,RE 73748,Magdeburg Hbf (ab 21:06),Berlin-Charlottenburg
22:50,RE 73793,Güsen(b Genthin) (ab 00:10),Berlin-Charlottenburg
