Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
04:24,04:24,RE 3705,Berlin Ostkreuz (ab 03:59),4
04:44,04:44,RE 3101,Berlin Ostkreuz (ab 04:16),3
05:12,05:12,RE 94716,Frankfurt(Oder) (ab 03:38),
05:24,05:24,RE 3707,Calau(Nl) (ab 03:32),4
05:46,05:46,RE 3103,Cottbus Hbf (ab 04:00),4
05:47,05:47,RE 94713,Berlin-Wannsee (ab 05:39),
06:14,06:14,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:27,06:27,EC 430,Przemysl Glowny (ab 18:49),3
06:32,06:32,RE 94760,Frankfurt(Oder) (ab 05:08),
06:34,06:34,RE 3706,Dessau Hbf (ab 05:05),2
06:47,06:47,RE 94715,Berlin-Wannsee (ab 06:39),
07:11,07:11,RE 94720,Frankfurt(Oder) (ab 05:42),
07:14,07:14,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:24,07:24,RE 3711,Senftenberg (ab 05:11),4
07:34,07:34,RE 3708,Dessau Hbf (ab 06:05),2
07:46,07:46,RE 3107,Cottbus Hbf (ab 06:07),3
07:47,07:47,RE 94717,Berlin-Wannsee (ab 07:39),
07:59,07:59,RB 18145,Berlin-Wannsee (ab 07:51),1
08:01,08:01,RB 18146,Berlin Ostbahnhof (ab 07:39),4
08:14,08:14,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:24,08:24,RE 3713,Senftenberg (ab 06:14),4
08:25,08:25,RE 94759,Potsdam Hbf (ab 08:10),
08:34,08:34,RE 3710,Dessau Hbf (ab 07:05),2
08:46,08:46,RE 3109,Cottbus Hbf (ab 07:03),3
08:47,08:47,RE 94719,Berlin-Wannsee (ab 08:39),
08:59,08:59,RB 18147,Potsdam Griebnitzsee (ab 08:46),1
09:01,09:01,RB 18148,Berlin Ostbahnhof (ab 08:39),4
09:14,09:14,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:24,09:24,RE 3715,Senftenberg (ab 07:14),4
09:34,09:34,RE 3712,Dessau Hbf (ab 08:05),2
09:46,09:46,RE 3111,Cottbus Hbf (ab 08:04),3
09:47,09:47,RE 94721,Berlin-Wannsee (ab 09:39),
09:59,09:59,RB 18149,Potsdam Griebnitzsee (ab 09:46),1
10:01,10:01,RB 18150,Berlin Ostbahnhof (ab 09:39),4
10:13,10:13,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
