Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
01:12,RE 73794,Berlin Hbf (an 01:21),Berlin-Charlottenburg
01:51,RE 73753,Brandenburg Hbf (an 02:39),Berlin-Charlottenburg
03:05,FEX19801,Flughafen BER (an 03:46),Berlin-Charlottenburg
03:17,RE 73755,Magdeburg Hbf (an 05:08),Berlin-Charlottenburg
04:23,RE 73800,Frankfurt(Oder) (an 05:39),Berlin-Charlottenburg
04:57,RB 18141,Berlin Ostbahnhof (an 05:17),Berlin-Charlottenburg
05:13,RE 2,Frankfurt(M) Flughafen Regionalbf (an 08:33),Berlin-Charlottenburg
05:13,RE 3102,Cottbus Hbf (an 06:57),Berlin-Charlottenburg
05:35,RE 3704,Lübbenau(Spreewald) (an 07:03),Berlin-Charlottenburg
05:35,RE 95111,Berlin Ostbahnhof (an 05:54),Berlin-Charlottenburg
06:00,RB 18143,Schönefeld(bei Berlin) (an 06:43),Berlin-Charlottenburg
06:11,RE 90393,Brandenburg Hbf (an 06:53),Berlin-Charlottenburg
06:36,RE 3706,Berlin Hbf (an 06:44),Berlin-Charlottenburg
06:49,RE 73716,Frankfurt(Oder) (an 08:05),Berlin-Charlottenburg
07:00,RB 18145,Schönefeld(bei Berlin) (an 07:41),Berlin-Charlottenburg
07:11,RE 73721,Magdeburg Hbf (an 08:47),Berlin-Charlottenburg
07:11,RE 90417,Brandenburg Hbf (an 07:53),Berlin-Charlottenburg
07:36,RE 3708,Senftenberg (an 09:41),Berlin-Charlottenburg
07:49,RE 73718,Frankfurt(Oder) (an 09:05),Berlin-Charlottenburg
08:00,RB 18147,Schönefeld(bei Berlin) (an 08:40),Berlin-Charlottenburg
08:11,RE 73723,Magdeburg Hbf (an 09:47),Berlin-Charlottenburg
08:24,RE 3713,Dessau Hbf (an 09:53),Berlin-Charlottenburg
08:36,RE 3710,Senftenberg (an 10:41),Berlin-Charlottenburg
08:51,RE 73720,Frankfurt(Oder) (an 10:05),Berlin-Charlottenburg
09:00,RB 18149,Schönefeld(bei Berlin) (an 09:41),Berlin-Charlottenburg
09:11,RE 73725,Magdeburg Hbf (an 10:47),Berlin-Charlottenburg
09:24 (+1),RE 3715,Dessau Hbf (an 10:53),Berlin-Charlottenburg
09:36,RE 3712,Senftenberg (an 11:41),Berlin-Charlottenburg
09:36,RE 95139,Lübben(Spreewald) (an 10:56),Berlin-Charlottenburg
09:48,RE 73722,Frankfurt(Oder) (an 11:05),Berlin-Charlottenburg
09:55,RE 18768,Vetschau (an 11:35),Berlin-Charlottenburg
10:00,RB 18151,Schönefeld(bei Berlin) (an 10:42),Berlin-Charlottenburg
10:11,RE 73727,Magdeburg Hbf (an 11:47),Berlin-Charlottenburg
10:24,RE 3717,Dessau Hbf (an 11:53),Berlin-Charlottenburg
10:36 (+1),RE 3714,Senftenberg (an 12:41),Berlin-Charlottenburg
10:43,RE 3747,Bad Belzig (an 11:38),Berlin-Charlottenburg
10:49,RE 73724,Frankfurt(Oder) (an 12:05),Berlin-Charlottenburg
11:00,RB 18153,Berlin Ostkreuz (an 11:24),Berlin-Charlottenburg
11:11,RE 73729,Magdeburg Hbf (an 12:47),Berlin-Charlottenburg
11:24 (+1),RE 3719,Dessau Hbf (an 12:53),Berlin-Charlottenburg
11:36 (+1),RE 3716,Senftenberg (an 13:41),Berlin-Charlottenburg
11:49,RE 73726,Frankfurt(Oder) (an 13:05),Berlin-Charlottenburg
12:00,RB 18155,Berlin Ostkreuz (an 12:24),Berlin-Charlottenburg
12:12,RE 73731,Magdeburg Hbf (an 13:47),Berlin-Charlottenburg
12:24 (+1),RE 3721,Dessau Hbf (an 13:53),Berlin-Charlottenburg
12:36 (+6),RE 3718,Senftenberg (an 14:41),Berlin-Charlottenburg
12:49,RE 73728,Frankfurt(Oder) (an 14:05),Berlin-Charlottenburg
13:00,RB 18157,Schönefeld(bei Berlin) (an 13:41),Berlin-Charlottenburg
13:11,RE 73733,Magdeburg Hbf (an 14:47),Berlin-Charlottenburg
13:24,RE 3723,Dessau Hbf (an 14:53),Berlin-Charlottenburg
13:36 (+1),RE 3720,Senftenberg (an 15:41),Berlin-Charlottenburg
13:49,RE 73730,Frankfurt(Oder) (an 15:05),Berlin-Charlottenburg
14:00,RB 18159,Berlin Ostkreuz (an 14:24),Berlin-Charlottenburg
14:11,RE 73735,Magdeburg Hbf (an 15:47),Berlin-Charlottenburg
14:24,RE 3725,Dessau Hbf (an 15:53),Berlin-Charlottenburg
14:36 (+3),RE 3722,Senftenberg (an 16:41),Berlin-Charlottenburg
14:49,RE 73732,Frankfurt(Oder) (an 16:05),Berlin-Charlottenburg
15:00,RB 18161,Berlin Ostkreuz (an 15:24),Berlin-Charlottenburg
15:11,RE 73737,Magdeburg Hbf (an 16:47),Berlin-Charlottenburg
15:24 (+1),RE 3727,Dessau Hbf (an 16:53),Berlin-Charlottenburg
15:36,RE 3724,Senftenberg (an 17:41),Berlin-Charlottenburg
15:49,RE 73734,Frankfurt(Oder) (an 17:05),Berlin-Charlottenburg
16:00,RB 18163,Schönefeld(bei Berlin) (an 16:40),Berlin-Charlottenburg
16:11,RE 73739,Magdeburg Hbf (an 17:47),Berlin-Charlottenburg
16:24 (+1),RE 3729,Dessau Hbf (an 17:53),Berlin-Charlottenburg
16:36 (+1),RE 3726,Senftenberg (an 18:41),Berlin-Charlottenburg
16:49,RE 73736,Frankfurt(Oder) (an 18:05),Berlin-Charlottenburg
17:00,RB 18165,Berlin Ostbahnhof (an 17:20),Berlin-Charlottenburg
17:11,RE 73741,Magdeburg Hbf (an 18:47),Berlin-Charlottenburg
17:24 (+2),RE 3731,Dessau Hbf (an 18:53),Berlin-Charlottenburg
17:36,RE 3728,Senftenberg (an 19:41),Berlin-Charlottenburg
17:49,RE 73738,Frankfurt(Oder) (an 19:05),Berlin-Charlottenburg
18:00,RB 18167,Flughafen BER (an 18:46),Berlin-Charlottenburg
