Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
04:49,04:49,RE 73756,Brandenburg Hbf (an 05:33),4
05:10,05:10,RB 18600,Brieselang (an 05:39),
05:13,05:13,RE 73716,Magdeburg Hbf (an 06:55),1
05:20,05:20,RE 3707,Dessau Hbf (an 06:53),2
05:33,05:33,RE 73758,Brandenburg Hbf (an 06:19),4
06:10,06:10,RB 18602,Nauen (an 06:49),3
06:12,06:12,RE 73718,Magdeburg Hbf (an 07:55),4
06:20,06:20,RE 3709,Dessau Hbf (an 07:53),2
06:34,06:34,RE 73760,Brandenburg Hbf (an 07:19),1
06:50,06:50,RE 73804,Brandenburg Hbf (an 07:33),1
07:03 Ausfall,--:--,RE 3608,Neuruppin Rheinsberger Tor (an 08:25),2
07:10,07:10,RB 18604,Nauen (an 07:49),3
07:10,07:10,RE 73720,Magdeburg Hbf (an 08:55),4
07:20,07:20,RE 3711,Dessau Hbf (an 08:53),2
07:22,07:22,RB 18247,Potsdam Hbf (an 08:23),3
07:26,07:26,ICE 795,Karlsruhe Hbf (an 13:17),4
07:34,07:34,RE 73762,Brandenburg Hbf (an 08:23),1
07:39,07:39,IC 2432,Leer(Ostfriesl) (an 13:14),4
07:50,07:50,RE 73806,Brandenburg Hbf (an 08:33),1
08:12,08:12,RE 73722,Magdeburg Hbf (an 09:55),4
08:22,08:22,RB 18249,Potsdam Hbf (an 09:23),
08:34,08:34,RE 73764,Brandenburg Hbf (an 09:19),
08:50,08:50,RE 73808,Brandenburg Hbf (an 09:33),
09:12,09:12,RE 73724,Magdeburg Hbf (an 10:55),4
09:22,09:22,RB 18251,Potsdam Hbf (an 10:23),
09:34,09:34,RE 73766,Brandenburg Hbf (an 10:19),
09:50,09:50,RB 73810,Potsdam Hbf (an 10:05),
09:50,09:50,RE 73810,Brandenburg Hbf (an 10:33),
10:02 (+13),10:15,RE 3614,Neuruppin Rheinsberger Tor (an 11:25),
10:12,10:12,RE 73726,Magdeburg Hbf (an 11:55),4
10:22,10:22,RB 18253,Potsdam Hbf (an 11:23),
10:34,10:34,RE 73768,Brandenburg Hbf (an 11:19),
11:12,11:12,RE 73728,Magdeburg Hbf (an 12:55),4
11:22,11:22,RB 18255,Potsdam Hbf (an 12:23),
11:28 (+1),11:29,ICE 799,Karlsruhe Hbf (an 17:19),3
11:34,11:34,RE 73770,Brandenburg Hbf (an 12:19),
12:02,12:02,RE 3618,Neuruppin Rheinsberger Tor (an 13:25),2
12:10,12:10,RB 18614,Nauen (an 12:49),3
12:12 (+1),12:13,RE 73730,Magdeburg Hbf (an 13:55),4
12:22,12:22,RB 18257,Potsdam Hbf (an 13:23),
12:34,12:34,RE 73772,Brandenburg Hbf (an 13:19),3
13:12,13:12,RE 73732,Magdeburg Hbf (an 14:55),4
13:28 (+1),13:29,ICE 993,Frankfurt(M) Flughafen Fernbahnhof (an 17:52),4
13:34,13:34,RE 73774,Brandenburg Hbf (an 14:19),
14:12,14:12,RE 73734,Magdeburg Hbf (an 15:55),4
14:22,14:22,RB 18261,Potsdam Hbf (an 15:23),
14:34,14:34,RE 73776,Brandenburg Hbf (an 15:19),
14:48,14:48,RE 73812,Brandenburg Hbf (an 15:33),
15:08,15:08,RB 18620,Nauen (an 15:49),1
15:11,15:11,RE 73736,Magdeburg Hbf (an 16:55),4
15:27 (+1),15:28,ICE 995,Stuttgart Hbf (an 21:29),3
15:34,15:34,RE 73778,Brandenburg Hbf (an 16:23),
15:41 (+1),15:42,IC 2034,Leer(Ostfriesl) (an 21:14),3
15:51,15:51,RE 73814,Brandenburg Hbf (an 16:33),
16:02,16:02,RE 3626,Neuruppin Rheinsberger Tor (an 17:25),2
16:10,16:10,RB 18622,Nauen (an 16:49),3
16:10,16:10,RE 73738,Magdeburg Hbf (an 17:55),1
16:22,16:22,RB 18265,Potsdam Hbf (an 17:23),3
16:34,16:34,RE 73780,Brandenburg Hbf (an 17:19),
16:48,16:48,RE 73816,Brandenburg Hbf (an 17:33),
17:08,17:08,RB 18624,Nauen (an 17:49),1
17:10,17:10,RE 73740,Magdeburg Hbf (an 18:55),
17:28 (+1),17:29,ICE 997,Frankfurt(Main)Hbf (an 21:40),3
17:34,17:34,RE 73782,Brandenburg Hbf (an 18:19),
17:50,17:50,RE 73818,Brandenburg Hbf (an 18:34),
18:10,18:10,RB 18626,Nauen (an 18:49),3
18:12,18:12,RE 73742,Magdeburg Hbf (an 19:55),
18:22,18:22,RB 18269,Potsdam Hbf (an 19:23),3
19:03 (+1),19:04,RB 3632,Neuruppin Rheinsberger Tor (an 20:25),2
19:10,19:10,RB 18628,Nauen (an 19:49),3
19:22,19:22,RB 18271,Potsdam Hbf (an 20:23),
19:28 (+2),19:30,ICE 999,Kassel-Wilhelmshöhe (an 22:13),4
19:34,19:34,RE 26768,Potsdam Hbf (an 19:51),
20:10,20:10,RB 18630,Nauen (an 20:49),3
20:12,20:12,RE 73746,Potsdam Hbf (an 20:29),
20:22,20:22,RB 18273,Potsdam Hbf (an 21:23),
20:34,20:34,RE 73788,Potsdam Hbf (an 20:51),
21:10,21:10,RB 18632,Nauen (an 21:49),3
21:12,21:12,RE 73748,Potsdam Hbf (an 21:29),
21:20,21:20,RE 3739,Dessau Hbf (an 22:53),
22:03,22:03,RB 3638,Velten(Mark) (an 23:03),2
