Ankunft,Zugnr.,von (Abfahrt),Gleis
00:01,RE 94749,Potsdam Hbf (ab 23:32),
00:46,RE 3141,Cottbus Hbf (ab 23:03),3
00:54 (+3),RE 3140,Berlin-Charlottenburg (ab 00:42),1
04:58,RE 94716,Erkner (ab 04:24),
05:28,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:32,RE 3103,Cottbus Hbf (ab 04:00),3
05:47 (+21),RE 3704,Dessau Hbf (ab 04:05),1
05:56,RE 94718,Eisenhüttenstadt (ab 04:21),
06:01,RE 94713,Berlin-Wannsee (ab 05:39),
06:19,RE 94760,Erkner (ab 05:48),
06:28,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:32,RE 3105,Cottbus Hbf (ab 04:57),4
06:48,RE 3706,Dessau Hbf (ab 05:05),1
06:56,RE 94720,Erkner (ab 06:28),
07:01,RE 94715,Berlin-Wannsee (ab 06:39),
07:11 (+21),RE 3711,Senftenberg (ab 05:11),3
07:28,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:32,RE 3107,Cottbus Hbf (ab 06:07),3
07:48,RE 3708,Dessau Hbf (ab 06:05),1
08:11,RE 3713,Senftenberg (ab 06:14),4
08:28,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:32,RE 3109,Cottbus Hbf (ab 07:03),4
08:48,RE 3710,Dessau Hbf (ab 07:05),1
09:11,RE 3715,Senftenberg (ab 07:14),3
09:28,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:32,RE 3111,Cottbus Hbf (ab 08:04),3
09:48,RE 3712,Dessau Hbf (ab 08:05),1
10:28,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:32,RE 3113,Cottbus Hbf (ab 09:03),4
10:48 (+10),RE 3714,Dessau Hbf (ab 09:05),1
11:11 (+2),RE 3719,Senftenberg (ab 09:14),3
11:32,RE 3115,Cottbus Hbf (ab 10:03),3
11:48,RE 3716,Dessau Hbf (ab 10:05),1
12:11,RE 3721,Senftenberg (ab 10:14),3
12:28,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:32,RE 3117,Cottbus Hbf (ab 11:03),4
12:48,RE 3718,Dessau Hbf (ab 11:05),1
13:11,RE 3723,Senftenberg (ab 11:14),3
13:19,RE 94774,Erkner (ab 12:50),
13:28,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:32,RE 3119,Cottbus Hbf (ab 12:03),3
13:39,RE 94769,Potsdam Hbf (ab 13:10),
13:48,RE 3720,Dessau Hbf (ab 12:05),1
13:56,RE 94734,Erkner (ab 13:28),
14:01,RE 94729,Berlin-Wannsee (ab 13:39),
14:11,RE 3725,Senftenberg (ab 12:14),3
14:19,RE 94776,Erkner (ab 13:46),
14:28,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:32,RE 3121,Cottbus Hbf (ab 13:03),4
14:48 (+1),RE 3722,Dessau Hbf (ab 13:05),1
15:11 (+1),RE 3727,Senftenberg (ab 13:14),3
15:28,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:32,RE 3123,Cottbus Hbf (ab 14:03),3
15:48 (+3),RE 3724,Dessau Hbf (ab 14:05),1
16:11,RE 3729,Senftenberg (ab 14:14),3
16:19,RB 94780,Erkner (ab 15:50),
16:28,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),1
16:32,RE 3125,Cottbus Hbf (ab 15:03),4
16:48 (+1),RE 3726,Dessau Hbf (ab 15:05),1
17:11 (+2),RE 3731,Senftenberg (ab 15:14),3
17:28,RE 3126,Hennigsdorf(b Berlin) (ab 16:35),1
17:32,RE 3127,Cottbus Hbf (ab 16:03),3
17:48,RE 3728,Dessau Hbf (ab 16:05),1
18:11 (+1),RE 3733,Senftenberg (ab 16:14),3
18:28,RE 3128,Hennigsdorf(b Berlin) (ab 17:35),1
18:32,RE 3129,Cottbus Hbf (ab 17:03),4
18:48 (+1),RE 3730,Dessau Hbf (ab 17:05),1
19:11 (+8),RE 3735,Senftenberg (ab 17:14),3
19:28,RE 3130,Hennigsdorf(b Berlin) (ab 18:35),1
19:32 (+2),RE 3131,Cottbus Hbf (ab 18:03),3
19:48,RE 3732,Dessau Hbf (ab 18:05),1
20:11,RE 3737,Senftenberg (ab 18:14),3
20:28,RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:48 (+3),RE 3734,Dessau Hbf (ab 19:05),1
21:11,RE 3739,Senftenberg (ab 19:14),3
21:28,RE 3134,Hennigsdorf(b Berlin) (ab 20:35),1
21:32,RE 3135,Cottbus Hbf (ab 20:03),3
21:48,RE 3736,Dessau Hbf (ab 20:05),1
22:13,RE 3741,Senftenberg (ab 20:14),3
22:32,RE 3137,Cottbus Hbf (ab 21:03),3
22:55,RE 3136,Hennigsdorf(b Berlin) (ab 22:02),1
23:11,RE 3743,Berlin Ostbahnhof (ab 23:04),3
23:31,RE 3139,Cottbus Hbf (ab 22:00),3
23:40,RB 21958,Flughafen BER (ab 23:10),4
23:48,RE 3740,Dessau Hbf (ab 22:05),1
23:50,RB 94794,Erkner (ab 23:19),
23:54,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
