Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:24,00:24,RE 3745,Senftenberg (ab 22:26),4
01:45,01:45,RB 21969,Eisenach Hbf (ab 12:13),1
04:58,04:58,RE 94716,Frankfurt(Oder) (ab 03:38),
05:32,05:32,RE 3103,Cottbus Hbf (ab 04:00),3
05:47,05:47,RE 3704,Dessau Hbf (ab 04:05),1
05:56,05:56,RE 94718,Eisenhüttenstadt (ab 04:21),
06:01,06:01,RE 94713,Berlin-Wannsee (ab 05:39),
06:19,06:19,RE 94760,Frankfurt(Oder) (ab 05:08),
06:28,06:28,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:32,06:32,RE 3105,Cottbus Hbf (ab 04:57),4
06:48 (+17),07:05,RE 3706,Dessau Hbf (ab 05:05),1
06:56,06:56,RE 94720,Frankfurt(Oder) (ab 05:42),
07:11,07:11,RE 3711,Senftenberg (ab 05:11),3
07:28,07:28,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:32,07:32,RE 3107,Cottbus Hbf (ab 06:07),3
07:48 (+10),07:58,RE 3708,Dessau Hbf (ab 06:05),1
08:01,08:01,RE 94717,Berlin-Wannsee (ab 07:39),
08:11,08:11,RE 3713,Senftenberg (ab 06:14),4
08:28,08:28,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:32,08:32,RE 3109,Cottbus Hbf (ab 07:03),4
08:48,08:48,RE 3710,Dessau Hbf (ab 07:05),1
09:01,09:01,RE 94719,Berlin-Wannsee (ab 08:39),
09:11 (+8),09:19,RE 3715,Senftenberg (ab 07:14),3
09:28,09:28,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:32,09:32,RE 3111,Cottbus Hbf (ab 08:04),3
09:46,09:46,RB 18150,Berlin Ostbahnhof (ab 09:39),3
09:48 (+3),09:51,RE 3712,Dessau Hbf (ab 08:05),1
10:11 (+1),10:12,RE 3717,Senftenberg (ab 08:14),4
10:12,10:12,RB 18149,Potsdam Griebnitzsee (ab 09:46),2
10:19,10:19,RE 94768,Frankfurt(Oder) (ab 09:08),
10:28 Ausfall,--:--,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:32,10:32,RE 3113,Cottbus Hbf (ab 09:03),4
10:48 (+7),10:55,RE 3714,Dessau Hbf (ab 09:05),1
10:56,10:56,RE 94728,Frankfurt(Oder) (ab 09:38),
11:11,11:11,RE 3719,Senftenberg (ab 09:14),3
11:28,11:28,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:32,11:32,RE 3115,Cottbus Hbf (ab 10:03),3
11:48 (+12),12:00,RE 3716,Dessau Hbf (ab 10:05),1
12:11,12:11,RE 3721,Senftenberg (ab 10:14),3
12:28,12:28,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:32,12:32,RE 3117,Cottbus Hbf (ab 11:03),4
12:48 (+18),13:06,RE 3718,Dessau Hbf (ab 11:05),1
13:11,13:11,RE 3723,Senftenberg (ab 11:14),3
13:28,13:28,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:32,13:32,RE 3119,Cottbus Hbf (ab 12:03),3
13:56 (+1),13:57,RE 94734,Frankfurt(Oder) (ab 12:38),
14:01,14:01,RE 94729,Berlin-Wannsee (ab 13:39),
14:11 (+3),14:14,RE 3725,Senftenberg (ab 12:14),3
14:19,14:19,RE 94776,Frankfurt(Oder) (ab 13:07),
14:28 (+6),14:34,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:32 (+3),14:35,RE 3121,Cottbus Hbf (ab 13:03),4
14:39,14:39,RE 94771,Potsdam Hbf (ab 14:10),
14:46,14:46,RB 18160,Berlin Ostbahnhof (ab 14:39),
14:48 (+9),14:57,RE 3722,Dessau Hbf (ab 13:05),
15:01,15:01,RE 94731,Berlin-Wannsee (ab 14:39),
15:11,15:11,RE 3727,Senftenberg (ab 13:14),3
