Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:13,RE 62045,Nauen (an 00:57),Berlin Friedrichstraße
00:24,RE 3743,Dessau Hbf (an 00:53),Berlin Friedrichstraße
00:24,RE 93001,Berlin Zoologischer Garten (an 00:32),Berlin Friedrichstraße
00:37,RE 3154,Falkenberg(Elster) (an 16:35),Berlin Friedrichstraße
00:37,RE 73797,Brandenburg Hbf (an 01:39),Berlin Friedrichstraße
00:37,RE 73797,Brandenburg Hbf (an 01:39),Berlin Friedrichstr
00:44,RE 92038,Cottbus Hbf (an 11:38),Berlin Friedrichstr
00:44,RE 92038,Cottbus Hbf (an 11:38),Berlin Friedrichstraße
00:44,RE 92038,Berlin Ostbahnhof (an 00:52),Berlin Friedrichstr
00:45 Ausfall,RE 3141,Berlin-Charlottenburg (an 00:58),Berlin Friedrichstr
00:45,RE 3141,Berlin-Charlottenburg (an 00:58),Berlin Friedrichstraße
00:45,RE 4255,Frankfurt(Main)Hbf (an 08:48),Berlin Friedrichstraße
00:57 (+34),RE 3100,Lübben(Spreewald) (an 02:10),Berlin Friedrichstraße
00:57 (+33),RE 3100,Lübben(Spreewald) (an 02:10),Berlin Friedrichstr
01:02,RE 93042,Berlin Ostkreuz (an 01:14),Berlin Friedrichstraße
01:11,RE 92041,Berlin-Spandau (an 01:31),Berlin Friedrichstraße
01:11,RE 92691,Berlin-Spandau (an 01:31),Berlin Friedrichstraße
01:24,RE 3139,Frankfurt(Oder) (an 02:36),Berlin Friedrichstraße
01:24,RE 73794,Frankfurt(Oder) (an 02:36),Berlin Friedrichstraße
01:24 (+10),RE 73794,Frankfurt(Oder) (an 02:36),Berlin Friedrichstr
01:37,RE 3150,Falkenberg(Elster) (an 12:35),Berlin Friedrichstraße
01:37,RE 73753,Brandenburg Hbf (an 02:40),Berlin Friedrichstraße
01:44,FEX19880,Berlin-Charlottenburg (an 01:55),Berlin Friedrichstraße
01:51,RE 62042,Flughafen BER - Terminal 1-2 (an 02:21),Berlin Friedrichstraße
01:51,RE 92042,Berlin Ostbahnhof (an 01:58),Berlin Friedrichstraße
02:11,RE 8,Hannover Hbf (an 07:39),Berlin Friedrichstraße
02:11,RE 92047,Nauen (an 02:56),Berlin Friedrichstraße
02:16 (+8),RE 3703,Bad Belzig (an 03:23),Berlin Friedrichstraße
02:16 (+7),RE 3703,Bad Belzig (an 03:23),Berlin Friedrichstr
02:41,RE 3143,Frankfurt(Oder) (an 03:54),Berlin Friedrichstraße
02:41,RE 73798,Frankfurt(Oder) (an 03:54),Berlin Friedrichstraße
02:41 (+8),RE 73798,Frankfurt(Oder) (an 03:54),Berlin Friedrichstr
