Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:02,RE 94749,Erkner (an 00:31),
00:25,RE 7,Rendsburg (an 23:58),
00:47,RE 3141,Berlin-Charlottenburg (an 01:00),3
00:51,RB 94796,Berlin Zoologischer Garten (an 01:01),
00:51,RE 1,Koblenz Hbf (an 22:57),
00:51,RE 91367,Potsdam Hbf (an 01:22),
00:55 (+3),RE 3140,Cottbus Hbf (an 02:40),1
00:55,RE 93240,Cottbus Hbf (an 03:40),
01:02,FEX,Bruchsal (an 18:05),
01:02,RB 21968,Berlin Zoologischer Garten (an 01:09),
01:26,RE 93994,Berlin Ostbahnhof (an 01:33),
01:26,RE 94791,Berlin Ostbahnhof (an 01:33),
01:46,RE 73752,Berlin-Wannsee (an 03:10),
01:52,RE 21800,Berlin Zoologischer Garten (an 03:00),
02:27,RE 3703,Berlin-Wannsee (an 03:48),
02:52,RB 21802,Berlin Zoologischer Garten (an 03:00),
04:12,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:14,RE 73751,Frankfurt(Oder) (an 05:29),
04:14,RE 93752,Berlin Ostbahnhof (an 04:21),
04:14,RE 94751,Berlin Ostkreuz (an 04:25),
04:31,RE 2,Dresden Hbf (an 18:33),
04:31,RE 3101,Berlin-Spandau (an 04:53),
04:33,RE 73801,Frankfurt(Oder) (an 05:36),
04:35,RE 94756,Berlin Zoologischer Garten (an 04:44),
04:42,RE 21806,Berlin Zoologischer Garten (an 04:49),
04:42,RE 21813,Flughafen BER (an 05:14),
04:59,RE 94716,Berlin-Wannsee (an 05:21),
05:12,RE 3707,Potsdam-Rehbrücke (an 05:43),
05:13,RE 21817,Flughafen BER (an 05:45),
05:19,RB 94753,Berlin Ostkreuz (an 05:30),
05:19,RE 93754,Frankfurt(Oder) (an 06:35),
05:19,RE 94753,Berlin Ostbahnhof (an 05:26),
05:20,RE 93759,Potsdam Hbf (an 05:51),
05:20,RE 94758,Potsdam Hbf (an 05:51),
05:29,RE 3102,Cottbus Hbf (an 06:56),1
05:33,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:33,RE 92303,Berlin-Spandau (an 05:54),
05:48 (+22),RE 3704,Senftenberg (an 07:41),1
05:57,RE 93719,Berlin-Wannsee (an 06:20),
05:57,RE 94718,Berlin-Wannsee (an 06:20),
06:02,RE 94713,Frankfurt(Oder) (an 07:18),
06:12,RE 3709,Berlin Zoologischer Garten (an 06:20),
06:20,RE 94760,Potsdam Hbf (an 06:51),
06:29 (+1),RE 3104,Cottbus Hbf (an 07:57),1
06:33,RE 3105,Hennigsdorf(b Berlin) (an 07:23),4
06:40,RE 94755,Frankfurt(Oder) (an 07:47),
06:49,RE 3706,Lübbenau(Spreewald) (an 08:03),1
06:57,RE 92078,Berlin-Wannsee (an 07:20),
06:57,RE 94720,Berlin-Wannsee (an 07:20),
07:02,RE 94715,Frankfurt(Oder) (an 08:20),
07:12 (+22),RE 3711,Dessau Hbf (an 08:53),3
07:20,RE 75851,Potsdam Hbf (an 07:51),
07:29,RE 3106,Cottbus Hbf (an 08:56),1
07:33,RE 3107,Hennigsdorf(b Berlin) (an 08:23),3
07:40,RE 94757,Berlin Ostkreuz (an 07:51),
07:49,RE 3708,Senftenberg (an 09:41),1
07:57,RE 33682,Berlin-Wannsee (an 08:20),
08:02,RE 93718,Berlin Ostbahnhof (an 08:09),
08:12,RE 3713,Dessau Hbf (an 09:53),4
08:20,RE 75853,Potsdam Hbf (an 08:51),
08:29,RE 3108,Cottbus Hbf (an 09:55),1
08:33,RE 3109,Hennigsdorf(b Berlin) (an 09:23),4
08:40,RE 94759,Berlin Ostbahnhof (an 08:46),
08:49,RE 3710,Senftenberg (an 10:41),1
08:57,RE 33684,Berlin-Wannsee (an 09:20),
08:57,RE 94724,Berlin-Wannsee (an 09:20),
09:02,RE 93720,Berlin Ostbahnhof (an 09:09),
09:02,RE 94719,Berlin Ostbahnhof (an 09:09),
09:12,RE 3715,Dessau Hbf (an 10:53),3
09:20,RE 75855,Potsdam Hbf (an 09:51),
09:20,RE 94766,Berlin-Wannsee (an 09:41),
09:29,RE 3110,Cottbus Hbf (an 10:55),1
09:33,RE 3111,Hennigsdorf(b Berlin) (an 10:23),3
09:40,RB 94761,Berlin Ostbahnhof (an 09:46),
09:40,RE 94761,Berlin Ostbahnhof (an 09:46),
09:49,RE 3712,Senftenberg (an 11:41),1
09:57,RE 33686,Berlin-Wannsee (an 10:20),
09:57,RE 94726,Berlin-Wannsee (an 10:20),
10:02,RE 93722,Berlin Ostbahnhof (an 10:09),
10:02,RE 94721,Berlin Ostbahnhof (an 10:09),
10:12,RE 3717,Potsdam-Rehbrücke (an 10:43),
10:20,RE 75857,Potsdam Hbf (an 10:51),
10:29,RE 3112,Cottbus Hbf (an 11:55),1
10:33,RE 3113,Hennigsdorf(b Berlin) (an 11:23),4
10:40,RE 94763,Berlin Ostbahnhof (an 10:46),
10:49 (+10),RE 3714,Senftenberg (an 12:41),1
10:57,RE 33688,Berlin-Wannsee (an 11:20),
11:02,RE 93724,Berlin Ostbahnhof (an 11:09),
11:12 (+2),RE 3719,Dessau Hbf (an 12:53),3
