Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:02,00:02,RE 73749,Frankfurt(Oder) (an 01:18),1
00:55,00:55,RE 3140,Cottbus Hbf (an 02:40),
01:07,01:07,RE 73796,Magdeburg Hbf (an 03:01),
01:07,01:07,RE 91367,Berlin-Spandau (an 01:30),
01:46,01:46,RE 73752,Brandenburg Hbf (an 02:51),
02:27,02:27,RE 3701,Berlin-Wannsee (an 02:48),
02:27,02:27,RE 3703,Dessau Hbf (an 04:53),
03:03,03:03,RE 73754,Magdeburg Hbf (an 05:08),
04:12,04:12,RE 3705,Dessau Hbf (an 05:53),3
04:33,04:33,RE 73801,Frankfurt(Oder) (an 05:36),
04:42,04:42,RB 21813,Flughafen BER (an 05:14),1
04:49,04:49,RE 3702,Senftenberg (an 06:41),1
05:04,05:04,RE 73716,Magdeburg Hbf (an 06:50),
05:19,05:19,RE 73753,Frankfurt(Oder) (an 06:35),1
05:19,05:19,RJX 569,Flughafen Wien (an 22:57),1
05:20,05:20,RE 73758,Brandenburg Hbf (an 06:19),
05:20,05:20,RE 93759,Brandenburg Hbf (an 06:19),
05:29,05:29,RE 2,Berlin-Spandau (an 04:53),
05:29,05:29,RE 3102,Cottbus Hbf (an 06:56),1
05:36,05:36,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:57,05:57,RE 1,Ingolstadt Hbf (an 23:53),
05:57,05:57,RE 73718,Magdeburg Hbf (an 07:50),3
06:20,06:20,RE 73760,Brandenburg Hbf (an 07:19),3
06:29,06:29,RE 3104,Cottbus Hbf (an 07:57),1
06:37,06:37,RE 73804,Brandenburg Hbf (an 07:33),4
06:40,06:40,RE 73755,Frankfurt(Oder) (an 07:47),1
06:49,06:49,RE 3706,Senftenberg (an 08:41),1
06:57,06:57,RE 73720,Magdeburg Hbf (an 08:50),3
07:02,07:02,RE 73715,Frankfurt(Oder) (an 08:18),1
07:20,07:20,RE 73762,Brandenburg Hbf (an 08:23),3
07:20,07:20,RE 94762,Potsdam Hbf (an 07:51),
07:37,07:37,RE 73806,Brandenburg Hbf (an 08:33),4
07:40,07:40,RE 73757,Frankfurt(Oder) (an 08:43),1
07:48,07:48,RB 18146,Potsdam Hbf (an 08:19),3
07:49,07:49,RE 3708,Senftenberg (an 09:41),1
07:57,07:57,RE 73722,Magdeburg Hbf (an 09:50),4
07:57,07:57,RE 94722,Potsdam Hbf (an 08:29),
08:02,08:02,RE 73717,Frankfurt(Oder) (an 09:18),1
08:13,08:13,RB 18145,Berlin Ostbahnhof (an 08:21),1
08:18,08:18,RE 73807,Berlin Ostbahnhof (an 08:24),1
08:20,08:20,RE 73764,Brandenburg Hbf (an 09:19),3
08:20,08:20,RE 94764,Potsdam Hbf (an 08:51),
08:29,08:29,RE 3108,Cottbus Hbf (an 09:55),1
08:37,08:37,RE 73808,Brandenburg Hbf (an 09:33),4
08:40,08:40,RE 73759,Frankfurt(Oder) (an 09:43),1
08:48,08:48,RB 18148,Potsdam Hbf (an 09:19),3
08:57,08:57,RE 73724,Magdeburg Hbf (an 10:50),3
09:02,09:02,RE 73719,Frankfurt(Oder) (an 10:18),1
09:13,09:13,RB 18147,Berlin Ostbahnhof (an 09:21),2
09:18,09:18,RE 73809,Berlin Ostbahnhof (an 09:24),1
09:20,09:20,RE 73766,Brandenburg Hbf (an 10:24),3
09:29,09:29,RE 3110,Cottbus Hbf (an 10:55),1
09:37,09:37,RB 73810,Brandenburg Hbf (an 10:33),4
09:40,09:40,RE 73761,Frankfurt(Oder) (an 10:43),2
09:48,09:48,RB 18150,Potsdam Hbf (an 10:19),3
09:49,09:49,RE 3712,Senftenberg (an 11:41),1
09:57,09:57,RE 73726,Magdeburg Hbf (an 11:50),3
10:02,10:02,RE 73721,Frankfurt(Oder) (an 11:18),1
10:13,10:13,RB 18149,Berlin Ostbahnhof (an 10:21),2
10:18,10:18,RE 73811,Berlin Ostkreuz (an 10:31),1
10:20,10:20,RE 73768,Brandenburg Hbf (an 11:21),3
10:29,10:29,RE 3112,Cottbus Hbf (an 11:55),1
10:40 (+11),10:51,RE 73763,Frankfurt(Oder) (an 11:43),1
10:49 (+4),10:53,RE 3714,Senftenberg (an 12:41),1
10:57 (+1),10:58,RE 73728,Magdeburg Hbf (an 12:50),3
11:02 (+8),11:10,RE 73723,Frankfurt(Oder) (an 12:18),1
11:20,11:20,RE 73770,Brandenburg Hbf (an 12:19),3
11:29,11:29,RE 3114,Cottbus Hbf (an 12:55),1
11:40,11:40,RE 73765,Frankfurt(Oder) (an 12:43),1
11:49,11:49,RE 3716,Senftenberg (an 13:41),1
11:57,11:57,RE 73730,Magdeburg Hbf (an 13:50),3
12:02,12:02,RE 73725,Frankfurt(Oder) (an 13:18),1
12:20,12:20,RE 73772,Brandenburg Hbf (an 13:19),3
12:29,12:29,RE 3116,Cottbus Hbf (an 13:55),1
12:33,12:33,RE 3117,Hennigsdorf(b Berlin) (an 13:23),4
12:40,12:40,RE 73767,Frankfurt(Oder) (an 13:43),1
12:57,12:57,RE 73732,Magdeburg Hbf (an 14:50),3
13:02,13:02,RE 73727,Frankfurt(Oder) (an 14:18),1
13:20,13:20,RE 73774,Brandenburg Hbf (an 14:19),3
13:29,13:29,RE 3118,Cottbus Hbf (an 14:55),1
13:35,13:35,RE 3119,Hennigsdorf(b Berlin) (an 14:23),4
13:40,13:40,RE 73769,Frankfurt(Oder) (an 14:43),1
13:57,13:57,RE 73734,Magdeburg Hbf (an 15:50),3
14:02,14:02,RE 73729,Frankfurt(Oder) (an 15:18),1
14:20,14:20,RE 73776,Brandenburg Hbf (an 15:19),3
14:29,14:29,RE 3120,Cottbus Hbf (an 15:55),1
14:37,14:37,RE 73812,Brandenburg Hbf (an 15:33),4
14:40,14:40,RE 73771,Frankfurt(Oder) (an 15:43),1
14:48,14:48,RB 18160,Potsdam Hbf (an 15:19),3
14:57,14:57,RE 73736,Magdeburg Hbf (an 16:50),3
15:02,15:02,RE 73731,Frankfurt(Oder) (an 16:18),1
15:18,15:18,OE 73813,Berlin Ostbahnhof (an 15:24),
15:18,15:18,RB 73813,Berlin Ostbahnhof (an 15:24),1
15:22,15:22,RE 73778,Brandenburg Hbf (an 16:23),3
15:37,15:37,RE 73814,Brandenburg Hbf (an 16:33),4
15:40,15:40,OE 73773,Frankfurt(Oder) (an 16:43),
15:40,15:40,RE 73773,Frankfurt(Oder) (an 16:43),1
15:48,15:48,RB 18162,Potsdam Hbf (an 16:19),3
15:57,15:57,RE 73738,Magdeburg Hbf (an 17:50),3
16:02,16:02,OE 73733,Frankfurt(Oder) (an 17:18),
16:02,16:02,RE 73733,Frankfurt(Oder) (an 17:18),1
16:13,16:13,RB 18161,Berlin Ostbahnhof (an 16:21),2
16:18,16:18,OE 73815,Berlin Ostbahnhof (an 16:24),
16:18,16:18,RE 73815,Berlin Ostbahnhof (an 16:24),1
16:20,16:20,RE 73780,Brandenburg Hbf (an 17:19),3
16:29,16:29,RE 3124,Cottbus Hbf (an 17:55),1
16:29,16:29,RE RE2,Berlin Ostbahnhof (an 17:23),
16:37,16:37,RE 73816,Brandenburg Hbf (an 17:33),4
16:40,16:40,OE 73775,Frankfurt(Oder) (an 17:43),
16:40,16:40,RE 73775,Frankfurt(Oder) (an 17:43),1
16:48,16:48,RB 18164,Potsdam Hbf (an 17:19),
16:49,16:49,RE 3726,Senftenberg (an 18:41),1
16:49,16:49,RE RE7,Berlin Ostbahnhof (an 17:02),
16:57,16:57,RE 73740,Magdeburg Hbf (an 18:50),3
17:02,17:02,OE 73735,Frankfurt(Oder) (an 18:18),
17:02,17:02,RE 73735,Frankfurt(Oder) (an 18:18),1
17:07,17:07,RB RB14,Berlin Hbf (an 16:55),
17:13,17:13,RB RB23,Berlin Hbf (an 16:50),
17:18,17:18,OE 73817,Berlin Ostbahnhof (an 17:24),
17:18,17:18,RE 73817,Berlin Ostbahnhof (an 17:24),1
17:20,17:20,RE 73782,Brandenburg Hbf (an 18:24),
17:29,17:29,RE 3126,Cottbus Hbf (an 18:55),1
17:37,17:37,RE 73818,Brandenburg Hbf (an 18:34),
17:48,17:48,RB 18166,Potsdam Hbf (an 18:19),
17:49,17:49,RE 3728,Senftenberg (an 19:41),1
17:57,17:57,RE 73742,Magdeburg Hbf (an 19:50),3
18:02,18:02,RE 73737,Frankfurt(Oder) (an 19:18),1
18:20,18:20,RE 73784,Brandenburg Hbf (an 19:19),
18:37,18:37,RE 73820,Brandenburg Hbf (an 19:33),
18:40,18:40,RE 73779,Frankfurt(Oder) (an 19:47),1
18:49,18:49,RE 3730,Senftenberg (an 20:41),1
18:57,18:57,RE 73744,Magdeburg Hbf (an 20:50),3
19:02,19:02,RE 73739,Frankfurt(Oder) (an 20:18),1
19:18,19:18,RE 73821,Berlin Ostbahnhof (an 19:24),
19:20,19:20,RE 73786,Brandenburg Hbf (an 20:20),
19:29,19:29,RE 3130,Cottbus Hbf (an 20:55),1
19:37,19:37,RB 73822,Berlin Zoologischer Garten (an 19:46),3
19:40,19:40,RE 73781,Frankfurt(Oder) (an 20:43),1
19:49,19:49,RE 3732,Senftenberg (an 21:41),1
19:57,19:57,RE 73746,Magdeburg Hbf (an 21:50),4
20:02,20:02,RE 73741,Frankfurt(Oder) (an 21:18),1
20:18,20:18,RE 73823,Fürstenwalde(Spree) (an 21:08),1
20:21,20:21,RE 73788,Brandenburg Hbf (an 21:22),3
