Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:00 Ausfall,ICE 1018,München Hbf (ab 19:55),Berlin Gesundbrunnen
00:21,RE 3361,Schwedt(Oder) (ab 23:06),Berlin Gesundbrunnen
00:21,RE 3363,Dessau Hbf (ab 02:24),Berlin Gesundbrunnen
00:29 (+5),FEX19878,Flughafen BER (ab 00:02),Berlin Gesundbrunnen
00:29,RE FEX,Berlin Alexanderplatz (ab 01:40),Berlin Gesundbrunnen
00:41,RE 3360,Ludwigsfelde (ab 00:04),Berlin Gesundbrunnen
00:41,RE 3366,Ludwigsfelde (ab 00:04),Berlin Gesundbrunnen
00:41 (+2),RE 93066,Ludwigsfelde (ab 00:04),Berlin Gesundbrunnen
00:41,RE3,Ludwigsfelde (ab 00:04),Berlin Gesundbrunnen
01:23 (+21),ICE 1500,München Hbf (ab 19:10),Berlin Gesundbrunnen
01:27,RE 3321,Stralsund Hbf (ab 22:16),Berlin Gesundbrunnen
01:29,RE 73794,Genthin (ab 00:01),Berlin Gesundbrunnen
01:32 (+12),ICE 1100,München Hbf (ab 20:52),Berlin Gesundbrunnen
01:41,RE 73753,Frankfurt(Oder) (ab 00:24),Berlin Gesundbrunnen
01:54,FEX19880,Schönefeld(bei Berlin) (ab 01:20),Berlin Gesundbrunnen
02:14 (+32),ICE 2370,Karlsruhe Hbf (ab 18:51),Berlin Gesundbrunnen
02:49,RE 3143,Magdeburg Hbf (ab 00:42),Berlin Gesundbrunnen
04:13,RE 73752,Brandenburg Hbf (ab 03:15),Berlin Gesundbrunnen
04:17,RE 62001,Flughafen BER (ab 03:44),Berlin Gesundbrunnen
04:17,RE 92101,Schönefeld(bei Berlin) (ab 03:51),Berlin Gesundbrunnen
04:37,RE 3369,Eberswalde Hbf (ab 04:03),Berlin Gesundbrunnen
04:56,FEX19800,Flughafen BER (ab 04:25),Berlin Gesundbrunnen
05:02,RE 73717,Frankfurt(Oder) (ab 03:44),Berlin Gesundbrunnen
05:03,RE 4351,Neustrelitz Hbf (ab 03:49),Berlin Gesundbrunnen
