Ankunft,Zugnr.,von (Abfahrt),Gleis
00:03,RE 3521,Stralsund Hbf (ab 21:06),6
00:06 (+4),RE 3359,Schwedt(Oder) (ab 22:11),6
00:22,RE 3319,Stralsund Hbf (ab 21:10),6
00:26,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),10
00:39,RB 56816,Oranienburg (ab 00:15),
00:39,RE 56816,Oranienburg (ab 00:15),6
00:39,RE 85,Pfungstadt (ab 07:05),
00:39,RE 93036,Oranienburg (ab 00:15),
00:52,RB 94796,Erkner (ab 00:20),
00:52,RE 1,Erkner (ab 00:20),
01:10,RE 3742,Dessau Hbf (ab 23:23),
01:18,RE 93994,Potsdam Hbf (ab 00:53),
01:18,RE 94791,Potsdam Hbf (ab 00:53),
01:25,ICE 1500,München Hbf (ab 20:21),8
01:26 (+1),RE 3361,Schwedt(Oder) (ab 00:04),7
01:50,RB 94752,Erkner (ab 01:16),
01:50,RE 73752,Erkner (ab 01:16),
02:13,RE 3,Bülzig (ab 08:00),
02:13,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),9
02:29,RE 3701,Berlin Ostkreuz (ab 02:13),
04:37,RE 3369,Eberswalde Hbf (ab 04:03),6
05:01,RE 94716,Erkner (ab 04:24),
05:14 (+1),RB 56801,Berlin Südkreuz (ab 05:00),9
05:14,RE 56801,Berlin Südkreuz (ab 05:00),
05:22,RE 3341,Schwedt(Oder) (ab 04:04),6
05:27,RE 3302,Falkenberg(Elster) (ab 03:40),9
05:27,RE 3340,Falkenberg(Elster) (ab 03:40),
05:34 (+3),RE 3601,Neuruppin West (ab 04:24),
05:51,RE 3504,Berlin Südkreuz (ab 05:34),10
06:03,RE 3503,Neubrandenburg (ab 04:27),6
06:22,RE 3301,Angermünde (ab 05:32),6
06:28,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:34,RE 3603,Wittstock(Dosse) (ab 04:53),
06:37 (+2),ICE 904,München Hbf (ab 23:12),10
06:51 (+3),RE 4352,Berlin Südkreuz (ab 06:34),10
07:03,RE 4353,Neustrelitz Hbf (ab 06:00),
07:07 (+2),IC 2432,Cottbus Hbf (ab 05:27),
07:21,RE 3,Schwedt(Oder) (ab 00:04),
07:21 (+1),RE 3343,Pinnow(Uckermark) (ab 06:18),6
07:28 (+1),RE 3304,Luckenwalde (ab 06:35),9
07:34,RE 3607,Wittstock(Dosse) (ab 05:50),
07:42 (+8),IC 2274,Dresden Hbf (ab 05:35),8
07:48,RB 18244,Werder(Havel) (ab 06:43),5
07:51 (+2),RE 3506,Berlin Südkreuz (ab 07:34),10
08:03 (+5),RE 3505,Stralsund Hbf (ab 05:02),6
08:16 (+1),IC 2173,Rostock Hbf (ab 06:20),6
08:21 (+4),IC 2474,Magdeburg Hbf (ab 06:40),10
08:22,RE 3303,Stralsund Hbf (ab 05:10),6
