Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:22,00:22,RE 3319,Stralsund Hbf (ab 21:10),6
00:26 (+7),00:33,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),10
00:33 (+4),00:37,ICE 1500,München Hbf (ab 20:21),8
01:03,01:03,RE 3742,Dessau Hbf (ab 23:23),
04:22,04:22,RE 3340,Berlin Hbf (ab 04:18),9
04:37,04:37,RB 21813,Eberswalde Hbf (ab 04:03),6
05:03,05:03,RB 21817,Neustrelitz Hbf (ab 03:49),6
05:22,05:22,RE 3341,Schwedt(Oder) (ab 04:04),6
05:27,05:27,RE 3302,Jüterbog (ab 04:22),9
05:46,05:46,RE 3377,Angermünde (ab 04:55),9
05:51,05:51,RE 3504,Flughafen BER (ab 05:16),10
06:03,06:03,RE 3503,St. Gallen(CH) (ab 21:25),6
06:18,06:18,RE 3104,Nauen (ab 05:39),10
06:22,06:22,RE 3301,Pasewalk (ab 04:44),6
06:28,06:28,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:37 (+18),06:55,ICE 904,München Hbf (ab 23:12),10
06:51,06:51,RE 4352,Flughafen BER (ab 06:16),10
06:57,06:57,RE 3331,Angermünde (ab 06:01),
06:58,06:58,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),10
06:58,06:58,ICE 1912,Frankfurt(Main)Hbf (ab 23:35),10
07:03 (+1),07:04,RE 4353,Rostock Hbf (ab 04:34),
07:18,07:18,RE 3106,Nauen (ab 06:39),10
07:21,07:21,RE 3343,Schwedt(Oder) (ab 06:04),
07:28,07:28,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),9
07:38,07:38,RE 3107,Cottbus Hbf (ab 06:03),
07:44,07:44,RB 61082,Wandlitzsee (ab 07:18),
07:51,07:51,RE 3506,Flughafen BER (ab 07:16),10
07:58,07:58,RE 3335,Angermünde (ab 07:10),
08:03,08:03,RE 3505,Stralsund Hbf (ab 05:02),6
08:05 (+2),08:07,D 301,Malmö Central (ab 21:55),
08:22,08:22,RE 3303,Stralsund Hbf (ab 05:10),6
08:23,08:23,RE 3108,Nauen (ab 07:39),10
08:27,08:27,RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),8
08:36,08:36,RE 3109,Cottbus Hbf (ab 07:04),7
08:51,08:51,RE 4354,Flughafen BER (ab 08:16),10
09:02 (+2),09:04,ICE 936,Eisenach Hbf (ab 06:37),7
09:03 (+1),09:04,RE 4355,Rostock Hbf (ab 06:34),6
09:11 (+22),09:33,EN 345,Stockholm Central (ab 17:24),10
09:19,09:19,RE 3110,Nauen (ab 08:39),8
09:21,09:21,RE 3345,Schwedt(Oder) (ab 08:04),6
09:28,09:28,RE 3306,Luckenwalde (ab 08:35),9
09:31,09:31,ICE 1104,München Hbf (ab 05:17),8
09:36,09:36,ICE 698,München Hbf (ab 22:46),8
09:36,09:36,RE 3111,Cottbus Hbf (ab 08:04),7
09:51,09:51,RE 3508,Flughafen BER (ab 09:16),
10:02,10:02,RE 3507,Stralsund Hbf (ab 07:02),6
10:10 (+143),12:33,ES 475,Paris Nord (ab 18:03),5
10:19,10:19,RE 3112,Nauen (ab 09:39),10
10:22,10:22,RE 3305,Stralsund Hbf (ab 07:10),6
10:28,10:28,RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),9
10:31 (+15),10:46,ICE 1604,München Hbf (ab 06:19),8
10:36,10:36,RE 3113,Cottbus Hbf (ab 09:03),7
10:51 (+1),10:52,RE 4356,Flughafen BER (ab 10:16),10
