Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:05 (+9),RE 3521,Berlin Hbf (an 00:09),Berlin Gesundbrunnen
00:23 (+34),RE 3361,Halle(Saale)Hbf (an 03:12),Berlin Gesundbrunnen
00:23,RE 3363,Halle(Saale)Hbf (an 03:12),Berlin Gesundbrunnen
00:42,RE 52836,Berlin Südkreuz (an 00:55),Berlin Gesundbrunnen
00:43,RE 3366,Eberswalde Hbf (an 01:16),Berlin Gesundbrunnen
01:29 (+13),RE 3321,Berlin Hbf (an 01:34),Berlin Gesundbrunnen
02:11,RE 3364,Eberswalde Hbf (an 02:45),Berlin Gesundbrunnen
04:22 (+1),ICE 2911,München Hbf (an 10:57),Berlin Gesundbrunnen
04:22,ICE 501,München Hbf (an 10:57),Berlin Gesundbrunnen
04:33,RE 3,Dresden Hbf (an 22:04),Berlin Gesundbrunnen
04:33,RE 3302,Stralsund Hbf (an 07:44),Berlin Gesundbrunnen
04:40,RE 3369,Berlin Südkreuz (an 04:52),Berlin Gesundbrunnen
04:55,RE 4350,Rostock Hbf (an 07:21),Berlin Gesundbrunnen
05:13,RB 18243,Potsdam Hbf (an 06:23),Berlin Gesundbrunnen
05:17,RE 52821,Schwerin Hbf (an 07:47),Berlin Gesundbrunnen
05:19 (+1),ICE 1701,München Hbf (an 12:04),Berlin Gesundbrunnen
05:23,RE 3604,Perleberg (an 07:51),Berlin Gesundbrunnen
05:24,RE 3301,Jüterbog (an 06:26),Berlin Gesundbrunnen
05:38,RE 3340,Schwedt(Oder) (an 06:56),Berlin Gesundbrunnen
05:49,EC 41,Warszawa Zachodnia (an 10:54),Berlin Gesundbrunnen
05:51,ICE 2533,Erfurt Hbf (an 07:50),Berlin Gesundbrunnen
05:51,ICE 833,Frankfurt(Main)Hbf (an 09:57),Berlin Gesundbrunnen
05:55,RE 3504,Stralsund Hbf (an 08:51),Berlin Gesundbrunnen
06:06,RE 3376,Angermünde (an 06:54),Berlin Gesundbrunnen
06:15,RB 18245,Berlin-Spandau (an 06:28),Berlin Gesundbrunnen
06:19 (+1),ICE 503,München Hbf (an 12:48),Berlin Gesundbrunnen
06:24,DPN 453,Bad Schandau (an 09:21),Berlin Gesundbrunnen
06:24,ES 453,Decin hl.n. (an 10:01),Berlin Gesundbrunnen
06:24,RE 3341,Lutherstadt Wittenberg Hbf (an 07:59),Berlin Gesundbrunnen
06:39,RE 3304,Stralsund Hbf (an 09:41),Berlin Gesundbrunnen
06:44 (+1),IC 494,Rostock Hbf (an 08:36),Berlin Gesundbrunnen
06:55,RE 4352,Rostock Hbf (an 09:21),Berlin Gesundbrunnen
07:02,RE 3331,Berlin Südkreuz (an 07:17),Berlin Gesundbrunnen
07:06,RE 4353,Berlin Südkreuz (an 07:26),Berlin Gesundbrunnen
07:14,RB 18247,Potsdam Hbf (an 08:23),Berlin Gesundbrunnen
07:17,RE 52823,Schwerin Hbf (an 09:47),Berlin Gesundbrunnen
07:23,RE 3608,Perleberg (an 09:51),Berlin Gesundbrunnen
07:24 (+1),RE 3303,Jüterbog (an 08:26),Berlin Gesundbrunnen
07:37 (+1),RE 3342,Angermünde (an 08:28),Berlin Gesundbrunnen
07:44 (+3),IC 2274,Rostock Hbf (an 09:36),Berlin Gesundbrunnen
07:49,RE 3335,Berlin Südkreuz (an 08:05),Berlin Gesundbrunnen
07:50,ICE 1078,Ostseebad Binz (an 11:37),Berlin Gesundbrunnen
07:50,RE 51078,Prenzlau (an 09:03),Berlin Gesundbrunnen
07:55,RE 3506,St. Gallen(CH) (an 23:34),Berlin Gesundbrunnen
08:08 (+3),RE 3505,Sargans (an 23:24),Berlin Gesundbrunnen
08:09,RE 3530,Stralsund Hbf (an 11:13),Berlin Gesundbrunnen
08:13,RB 18249,Berlin-Spandau (an 08:27),Berlin Gesundbrunnen
08:18 (+2),IC 2173,Dresden Hbf (an 10:27),Berlin Gesundbrunnen
08:23,RE 3610,Perleberg (an 10:51),Berlin Gesundbrunnen
08:24,RE 3343,Lutherstadt Wittenberg Hbf (an 09:59),Berlin Gesundbrunnen
08:39,RE 3306,Stralsund Hbf (an 11:48),Berlin Gesundbrunnen
08:40,RE 52820,Berlin Südkreuz (an 08:54),Berlin Gesundbrunnen
08:40 (+1),RE 52820,Berlin Südkreuz (an 08:54),Berlin Gesundbrunnen Bhf
08:43,ICE 1974,Ostseebad Binz (an 12:32),Berlin Gesundbrunnen
08:45,ICE 837,Frankfurt(Main)Hbf (an 12:56),Berlin Gesundbrunnen
08:49 (+8),EC 59,Przeworsk (an 18:11),Berlin Gesundbrunnen
08:55,RE 4354,Rostock Hbf (an 11:21),Berlin Gesundbrunnen
09:06 (+3),RE 4355,Berlin Südkreuz (an 09:23),Berlin Gesundbrunnen
09:09 (+3),ICE 1636,Ostseebad Binz (an 13:00),Berlin Gesundbrunnen
09:09,RE 51636,Angermünde (an 10:00),Berlin Gesundbrunnen
09:10,RB 18251,Potsdam Hbf (an 10:22),Berlin Gesundbrunnen
09:16 (+13),ICE 597,München Hbf (an 17:16),Berlin Gesundbrunnen
09:17,RE 52825,Schwerin Hbf (an 11:47),Berlin Gesundbrunnen
09:23,RE 3612,Perleberg (an 11:51),Berlin Gesundbrunnen
09:24,RE 3305,Berlin Südkreuz (an 09:42),Berlin Gesundbrunnen
09:34,RE 3534,Prenzlau (an 10:41),Berlin Gesundbrunnen
09:38 (+1),RE 3344,Angermünde (an 10:28),Berlin Gesundbrunnen
09:44 (+2),IC 2272,Rostock Hbf (an 11:37),Berlin Gesundbrunnen
09:48 (+1),EC 45,Warszawa Centralna (an 15:00),Berlin Gesundbrunnen
09:51,ICE 1714,Ostseebad Binz (an 13:57),Berlin Gesundbrunnen
09:51,RE 51714,Prenzlau (an 11:03),Berlin Gesundbrunnen
09:55,RE 3508,Stralsund Hbf (an 12:51),Berlin Gesundbrunnen
10:09 (+2),RE 3507,Berlin Südkreuz (an 10:24),Berlin Gesundbrunnen
10:09,RE 3532,Prenzlau (an 11:25),Berlin Gesundbrunnen
10:15,RB 18253,Potsdam Hbf (an 11:23),Berlin Gesundbrunnen
10:17,RE 18492,Neustrelitz Hbf (an 11:24),Berlin Gesundbrunnen
10:18 (+2),IC 2175,Dresden Hbf (an 12:27),Berlin Gesundbrunnen
10:23,RE 3614,Perleberg (an 12:51),Berlin Gesundbrunnen
10:24 (+1),RE 3345,Lutherstadt Wittenberg Hbf (an 11:59),Berlin Gesundbrunnen
10:39 (+12),RE 3308,Stralsund Hbf (an 13:41),Berlin Gesundbrunnen
10:40,RE 52822,Berlin Südkreuz (an 10:54),Berlin Gesundbrunnen
10:43,IC 2472,Ostseebad Binz (an 14:38),Berlin Gesundbrunnen
10:43 (+1),IC 2476,Rostock Hbf (an 12:36),Berlin Gesundbrunnen Bhf
10:43 (+1),IC 2476,Rostock Hbf (an 12:36),Berlin Gesundbrunnen
10:51 (+2),ICE 839,Frankfurt(Main)Hbf (an 14:56),Berlin Gesundbrunnen
10:51 (+2),RE 50839,Berlin Südkreuz (an 11:05),Berlin Gesundbrunnen
10:55 (+5),RE 4356,Rostock Hbf (an 13:21),Berlin Gesundbrunnen
11:06,RE 4357,Berlin Südkreuz (an 11:23),Berlin Gesundbrunnen
11:15,RB 18255,Potsdam Hbf (an 12:23),Berlin Gesundbrunnen
11:17,RE 52827,Schwerin Hbf (an 13:47),Berlin Gesundbrunnen
11:22 (+8),RE 3307,Berlin Hbf (an 11:26),Berlin Gesundbrunnen
11:23,RE 3616,Perleberg (an 13:51),Berlin Gesundbrunnen
11:38,RE 3367,Angermünde (an 12:28),Berlin Gesundbrunnen
11:38,RE 3368,Angermünde (an 12:28),Berlin Gesundbrunnen
11:44 (+26),IC 2270,Rostock Hbf (an 13:37),Berlin Gesundbrunnen
