Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:06,RE 3521,Berlin Hbf (an 00:10),6
00:10 (+1),RE 3359,Jüterbog (an 01:19),6
00:29,RE 3366,Schwedt(Oder) (an 02:22),10
00:31,RE 3319,Berlin Hbf (an 00:30),6
00:41,RB 56816,Berlin Südkreuz (an 00:53),
00:41,RE 56816,Berlin Südkreuz (an 00:53),6
00:41,RE 85,Hanau Hbf (an 09:01),
00:41,RE 93036,Berlin Südkreuz (an 00:53),
02:15,RE 3362,Eberswalde Hbf (an 02:48),9
04:25,RE 3,Passau Hbf (an 23:37),
04:41,RE 3369,Berlin Südkreuz (an 04:53),6
05:14,RB 18243,Berlin-Spandau (an 05:28),
05:16 (+1),RB 56801,Schwerin Hbf (an 07:48),9
05:16,RE 56801,Schwerin Hbf (an 07:48),
05:24,RE 3341,Luckenwalde (an 06:27),6
05:26 (+2),ICE 1501,München Hbf (an 09:41),7
05:32 (+1),RE 3302,Stralsund Hbf (an 08:45),9
05:32,RE 3340,Stralsund Hbf (an 08:45),
05:42 (+1),ICE 279,Interlaken Ost (an 15:59),
05:54,RE 3504,Stralsund Hbf (an 08:51),10
06:06 (+2),RE 3503,Sargans (an 22:24),6
06:18,ICE 2523,Leipzig Hbf (an 07:45),
06:24,RE 3,Erfurt Hbf (an 21:00),
06:24,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),6
06:32 (+1),RE 3342,Schwedt(Oder) (an 07:55),10
06:54 (+3),RE 4352,Rostock Hbf (an 09:21),10
07:04 (+6),ICE 938,Ostseebad Binz (an 10:33),9
07:06,RE 4353,Berlin Südkreuz (an 07:23),
07:11 (+1),IC 2432,Norddeich Mole (an 14:20),
07:14,RB 18247,Berlin-Spandau (an 07:28),
07:16 (+1),RB 56803,Schwerin Hbf (an 09:48),10
07:16,RE 56803,Schwerin Hbf (an 09:48),
07:24 (+1),RE 3343,Luckenwalde (an 08:27),6
07:26 (+13),ICE 1503,München Hbf (an 11:43),7
07:33 (+1),RE 3304,Stralsund Hbf (an 10:44),9
07:41 (+1),ICE 371,Basel SBB (an 15:48),
07:44 (+7),IC 2274,Rostock Hbf (an 09:37),8
07:54,RE 3506,St. Gallen(CH) (an 23:34),10
08:06 (+7),RE 3505,Sargans (an 23:24),6
08:17 (+2),IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),6
08:23 (+6),IC 2474,Ostseebad Binz (an 11:59),10
08:24,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),6
08:26 (+1),ICE 1005,München Hbf (an 12:46),7
08:26,ICE 2863,München Hbf (an 21:10),
08:32 (+1),RE 3344,Schwedt(Oder) (an 09:55),9
08:54 (+33),RE 4354,Rostock Hbf (an 11:21),10
09:03 (+7),ICE 936,Ostseebad Binz (an 12:29),8
09:06 Ausfall,RE 4355,Berlin Südkreuz (an 09:23),6
09:14,RB 18251,Berlin-Spandau (an 09:27),
09:16,RB 56805,Schwerin Hbf (an 11:48),9
09:16,RE 56805,Schwerin Hbf (an 11:48),
09:23,RE 3612,Perleberg (an 11:51),
09:24,RE 3345,Luckenwalde (an 10:27),6
09:26 (+1),ICE 1505,München Hbf (an 13:43),7
09:32 (+9),RE 3306,Stralsund Hbf (an 12:44),9
09:44 (+2),IC 2272,Rostock Hbf (an 11:37),9
09:54 Ausfall,RE 3508,Stralsund Hbf (an 12:51),9
10:04,RB 55796,Eberswalde Hbf (an 10:31),
10:06 Ausfall,RE 3507,Berlin Südkreuz (an 10:24),6
10:16,RE 18492,Neustrelitz Hbf (an 11:24),9
10:16,RE 5,Biberach(Riß) (an 08:07),
10:17 (+38),IC 2175,Dresden Hbf (an 12:28),6
10:23,RE 3614,Perleberg (an 12:51),
10:24 (+1),RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),6
10:28 (+15),ICE 1007,München Hbf (an 14:45),7
10:32 (+1),RE 3346,Schwedt(Oder) (an 11:55),9
10:54 Ausfall,RE 4356,Rostock Hbf (an 13:21),10
10:59 Ausfall,ICE 839,Berlin Hbf (an 11:03),6
11:03 (+3),ICE 934,Ostseebad Binz (an 14:29),8
11:06 (+10),RE 4357,Berlin Südkreuz (an 11:23),6
11:14,RB 18255,Berlin-Spandau (an 11:28),
11:16 (+33),RB 56807,Schwerin Hbf (an 13:48),9
11:16,RE 56807,Schwerin Hbf (an 13:48),
11:24,RE 3347,Luckenwalde (an 12:27),6
11:26 (+27),ICE 1507,München Hbf (an 15:43),7
11:32 (+2),RE 3308,Stralsund Hbf (an 14:44),9
11:44 (+26),IC 2270,Rostock Hbf (an 13:37),9
11:54 (+2),RE 3510,Stralsund Hbf (an 14:51),9
12:06 (+12),RE 3509,Berlin Südkreuz (an 12:23),6
12:17 (+31),IC 2177,Dresden Hbf (an 14:28),6
12:23,RE 3618,Perleberg (an 14:51),
12:24 (+1),RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),6
12:26 (+32),ICE 1009,München Hbf (an 16:45),7
12:32 (+1),RE 3348,Schwedt(Oder) (an 13:55),9
12:43 Ausfall,ICE 1978,Warnemünde (an 15:02),10
12:54 (+4),RE 4358,Rostock Hbf (an 15:21),10
12:57 (+6),ICE 2931,München Hbf (an 21:15),7
12:57 (+5),ICE 691,München Hbf (an 21:15),7
13:03 (+6),ICE 932,Ostseebad Binz (an 16:41),8
13:06 (+15),RE 4359,Berlin Südkreuz (an 13:23),6
13:14,RB 18259,Berlin-Spandau (an 13:28),
13:16,RB 56809,Schwerin Hbf (an 15:48),
13:16,RE 56809,Schwerin Hbf (an 15:48),
13:24 (+1),RE 3349,Luckenwalde (an 14:27),6
13:26 (+5),ICE 1509,München Hbf (an 17:43),7
13:32 (+1),RE 3310,Stralsund Hbf (an 16:44),9
13:45 (+5),IC 2178,Rostock Hbf (an 15:35),9
13:54 (+1),RE 3512,Stralsund Hbf (an 16:51),9
14:06 (+4),RE 3511,Berlin Südkreuz (an 14:23),6
14:15,RB 18261,Werder(Havel) (an 15:17),5
14:17 (+3),IC 2179,Dresden Hbf (an 16:28),6
14:24 (+1),RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),6
14:26 (+8),ICE 1101,München Hbf (an 18:43),7
14:26,ICE 2819,München Hbf (an 18:43),
14:32 (+1),RE 3350,Schwedt(Oder) (an 15:55),9
14:54 (+1),RE 4360,Rostock Hbf (an 17:21),10
15:04 (+1),ICE 930,Ostseebad Binz (an 18:40),7
15:06 (+2),RE 4361,Berlin Südkreuz (an 15:23),6
15:14,RB 18263,Berlin-Spandau (an 15:28),
15:16 (+1),RB 56811,Schwerin Hbf (an 17:48),9
15:16,RE 56811,Schwerin Hbf (an 17:48),
15:23,RE 3624,Perleberg (an 17:51),
15:24,RE 3351,Berlin Südkreuz (an 15:39),6
15:26 (+1),ICE 1601,München Hbf (an 19:43),7
15:32 (+1),RE 3312,Stralsund Hbf (an 18:44),9
15:44 (+1),IC 2176,Rostock Hbf (an 17:37),9
15:54,RE 3514,Stralsund Hbf (an 18:51),10
16:01 (+1),ICE 1163,Stuttgart Hbf (an 20:57),7
16:06 (+4),RE 3513,Berlin Südkreuz (an 16:24),6
16:17 (+4),IC 2271,Dresden Hbf (an 18:28),6
16:24 (+5),RE 3311,Lutherstadt Wittenberg Hbf (an 18:07),6
16:26 (+6),ICE 1103,München Hbf (an 20:46),7
16:32 (+6),RE 3352,Schwedt(Oder) (an 17:55),9
16:54 (+1),RE 4362,Rostock Hbf (an 19:21),10
16:57 (+34),ICE 695,Stuttgart Hbf (an 23:11),7
17:03,ICE 838,Anklam (an 18:56),
17:06 (+5),RE 4363,Berlin Südkreuz (an 17:23),6
17:14,RB 18267,Berlin-Spandau (an 17:28),
17:16,RB 56813,Schwerin Hbf (an 19:48),
17:16,RE 56813,Schwerin Hbf (an 19:48),
17:24 (+47),RE 3353,Luckenwalde (an 18:27),6
17:26 (+7),ICE 1603,München Hbf (an 21:43),7
17:32 (+1),RE 3314,Stralsund Hbf (an 20:44),9
17:44 (+2),IC 2174,Rostock Hbf (an 19:37),9
17:54 (+1),RE 3516,Stralsund Hbf (an 20:51),9
18:06,RE 3515,Berlin Südkreuz (an 18:23),6
18:17 (+2),IC 2273,Dresden Hbf (an 20:28),6
18:23 Ausfall,RB 3630,Perleberg (an 20:51),
18:24 (+2),RE 3313,Lutherstadt Wittenberg Hbf (an 20:07),6
18:26 (+3),ICE 1105,München Hbf (an 22:45),7
18:32 (+1),RE 3354,Schwedt(Oder) (an 19:55),10
18:46 (+3),ICE 697,Frankfurt(Main)Hbf (an 23:44),7
18:54,RE 4364,Rostock Hbf (an 21:21),10
19:06 (+3),RE 4365,Berlin Südkreuz (an 19:23),6
19:14,RB 18271,Berlin-Spandau (an 19:28),
19:16 (+2),RB 56815,Schwerin Hbf (an 21:48),10
19:16,RE 56815,Schwerin Hbf (an 21:48),
19:23,RB 3632,Perleberg (an 21:51),
19:26 (+3),ICE 1605,München Hbf (an 23:52),7
19:32 (+1),RE 3316,Stralsund Hbf (an 22:49),9
19:42 (+1),ICE 805,Nürnberg Hbf (an 23:07),6
19:44 (+2),IC 2172,Rostock Hbf (an 21:37),9
19:54 (+1),RE 3518,Stralsund Hbf (an 22:51),9
20:06,RE 3517,Berlin Südkreuz (an 20:22),6
20:23,RB 3634,Perleberg (an 22:51),
20:24,RE 3315,Lutherstadt Wittenberg Hbf (an 22:07),6
20:26 (+1),ICE 1107,München Hbf (an 00:50),7
