Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:24,00:24,RE 3319,Züssow (an 21:51),6
00:29,00:29,RE 3360,Eberswalde Hbf (an 01:04),
00:29,00:29,RE 3366,Woltersdorf/Nuthe-Urstromtal (an 23:32),
04:02,04:02,RB 18241,Swinoujscie Centrum (an 17:40),5
04:25,04:25,RE 3,Biberach(Riß) (an 23:17),
04:25,04:25,RE 3340,Schwedt(Oder) (an 05:50),9
04:41,04:41,RE 3369,Berlin Hbf (an 04:45),6
04:54,04:54,RE 4350,Trier Hbf (an 15:27),9
04:54,04:54,RE 5,Stralsund Hbf (an 22:51),
05:14,05:14,RB 18243,Potsdam Hbf (an 06:23),8
05:16,05:16,ICE 2853,München Hbf (an 13:15),7
05:16 (+2),05:18,ICE 593,München Hbf (an 13:15),7
05:22,05:22,RE 3102,Cottbus Hbf (an 06:57),10
05:24,05:24,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),6
05:26 (+1),05:27,ICE 1501,München Hbf (an 09:41),7
05:32,05:32,RE 3302,Pasewalk (an 07:15),9
05:44 (+1),05:45,EC 41,Warszawa Wschodnia (an 11:15),10
05:54,05:54,RE 3504,Stralsund Hbf (an 08:51),10
06:06,06:06,RE 3503,Berlin Südkreuz (an 06:23),6
06:11,06:11,RE 3376,Angermünde (an 07:01),9
06:16,06:16,ICE 503,München Hbf (an 11:07),7
06:24,06:24,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),6
06:26 (+1),06:27,ICE 1003,München Hbf (an 10:45),7
06:32,06:32,RE 3342,Schwedt(Oder) (an 07:55),10
06:54 (+1),06:55,RE 4352,Trier Hbf (an 17:27),10
06:56 (+2),06:58,ICE 750,Frankfurt(Main)Hbf (an 10:56),
07:00,07:00,ES 453,Bad Schandau (an 09:30),
07:06,07:06,RE 4353,Trier Hbf (an 18:27),6
07:13 (+1),07:14,ICE 1548,Köln Hbf (an 12:09),5
07:22,07:22,RE 3106,Cottbus Hbf (an 08:56),10
07:24,07:24,RE 3343,Luckenwalde (an 08:27),6
07:26 (+1),07:27,ICE 1503,München Hbf (an 11:43),7
07:33 (+1),07:34,RE 3304,Pasewalk (an 09:15),9
07:44,07:44,EC 43,Warszawa Wschodnia (an 13:15),10
07:54 (+5),07:59,RE 3506,Stralsund Hbf (an 10:51),10
08:06,08:06,RE 3505,Berlin Südkreuz (an 08:24),6
08:09 (+2),08:11,ICE 2074,Westerland(Sylt) (an 13:31),7
08:24 (+1),08:25,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),6
08:26 (+2),08:28,ICE 1005,München Hbf (an 12:46),7
08:26,08:26,RE 3108,Vetschau (an 09:42),10
08:32,08:32,RE 3344,Schwedt(Oder) (an 09:55),8
08:42,08:42,RE 3109,Nauen (an 09:21),7
08:44 (+1),08:45,EC 59,Przemysl Glowny (an 18:47),10
08:54 (+1),08:55,RE 4354,Rostock Hbf (an 11:23),10
08:56 (+1),08:57,ICE 837,Frankfurt(Main)Hbf (an 12:56),6
09:05 (+35),09:40,ICE 936,Ostseebad Binz (an 12:29),7
09:06 (+1),09:07,RE 4355,Berlin Südkreuz (an 09:24),6
09:14 (+4),09:18,ICE 1052,Münster(Westf)Hbf (an 12:31),5
09:18 (+2),09:20,ICE 797,Frankfurt(M) Flughafen Fernbf (an 13:52),7
09:22,09:22,RE 3110,Vetschau (an 10:42),8
09:26 (+6),09:32,ICE 1505,München Hbf (an 13:43),7
09:32 (+1),09:33,RE 3306,Pasewalk (an 11:15),9
09:44 (+1),09:45,EC 45,Warszawa Wschodnia (an 15:15),10
09:54,09:54,RE 3508,Stralsund Hbf (an 12:51),9
10:06,10:06,RE 3507,Berlin Südkreuz (an 10:24),6
10:22,10:22,RE 3112,Cottbus Hbf (an 11:55),10
10:24 (+1),10:25,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),6
10:32,10:32,RE 3346,Schwedt(Oder) (an 11:55),9
10:42 (+7),10:49,RE 3113,Nauen (an 11:21),7
10:54,10:54,RE 4356,Rostock Hbf (an 13:23),10
10:56 (+1),10:57,ICE 839,Frankfurt(Main)Hbf (an 14:56),6
11:05 (+7),11:12,ICE 934,Ostseebad Binz (an 14:29),9
11:06 (+9),11:15,RE 4357,Berlin Südkreuz (an 11:23),6
11:09,11:09,ICE 599,München Hbf (an 19:12),7
11:22 (+3),11:25,RE 3114,Vetschau (an 12:42),8
11:24,11:24,RE 3347,Luckenwalde (an 12:27),6
11:26 (+2),11:28,ICE 1507,München Hbf (an 15:43),7
11:32 (+1),11:33,RE 3308,Pasewalk (an 13:15),9
11:42,11:42,RE 3115,Nauen (an 12:21),7
11:44 (+1),11:45,EC 47,Warszawa Wschodnia (an 17:15),10
11:54 (+1),11:55,RE 3510,Stralsund Hbf (an 14:51),9
12:06 (+30),12:36,RE 3509,Berlin Südkreuz (an 12:23),6
12:22,12:22,RE 3116,Vetschau (an 13:42),10
12:24 (+3),12:27,RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),6
12:32 (+1),12:33,RE 3348,Schwedt(Oder) (an 13:55),9
12:42,12:42,RE 3117,Nauen (an 13:21),7
12:44,12:44,EC 57,Przemyśl Główny (an 22:49),
12:54 (+22),13:16,RE 4358,Rostock Hbf (an 15:23),10
12:57 (+1),12:58,ICE 931,Frankfurt(Main)Hbf (an 16:56),6
13:04 (+61),14:05,ICE 932,Ostseebad Binz (an 16:41),8
13:06 (+1),13:07,RE 4359,Berlin Südkreuz (an 13:23),6
13:09,13:09,ICE 691,München Hbf (an 21:15),7
13:09,13:09,ice 691,München-Pasing (an 21:06),7
13:22,13:22,RE 3118,Vetschau (an 14:42),8
13:24,13:24,RE 3349,Luckenwalde (an 14:27),6
13:26 Ausfall,--:--,ICE 1509,München Hbf (an 17:43),7
13:32 (+2),13:34,RE 3310,Pasewalk (an 15:15),9
13:42 (+31),14:13,RE 3119,Nauen (an 14:21),7
13:44,13:44,EC 49,Warszawa Wschodnia (an 19:15),
13:54,13:54,RE 3512,Stralsund Hbf (an 16:51),9
14:06 (+6),14:12,RE 3511,Berlin Südkreuz (an 14:23),6
14:22,14:22,RE 3120,Vetschau (an 15:42),10
14:24 (+1),14:25,RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),6
14:32 (+1),14:33,RE 3350,Schwedt(Oder) (an 15:55),9
14:42,14:42,RE 3121,Nauen (an 15:21),7
14:44,14:44,EC 231,Gdynia Glowna (an 20:52),
14:54,14:54,RE 4360,Rostock Hbf (an 17:23),10
14:57 (+38),15:35,ICE 933,Frankfurt(Main)Hbf (an 18:56),7
15:05 (+98),16:43,ICE 930,Ostseebad Binz (an 19:14),9
15:06 (+1),15:07,RE 4361,Berlin Südkreuz (an 15:23),6
15:09 (+18),15:27,ICE 693,München Hbf (an 23:15),7
15:10,15:10,RE 3336,Angermünde (an 16:01),
15:22 (+10),15:32,RE 3122,Cottbus Hbf (an 16:55),10
15:24 (+1),15:25,RE 3351,Lutherstadt Wittenberg Hbf (an 17:06),6
15:26 (+6),15:32,ICE 1601,München Hbf (an 19:43),7
15:32 (+1),15:33,RE 3312,Pasewalk (an 17:15),9
15:42,15:42,RE 3123,Nauen (an 16:21),7
15:44,15:44,EC 247,Warszawa Wschodnia (an 21:15),
15:54 (+1),15:55,RE 3514,Stralsund Hbf (an 18:51),6
16:01 (+14),16:15,ICE 1163,Stuttgart Hbf (an 20:57),7
16:06 (+1),16:07,RE 3513,Berlin Südkreuz (an 16:24),6
16:11,16:11,RE 3330,Angermünde (an 17:02),10
16:22,16:22,RE 3124,Vetschau (an 17:42),10
16:24 (+1),16:25,RE 3311,Lutherstadt Wittenberg Hbf (an 18:07),6
16:32 (+1),16:33,RE 3352,Schwedt(Oder) (an 17:55),9
16:42,16:42,RE 3125,Nauen (an 17:20),7
16:44,16:44,EC 55,Krakow Glowny (an 23:43),
16:54 (+2),16:56,RE 4362,Rostock Hbf (an 19:23),9
16:57 (+37),17:34,ICE 935,Saarbrücken Hbf (an 23:29),6
17:06,17:06,RE 4363,Berlin Südkreuz (an 17:23),6
17:07 (+34),17:41,ICE 838,Stralsund Hbf (an 20:09),10
17:17 (+1),17:18,ICE 695,Stuttgart Hbf (an 23:11),8
17:19,17:19,RE 3338,Angermünde (an 18:06),
17:22,17:22,RE 3126,Cottbus Hbf (an 18:55),8
17:24 (+1),17:25,RE 3353,Lutherstadt Wittenberg Hbf (an 19:06),6
17:25,17:25,ES 474,Liège-Guillemins (an 05:49),
17:26 (+2),17:28,ICE 1603,München Hbf (an 21:43),7
17:32,17:32,RB 18530,Cottbus Hbf (an 22:44),9
17:32 (+1),17:33,RE 3314,Pasewalk (an 19:15),9
17:42,17:42,RE 3127,Nauen (an 18:21),7
17:44 (+1),17:45,EC 249,Warszawa Wschodnia (an 23:15),10
17:54 (+1),17:55,RE 3516,Stralsund Hbf (an 20:51),9
18:06 (+3),18:09,RE 3515,Berlin Südkreuz (an 18:23),6
18:09,18:09,RE 3332,Angermünde (an 19:01),
18:22,18:22,RE 3128,Cottbus Hbf (an 19:55),10
18:24 (+1),18:25,RE 3313,Lutherstadt Wittenberg Hbf (an 20:07),6
18:32 (+1),18:33,RE 3354,Schwedt(Oder) (an 19:55),10
18:42,18:42,RE 3129,Nauen (an 19:21),7
18:54,18:54,RE 4364,Rostock Hbf (an 21:23),
18:56 (+45),19:41,ICE 937,Darmstadt Hbf (an 23:20),6
19:06 (+9),19:15,RE 4365,Berlin Südkreuz (an 19:23),6
