Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:13,FEX19876,Wünsdorf-Waldstadt (ab 22:49),Berlin Hbf (tief)
00:27 (+1),RE 3361,Schwedt(Oder) (ab 23:06),Berlin Hbf (tief)
00:27,RE 94087,Schwedt(Oder) (ab 23:06),Berlin Hbf (tief)
00:34,RE 3,Prenzlau (ab 00:03),Berlin Hbf (tief)
00:34 (+3),RE 3366,Ludwigsfelde (ab 00:04),Berlin Hbf (tief)
00:54 (+2),ICE 1100,München Hbf (ab 19:56),Berlin Hbf (tief)
01:12,RE 62089,Baruth(Mark) (ab 00:08),Berlin Hbf (tief)
01:16,ICE 376,Interlaken Ost (ab 15:00),Berlin Hbf (tief)
01:34,RE 90201,Warnitz(Uckermark) (ab 00:13),Berlin Hbf (tief)
01:56,RE 3362,Ludwigsfelde (ab 01:26),Berlin Hbf (tief)
04:44 (+1),RE 3369,Eberswalde Hbf (ab 04:04),Berlin Hbf (tief)
05:03,FEX19800,Wünsdorf-Waldstadt (ab 03:49),Berlin Hbf (tief)
05:10,RB 18500,Eberswalde Hbf (ab 04:04),Berlin Hbf (tief)
05:28 (+1),RE 3301,Eberswalde Hbf (ab 04:48),Berlin Hbf (tief)
05:28,RE 3340,Falkenberg(Elster) (ab 03:50),Berlin Hbf (tief)
05:33,FEX19802,Ludwigsfelde (ab 04:32),Berlin Hbf (tief)
05:45 (+3),RB 18501,Nauen (ab 05:08),Berlin Hbf (tief)
05:53 (+1),RE 3167,Magdeburg Hbf (ab 04:19),Berlin Hbf (tief)
05:59 (+4),RE 3164,Stendal Hbf (ab 04:44),Berlin Hbf (tief)
06:03,FEX19804,Flughafen BER - Terminal 1-2 (ab 05:28),Berlin Hbf (tief)
06:09,RE 62053,Elsterwerda (ab 04:12),Berlin Hbf (tief)
06:10,RB 18502,Berlin Südkreuz (ab 06:03),Berlin Hbf (tief)
06:28 (+2),RE 3341,Schwedt(Oder) (ab 05:06),Berlin Hbf (tief)
06:30 (+1),RE 3304,Lutherstadt Wittenberg Hbf (ab 05:05),Berlin Hbf (tief)
06:32,IC 2904,Wien Hbf (ab 19:13),Berlin Hbf (tief)
06:33,FEX19806,Ludwigsfelde (ab 05:38),Berlin Hbf (tief)
06:46,RB 18503,Nauen (ab 06:08),Berlin Hbf (tief)
06:52 (+1),RE 3147,Falkenberg(Elster) (ab 05:14),Berlin Hbf (tief)
06:59 (+1),RE 3146,Stendal Hbf (ab 05:44),Berlin Hbf (tief)
07:00 (+2),IC 60409,Zürich HB (ab 19:29),Berlin Hbf (tief)
07:00 (+2),NJ 409,Zürich HB (ab 19:29),Berlin Hbf (tief)
07:03,FEX19808,Wünsdorf-Waldstadt (ab 05:49),Berlin Hbf (tief)
07:10,RB 18504,Berlin Südkreuz (ab 07:03),Berlin Hbf (tief)
