Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:36,RE 3,Duisburg Hbf (an 23:50),Berlin Hbf (tief)
00:36 (+1),RE 3366,Eberswalde Hbf (an 01:15),Berlin Hbf (tief)
00:42,RE 3363,Halle(Saale)Hbf (an 02:58),Berlin Hbf (tief)
00:42,RE 91463,Berlin Südkreuz (an 00:49),Berlin Hbf (tief)
00:49,RE 62090,Wünsdorf-Waldstadt (an 01:44),Berlin Hbf (tief)
00:56,RE 3165,Rathenow (an 01:58),Berlin Hbf (tief)
02:03,RE 3364,Eberswalde Hbf (an 02:43),Berlin Hbf (tief)
03:58 (+1),ICE 501,München Hbf (an 09:17),Berlin Hbf (tief)
04:04,FEX19805,Flughafen BER - Terminal 1-2 (an 04:30),Berlin Hbf (tief)
04:26 (+1),RE 3302,Stralsund Hbf (an 07:44),Berlin Hbf (tief)
04:31 (+1),ICE 571,Stuttgart Hbf (an 10:38),Berlin Hbf (tief)
04:46,RE 3369,Berlin Südkreuz (an 04:52),Berlin Hbf (tief)
04:51 (+1),ICE 71,Basel SBB (an 13:10),Berlin Hbf (tief)
04:58,FEX19809,Flughafen BER - Terminal 1-2 (an 05:26),Berlin Hbf (tief)
05:01,RE 18090,Berlin Südkreuz (an 05:11),Berlin Hbf (tief)
05:01,RE 3144,Ludwigsfelde (an 05:27),Berlin Hbf (tief)
05:12,RB 18500,Nauen (an 05:49),Berlin Hbf (tief)
05:20 (+1),ICE 1001,München Hbf (an 10:02),Berlin Hbf (tief)
05:31 (+1),RE 3301,Jüterbog (an 06:26),Berlin Hbf (tief)
05:32,RE 3340,Schwedt(Oder) (an 06:56),Berlin Hbf (tief)
05:39 (+1),ICE 503,München Hbf (an 11:02),Berlin Hbf (tief)
05:42,RE 62054,Elsterwerda (an 07:47),Berlin Hbf (tief)
05:42,RE 8,Elsterwerda (an 23:39),Berlin Hbf (tief)
05:48,RB 18501,Berlin Südkreuz (an 05:56),Berlin Hbf (tief)
05:53,FEX19813,Flughafen BER - Terminal 1-2 (an 06:27),Berlin Hbf (tief)
