Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:01 (+16),RE 3182,Rathenow (ab 23:06),Berlin Hbf
00:01,RE 62187,Rathenow (ab 23:06),Berlin Hbf
00:03,FEX19876,Schönefeld(bei Berlin) (ab 23:32),Berlin Hbf
00:16 (+41),ICE 957,Köln Hbf (ab 18:45),Berlin Hbf
00:27 (+1),RE 3361,Schwedt(Oder) (ab 23:06),Berlin Hbf
00:27,RE 3363,Bernau(b Berlin) (ab 00:08),Berlin Hbf
00:34,RE 3360,Ludwigsfelde (ab 00:04),Berlin Hbf
00:34,RE 93066,Ludwigsfelde (ab 00:04),Berlin Hbf
00:34,RE3,Ludwigsfelde (ab 00:04),Berlin Hbf
00:39,RE 73797,Fangschleuse (ab 00:04),Berlin Hbf
00:45 (+1),ICE 907,Hamburg-Altona (ab 21:22),Berlin Hbf
01:03 (+17),ICE 790,Frankfurt(M) Flughafen Fernbf (ab 20:09),Berlin Hbf
01:11 (+3),ICE 1500,München Hbf (ab 19:10),Berlin Hbf
01:11,RE 62089,Baruth(Mark) (ab 00:07),Berlin Hbf
01:12,EC 258,Praha hl.n. (ab 20:28),Berlin Hbf
01:13,RE 62041,Flughafen BER (ab 00:40),Berlin Hbf
01:13,RE8,Nauen (ab 00:04),Berlin Hbf
01:20,RE 73794,Genthin (ab 00:01),Berlin Hbf
01:34,RE 3321,Stralsund Hbf (ab 22:16),Berlin Hbf
01:39,RE 73753,Frankfurt(Oder) (ab 00:24),Berlin Hbf
01:45,RE 62042,Nauen (ab 01:03),Berlin Hbf
01:46,FEX19880,Schönefeld(bei Berlin) (ab 01:20),Berlin Hbf
01:51,ICE 809,Hamburg-Altona (ab 22:36),Berlin Hbf
01:59,RE 3,Idar-Oberstein (ab 00:05),Berlin Hbf
01:59,RE 3362,Jüterbog (ab 01:01),Berlin Hbf
02:13,RE 62047,Schönefeld(bei Berlin) (ab 01:44),Berlin Hbf
02:13,RE 93047,Schönefeld(bei Berlin) (ab 01:44),Berlin Hbf
02:35,RE 3143,Magdeburg Hbf (ab 00:42),Berlin Hbf
02:35,RE 73798,Magdeburg Hbf (ab 00:42),Berlin Hbf
