Ankunft,Zugnr.,von (Abfahrt),Gleis
00:05,RE 3182,Stendal Hbf (ab 22:50),3
00:10 (+2),RE 3521,Stralsund Hbf (ab 21:06),4
00:15,RB 62086,Baruth(Mark) (ab 23:19),7
00:16,RB 21962,Flughafen BER (ab 23:42),
00:19,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),6
00:21,RE 73826,Erkner (ab 23:43),
00:23,FEX,Berlin Ostkreuz (ab 00:00),
00:23,RB 21964,Flughafen BER (ab 00:01),
00:26 (+21),ICE 947,Köln Hbf (ab 19:27),11
00:27,RE 7,Berlin Ostkreuz (ab 00:12),
00:30,RE 3319,Stralsund Hbf (ab 21:10),4
00:36,RE 62038,Wustermark (ab 00:02),2
00:39,RB 21966,Flughafen BER (ab 00:16),
00:41,ICE 276,Brig (ab 13:45),
00:45,RB 56816,Oranienburg (ab 00:15),
00:45,RE 56816,Oranienburg (ab 00:15),
00:45,RE 93036,Schwerin Hbf (ab 22:14),
00:49 (+1),RE 3141,Cottbus Hbf (ab 23:03),13
00:50 (+3),RE 3140,Berlin-Charlottenburg (ab 00:42),11
00:50,RE 93240,Berlin-Charlottenburg (ab 00:42),
00:53,RB 94796,Erkner (ab 00:20),
00:54 Ausfall,ICE 901,Hamburg-Altona (ab 21:26),12
01:02 (+2),RE 3742,Dessau Hbf (ab 23:23),11
01:16 (+321),ICE 1500,München Hbf (ab 20:21),5
01:20,RE 94791,Potsdam Hbf (ab 00:53),
01:33,RE 3,Bergwitz (ab 06:36),
01:33,RE 3361,Schwedt(Oder) (ab 00:04),5
01:48,RB 94752,Erkner (ab 01:16),
01:48,RE 73752,Erkner (ab 01:16),
01:49,RB 62087,Wustermark (ab 01:16),7
03:00,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),6
03:05,RE 94754,Berlin Ostkreuz (ab 01:51),
03:27 (+2),ICE 1707,Hamburg-Altona (ab 22:34),12
03:29,RE 3701,Berlin Ostkreuz (ab 02:13),13
03:29,RE 3703,Berlin Ostkreuz (ab 02:13),
03:35 (+2),RB 94793,Berlin-Wannsee (ab 03:18),
03:35,RE 1,Bad Kleinen (ab 00:06),
03:35,RE 94793,Berlin-Wannsee (ab 03:18),
03:44,RB 62091,Wustermark (ab 03:15),7
04:09,RE 93752,Berlin-Wannsee (ab 03:51),
04:09 (+1),RE 94751,Berlin-Wannsee (ab 03:51),
04:20,ICE 646,Berlin Ostbahnhof (ab 04:09),
04:28,RE 73801,Berlin-Charlottenburg (ab 04:20),11
04:35,ICE 1706,Berlin Südkreuz (ab 04:29),8
04:38,RE 21813,Berlin-Charlottenburg (ab 04:29),12
04:45,RE 3369,Eberswalde Hbf (ab 04:03),4
04:45,RE 62040,Wustermark (ab 04:16),1
05:01 (+1),RE 94716,Erkner (ab 04:24),
05:07 (+1),RB 56801,Berlin Südkreuz (ab 05:00),6
05:07,RE 56801,Berlin Südkreuz (ab 05:00),6
05:08,RE 21810,Flughafen BER (ab 04:46),8
05:09,RE 21817,Berlin-Charlottenburg (ab 05:00),12
05:14 (+6),RB 94753,Potsdam Hbf (ab 04:49),
05:14 (+1),RE 94753,Potsdam Hbf (ab 04:49),
05:18 (+2),RE 3302,Falkenberg(Elster) (ab 03:40),5
05:22 (+20),RE 94758,Frankfurt(Oder) (ab 04:15),
05:24 (+1),ICE 946,Berlin Ostbahnhof (ab 05:08),14
05:24,RE 2,Hradek nad Nisou (ab 16:51),
05:24,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),11
05:27 (+31),ICE 1272,Frankfurt(Main)Hbf (ab 23:35),
05:27 Ausfall,ICE 2926,Frankfurt(Main)Hbf (ab 23:35),
05:29 (+1),RE 3341,Schwedt(Oder) (ab 04:04),2
05:32 (+3),ICE 1501,Berlin Gesundbrunnen (ab 05:26),4
05:35,RE 3103,Cottbus Hbf (ab 04:00),14
05:35,RE 62000,Elstal (ab 05:07),2
05:35,RE 92303,Cottbus Hbf (ab 04:00),
05:36,ICE 2816,Berlin Südkreuz (ab 05:31),6
05:36,ICE 608,Berlin Südkreuz (ab 05:31),6
05:43 (+1),RE 3504,Berlin Südkreuz (ab 05:34),5
05:43 (+17),RE 3704,Dessau Hbf (ab 04:05),12
05:45,RB 62050,Wünsdorf-Waldstadt (ab 04:50),7
05:46 (+1),ICE 279,Berlin Gesundbrunnen (ab 05:41),
05:52,RE 3167,Jüterbog (ab 05:02),7
05:53 (+2),RB 18501,Cottbus Hbf (ab 04:24),8
05:53,RE 18501,Cottbus Hbf (ab 04:24),
05:57,RE 94713,Berlin-Wannsee (ab 05:39),
05:59,RE 94718,Eisenhüttenstadt (ab 04:21),
06:01 (+67),ICE 1541,Köln Hbf (ab 23:27),2
06:03,ICE 240,Berlin Südkreuz (ab 05:50),6
06:05,RE 3164,Stendal Hbf (ab 04:48),2
06:08,RE 21818,Flughafen BER (ab 05:46),
06:11,RE 3503,Neubrandenburg (ab 04:27),4
06:12,RB 62051,Wustermark (ab 05:39),1
06:14 (+69),EC 430,Opalenica (ab 03:43),13
06:15,RE 62005,Elsterwerda (ab 04:29),7
06:18 (+1),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:22 (+1),ICE 2523,Berlin Gesundbrunnen (ab 06:18),
06:22 (+1),RE 94760,Erkner (ab 05:48),
06:23,RE 21820,Flughafen BER (ab 06:01),8
06:24,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),12
06:28 (+14),ICE 644,Berlin Ostbahnhof (ab 06:21),14
06:29,RE 3301,Pasewalk (ab 04:44),2 A - D
06:30 (+197),ICE 904,München Hbf (ab 23:12),5
06:35,RE 3105,Cottbus Hbf (ab 04:57),14
06:35 (+1),RE 94755,Potsdam Hbf (ab 06:10),
06:39,IC 2432,Cottbus Hbf (ab 05:27),13
06:39,RE 21822,Flughafen BER (ab 06:16),8
06:39,RE 62002,Elstal (ab 06:07),2 D - G
06:43 (+1),RE 4352,Berlin Südkreuz (ab 06:34),5
06:44,RE 3706,Dessau Hbf (ab 05:05),11
06:45,RB 62052,Berlin Südkreuz (ab 06:38),7
06:48 Ausfall,ICE 1548,Berlin Ostbahnhof (ab 06:42),14
06:50 (+1),RE 3147,Falkenberg(Elster) (ab 05:14),7
06:53,RB 18503,Cottbus Hbf (ab 05:23),8
06:53,RE 18503,Cottbus Hbf (ab 05:23),8
06:57 (+1),RE 94715,Berlin-Wannsee (ab 06:39),
06:59 (+1),RE 94720,Erkner (ab 06:28),
07:06,RE 3146,Rathenow (ab 06:09),2
07:08,RE 21826,Flughafen BER (ab 06:46),8
07:11,RE 4353,Rostock Hbf (ab 04:34),4
07:11,RE 5,Fürstenberg(Havel) (ab 16:01),
07:12,RB 62053,Wustermark (ab 06:39),1
07:13 (+23),RE 3711,Senftenberg (ab 05:11),13
07:13,RE 62007,Elsterwerda (ab 05:29),7
07:16,ICE 2595,Berlin Ostbahnhof (ab 07:08),
07:18 (+1),RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),6
07:22,RE 75851,Erkner (ab 06:49),
07:22,RE 94762,Erkner (ab 06:50),
07:23,RE 21828,Flughafen BER (ab 07:01),8
07:24,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),12
07:25 (+2),ICE 944,Berlin Ostbahnhof (ab 07:19),14
