Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:05 (+3),00:08,RE 3182,Stendal Hbf (ab 22:50),
00:08,00:08,RB 21962,Flughafen BER (ab 23:46),
00:10 (+12),00:22,RE 3521,Grimmen (ab 21:28),
00:14,00:14,ICE 1000,München Hbf (ab 17:33),
00:15,00:15,RB 62086,Baruth(Mark) (ab 23:19),
00:19,00:19,RE 3360,Teltow (ab 00:00),
00:19 (+2),00:21,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),
00:21 (+7),00:28,ICE 1917,Köln Hbf (ab 18:53),2
00:21 (+7),00:28,ICE 947,Düsseldorf Hbf (ab 18:45),2
00:21 (+7),00:28,ICE 957,Köln Hbf (ab 18:53),2
00:23,00:23,FEX,Ludwigsfelde (ab 23:32),
00:23,00:23,RB 21964,Ludwigsfelde (ab 23:32),
00:30,00:30,RE 3319,Stralsund Hbf (ab 21:10),4
00:36,00:36,RE 62038,Wismar (ab 21:21),2
00:53 (+69),02:02,RJ 2579,Hamburg-Harburg (ab 22:40),1
00:53 (+69),02:02,RJ 479,Hamburg-Harburg (ab 22:40),4
01:16 (+8),01:24,ICE 592,München Hbf (ab 16:45),7
02:43,02:43,RB 21802,Flughafen BER (ab 02:22),8
02:47,02:47,RB 62089,Nauen (ab 02:11),7
03:44,03:44,RB 62091,Nauen (ab 03:08),
04:25,04:25,ICE 646,Berlin Südkreuz (ab 04:18),
04:31,04:31,ICE 277,Berlin Südkreuz (ab 04:25),
04:40,04:40,RE 62040,Nauen (ab 04:03),2
04:45,04:45,RE 3369,Eberswalde Hbf (ab 04:03),
04:53 Ausfall,--:--,ICE 240,Berlin Südkreuz (ab 04:47),6
05:04 (+32),05:36,RJ 2578,Praha hl.n. (ab 00:33),5
05:04 (+2),05:06,RJ 478,Praha hl.n. (ab 00:33),5
05:06,05:06,RE 3144,Rathenow (ab 04:09),
05:08,05:08,FEX,Bad Herrenalb (ab 10:03),
05:11,05:11,RE 4351,Neustrelitz Hbf (ab 03:49),
05:21 (+2),05:23,ICE 2843,Berlin Gesundbrunnen (ab 05:16),4
05:21 (+2),05:23,ICE 2889,Lüneburg (ab 10:30),4
05:21,05:21,ICE 593,Berlin Gesundbrunnen (ab 05:16),4
05:29 (+50),06:19,RE 3341,Schwedt(Oder) (ab 04:04),
05:31,05:31,ICE 946,Berlin Südkreuz (ab 05:26),7
05:31,05:31,ICE 956,Berlin Südkreuz (ab 05:26),
05:32,05:32,ICE 1501,Berlin Gesundbrunnen (ab 05:26),4
05:36,05:36,RE 62000,Wittenberge (ab 04:05),
05:43,05:43,RE 3504,Berlin Südkreuz (ab 05:34),6
05:52,05:52,RE 3167,Jüterbog (ab 05:02),
05:53,05:53,RB 18501,Cottbus Hbf (ab 04:24),8
05:53,05:53,RE 18501,Cottbus Hbf (ab 04:24),
06:05,06:05,RE 4,Konstanz (ab 00:13),
06:11 (+5),06:16,RE 3503,Neubrandenburg (ab 04:27),4
06:15,06:15,RE 62005,Elsterwerda (ab 04:29),7
06:18 (+1),06:19,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),
06:22,06:22,ICE 503,Berlin Gesundbrunnen (ab 06:16),4
06:23,06:23,RB 21820,Flughafen BER (ab 06:01),
06:25 (+3),06:28,ICE 2557,Berlin Südkreuz (ab 06:20),7
06:29,06:29,RE 3301,Pasewalk (ab 04:44),
06:32,06:32,ICE 1003,Berlin Gesundbrunnen (ab 06:26),4
06:32,06:32,ICE 2823,Berlin Gesundbrunnen (ab 06:26),4
06:35,06:35,RE 62002,Wittenberge (ab 05:05),2 D - G
06:39,06:39,RB 21822,Flughafen BER (ab 06:16),
06:43,06:43,RE 4352,Berlin Südkreuz (ab 06:34),5
06:50,06:50,RE 3147,Falkenberg(Elster) (ab 05:14),
06:53,06:53,RB 18503,Cottbus Hbf (ab 05:23),8
06:53,06:53,RE 18503,Cottbus Hbf (ab 05:23),
07:02,07:02,ICE 750,Berlin Gesundbrunnen (ab 06:56),4
07:06,07:06,RE 3146,Rathenow (ab 06:09),
07:06,07:06,RE 62154,Rathenow (ab 06:09),
07:08,07:08,RE 21826,Flughafen BER (ab 06:46),
07:11 (+6),07:17,RE 4353,Rostock Hbf (ab 04:34),
07:13 (+3),07:16,RE 62007,Elsterwerda (ab 05:29),5
07:18,07:18,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),
07:22 (+33),07:55,IC 60409,Zürich HB (ab 19:59),5
07:22 (+69),08:31,NJ 409,Mannheim Hbf (ab 00:13),3
07:23 (+14),07:37,ICE 2585,Hamburg Hbf (ab 05:30),4
07:23,07:23,RB 21828,Flughafen BER (ab 07:01),
07:27,07:27,FLX 1322,Berlin Südkreuz (ab 07:20),7
