Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:16,RE 62045,Nauen (an 00:57),Berlin Hbf
00:22 (+1),ICE 101,Karlsruhe Hbf (an 08:58),Berlin Hbf
00:22 (+45),ICE 947,Berlin-Spandau (an 23:59),Berlin Hbf
00:22 (+45),ICE 957,Berlin-Spandau (an 23:59),Berlin Hbf
00:29 (+1),RE 3745,Bad Belzig (an 01:33),Berlin Hbf
00:40,RE 62038,Flughafen BER (an 01:15),Berlin Hbf
00:42,RE 3361,Lutherstadt Wittenberg Hbf (an 01:58),Berlin Hbf
00:42,RE 3363,Landsberg(b. Halle/Saale) (an 02:50),Berlin Hbf
00:44,RE 73797,Magdeburg Hbf (an 02:37),Berlin Hbf
00:49,RE 62090,Berlin Südkreuz (an 00:56),Berlin Hbf
00:51,RE 3141,Berlin-Charlottenburg (an 01:00),Berlin Hbf
00:53,RE 3140,Cottbus Hbf (an 02:39),Berlin Hbf
00:54,RE 3165,Rathenow (an 01:54),Berlin Hbf
01:01,ICE 500,S+U Gesundbrunnen Bhf (an 01:05),Berlin Hbf
01:05 (+2),RE 3742,Berlin Ostkreuz (an 01:20),Berlin Hbf
01:15,RE 62041,Berlin-Spandau (an 01:31),Berlin Hbf
01:23,RE 73794,Frankfurt(Oder) (an 02:37),Berlin Hbf
01:34 (+17),ICE 1018,Berlin Gesundbrunnen (an 01:38),Berlin Hbf
01:41,RE 73753,Brandenburg Hbf (an 02:39),Berlin Hbf
01:48,RE 62042,Flughafen BER (an 02:21),Berlin Hbf
02:06,RE 3364,Eberswalde Hbf (an 02:46),Berlin Hbf
02:14,RE 62047,Nauen (an 02:55),Berlin Hbf
02:20,RE 3701,Bad Belzig (an 03:24),Berlin Hbf
02:37,RE 73798,Frankfurt(Oder) (an 03:55),Berlin Hbf
02:46,RE 62046,Flughafen BER (an 03:18),Berlin Hbf
03:07,RE 73755,Berlin-Wannsee (an 03:26),Berlin Hbf
03:13,RE 62043,Nauen (an 03:53),Berlin Hbf
03:15,FEX19801,Berlin Ostbahnhof (an 03:25),Berlin Hbf
03:29,FEX19803,Berlin Ostbahnhof (an 03:39),Berlin Hbf
03:46,RE 62044,Flughafen BER (an 04:18),Berlin Hbf
04:16,RE 62001,Wismar (an 07:26),Berlin Hbf
04:21,RE 3302,Stralsund Hbf (an 07:44),Berlin Hbf
04:23,ICE 646,Düsseldorf Hbf (an 09:07),Berlin Hbf
04:30 (+8),ICE 501,München Hbf (an 09:18),Berlin Hbf
04:33,RE 73800,Berlin Ostbahnhof (an 04:43),Berlin Hbf
04:41,RE 62048,Flughafen BER (an 05:15),Berlin Hbf
04:46,RE 3369,Berlin Südkreuz (an 04:53),Berlin Hbf
05:06,RE 3144,Falkenberg(Elster) (an 06:34),Berlin Hbf
05:12,RB 18500,Nauen (an 05:48),Berlin Hbf
05:14,RE 3707,Dessau Hbf (an 06:53),Berlin Hbf
05:19 (+2),ICE 593,München Hbf (an 13:41),Berlin Hbf
05:19,RE 62003,Bad Kleinen (an 08:17),Berlin Hbf
05:23,RE 2,Duisburg Hbf (an 23:34),Berlin Hbf
05:23,RE 3102,Cottbus Hbf (an 06:57),Berlin Hbf
05:27,ICE 946,Düsseldorf Hbf (an 10:02),Berlin Hbf
05:27,ICE 956,Köln Hbf (an 10:34),Berlin Hbf
05:30,RE 50257,Elsterwerda (an 07:33),Berlin Hbf
05:30 (+1),RJ 257,Graz Hbf (an 17:33),Berlin Hbf
05:32,RE 3340,Schwedt(Oder) (an 06:56),Berlin Hbf
05:34,RE 3,Erfurt Hbf (an 21:07),Berlin Hbf
05:34,RE 3301,Jüterbog (an 06:26),Berlin Hbf
05:37,RE 3103,Berlin-Spandau (an 05:54),Berlin Hbf
05:45,RE 3704,Lübbenau(Spreewald) (an 07:03),Berlin Hbf
05:47,RB 18501,Berlin Südkreuz (an 05:54),Berlin Hbf
05:57,RE 3167,Stendal Hbf (an 07:15),Berlin Hbf
06:00 (+1),ICE 1001,München Hbf (an 10:02),Berlin Hbf
06:01,RE 73719,Magdeburg Hbf (an 07:47),Berlin Hbf
06:06 (+2),IC 240,Amsterdam Centraal (an 11:59),Berlin Hbf
06:06,RE 3164,Jüterbog (an 06:56),Berlin Hbf
06:12,RB 18502,Nauen (an 06:51),Berlin Hbf
06:20,RE 62005,Wittenberge (an 07:57),Berlin Hbf
06:23,RE 3104,Kunersdorf (an 07:47),Berlin Hbf
06:24 (+1),ICE 503,München Hbf (an 11:03),Berlin Hbf
06:29 (+1),ICE 277,Basel SBB (an 13:48),Berlin Hbf
06:32,RE 3341,Lutherstadt Wittenberg Hbf (an 07:59),Berlin Hbf
06:33 (+1),RE 3304,Stralsund Hbf (an 09:41),Berlin Hbf
06:36 (+1),IC 494,Berlin Gesundbrunnen (an 06:40),Berlin Hbf
06:36,ICE 808,Hamburg-Altona (an 08:40),Berlin Hbf
06:37,RE 3105,Berlin-Spandau (an 06:54),Berlin Hbf
06:40,RE 62002,Flughafen BER (an 07:15),Berlin Hbf
06:46 (+1),ICE 644,Salzburg Hbf (an 15:49),Berlin Hbf
06:47,RB 18503,Berlin Südkreuz (an 06:54),Berlin Hbf
06:55 (+2),ICE 835,Frankfurt(Main)Hbf (an 10:56),Berlin Hbf
06:57,ICE 654,Hannover Hbf (an 08:37),Berlin Hbf
06:57,RE 3147,Rathenow (an 07:55),Berlin Hbf
07:01,RE 92078,Magdeburg Hbf (an 08:47),Berlin Hbf
07:02 (+1),ICE 1103,München Hbf (an 11:11),Berlin Hbf
07:06 (+1),IC 2070,Hamburg-Altona (an 09:24),Berlin Hbf
07:06 (+1),ICE 1052,Aachen Hbf (an 13:11),Berlin Hbf
07:06 (+2),RE 3146,Falkenberg(Elster) (an 08:34),Berlin Hbf
07:11 (+1),EC 171,Praha hl.n. (an 11:27),Berlin Hbf
07:12,RB 18504,Nauen (an 07:47),Berlin Hbf
07:20 (+7),ICE 100,Berlin Ostbahnhof (an 07:27),Berlin Hbf
07:20 (+1),ICE 595,München Hbf (an 15:43),Berlin Hbf
07:20,RE 62007,Wismar (an 10:37),Berlin Hbf
07:23,RE 3106,Cottbus Hbf (an 08:55),Berlin Hbf
07:24 Ausfall,ICE 791,Fulda (an 10:44),Berlin Hbf
07:31 (+3),ICE 701,München Hbf (an 12:42),Berlin Hbf
07:31 (+1),RE 3342,Schwedt(Oder) (an 08:56),Berlin Hbf
07:32,IC 2432,Emden Hbf (an 13:38),Berlin Hbf
07:32,RE 62432,Potsdam Hbf (an 07:58),Berlin Hbf
07:35,RE 3303,Jüterbog (an 08:26),Berlin Hbf
07:36,ICE 4,Berlin Ostbahnhof (an 07:42),Berlin Hbf
07:36,ICE 674,Berlin Ostbahnhof (an 07:42),Berlin Hbf
07:37,RE 3107,Berlin-Spandau (an 07:54),Berlin Hbf
07:40,RE 62004,Flughafen BER (an 08:15),Berlin Hbf
07:41 (+1),ICE 1606,Hamburg-Altona (an 09:39),Berlin Hbf
07:41,RE 52980,Berlin-Wannsee (an 07:58),Berlin Hbf
07:41,RE 73763,Potsdam Hbf (an 08:05),Berlin Hbf
07:45 (+2),ICE 1078,Ostseebad Binz (an 11:35),Berlin Hbf
07:45,RE 51078,Prenzlau (an 09:03),Berlin Hbf
07:46 (+1),ICE 944,Düsseldorf Hbf (an 12:07),Berlin Hbf
07:46 (+1),ICE 954,Köln Hbf (an 12:41),Berlin Hbf
07:46,RE 3708,Senftenberg (an 09:41),Berlin Hbf
07:47,RB 18505,Berlin Südkreuz (an 07:55),Berlin Hbf
07:55 (+1),RE 3169,Stendal Hbf (an 09:15),Berlin Hbf
07:57 (+1),ICE 1035,Saarbrücken Hbf (an 14:40),Berlin Hbf
08:01,RE 73723,Potsdam Hbf (an 08:29),Berlin Hbf
08:03 (+54),RE 3166,Jüterbog (an 08:56),Berlin Hbf
08:04 (+1),IC 2074,Westerland(Sylt) (an 13:35),Berlin Hbf
08:06 (+1),IC 148,Amsterdam Centraal (an 13:59),Berlin Hbf
08:09,FLX 1360,Hamburg Hbf (an 10:10),Berlin Hbf
08:10,RB 18147,Berlin Ostbahnhof (an 08:20),Berlin Hbf
08:12 (+1),ICE 1003,Garmisch-Partenkirchen (an 13:43),Berlin Hbf
08:12,RB 18506,Berlin-Spandau (an 08:22),Berlin Hbf
