Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:16 (+97),ICE 901,Berlin-Spandau (an 23:56),12
00:22 (+2),RE 3366,Angermünde (an 01:26),6
00:29,ICE 947,Berlin Ostbahnhof (an 00:36),11
00:29,RE 7,Erfurt Hbf (an 17:06),
00:29,RE 94045,Berlin-Wannsee (an 00:47),14
00:39 Ausfall,ICE 700,Berlin Gesundbrunnen (an 00:43),5
00:40,RE 3,Lindau-Reutin (an 23:25),
00:40,RE 3363,Halle(Saale)Hbf (an 03:12),
00:47,RB 56816,Berlin Südkreuz (an 00:53),
00:55,RB 94796,Potsdam Hbf (an 01:22),
00:55,RE 73796,Brandenburg Hbf (an 01:54),14
00:58 (+7),ICE 2934,Berlin Gesundbrunnen (an 00:43),5
01:04,RE 3742,Berlin Ostbahnhof (an 01:14),11
01:22 (+3),RE 73791,Frankfurt(Oder) (an 02:38),12
01:22,RE 94791,Frankfurt(Oder) (an 02:38),12
01:32 (+131),ICE 1707,Berlin Ostbahnhof (an 01:40),12
01:50,RB 94752,Potsdam Hbf (an 02:18),
01:59 (+15),ICE 274,Berlin Ostbahnhof (an 02:07),12
02:09,RE 3362,Bernau(b Berlin) (an 02:27),
02:30,RE 3703,Berlin-Wannsee (an 02:48),
02:37,RB 94793,Frankfurt(Oder) (an 03:55),
03:07,RE 73754,Magdeburg Hbf (an 05:08),
04:11,RE 73751,Frankfurt(Oder) (an 05:29),11
04:18,RE 3340,Stralsund Hbf (an 08:45),5
04:23 (+1),ICE 646,Köln Hbf (an 09:33),14
04:25,RE 62001,Berlin-Spandau (an 04:35),
04:25,RE 62047,Berlin-Spandau (an 04:35),
04:28 (+1),ICE 277,Chur (an 14:22),13
04:30,RE 73801,Frankfurt(Oder) (an 05:36),11
04:35,RE 2,Singen(Hohentwiel) (an 07:50),
04:35,RE 3101,Berlin-Spandau (an 04:53),13
04:39,ICE 1706,Hamburg Hbf (an 07:11),8
04:46,RE 4350,Rostock Hbf (an 07:21),6
04:47,RE 3369,Berlin Südkreuz (an 04:53),4
04:47,RE 62040,Doberlug-Kirchhain (an 06:14),
05:03 (+1),RE 73716,Magdeburg Hbf (an 06:50),13
05:09,RE 3144,Falkenberg(Elster) (an 06:44),2
05:09,RE 4,München Hbf (an 08:35),
05:10 (+3),RB 56801,Schwerin Hbf (an 07:48),6
05:14,RE 4351,Berlin Südkreuz (an 05:23),4
05:15 (+3),RE 3707,Dessau Hbf (an 06:53),13
05:16,RE 73753,Frankfurt(Oder) (an 06:35),11
05:22 (+1),RE 3302,Stralsund Hbf (an 08:45),5
05:25,RE 62003,Elstal (an 05:53),7
05:27 (+2),ICE 2863,München Hbf (an 13:15),4
05:27 (+1),ICE 593,München Hbf (an 13:15),4
05:28 (+1),ICE 946,Köln Hbf (an 10:35),14
05:32 Ausfall,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),2
05:36 (+4),ICE 1501,München Hbf (an 09:41),4
05:42 (+1),ICE 608,Hamburg Hbf (an 08:15),6
05:43,RE 62000,Elsterwerda (an 07:15),2
05:46 (+1),RE 3504,Stralsund Hbf (an 08:51),5
05:47,RB 62050,Berlin-Spandau (an 05:59),7
05:51 (+1),EC 41,Warszawa Wschodnia (an 11:15),11
05:52 (+1),ICE 701,Graz Hbf (an 13:15),3
05:54 (+3),RE 3167,Stendal Hbf (an 07:13),7
05:58,RB 18500,Lübbenau(Spreewald) (an 07:18),
05:59,RE 73713,Frankfurt(Oder) (an 07:18),11
06:01 (+1),RE 73718,Magdeburg Hbf (an 07:50),14
06:07 (+1),ICE 240,Amsterdam Centraal (an 11:59),14
06:07,RE 3164,Jüterbog (an 06:54),2
06:09,RJ 171,Praha hl.n. (an 11:25),
06:14,RB 62051,Rangsdorf (an 06:38),1
06:15 Ausfall,RE 3503,Sargans (an 22:24),4
06:23 (+5),RE 3342,Schwedt(Oder) (an 07:55),6
06:24,RE 73760,Brandenburg Hbf (an 07:19),13
06:25,RE 62005,Berlin-Spandau (an 06:35),7
06:29,ICE 279,Interlaken Ost (an 15:59),14
06:29 (+1),ICE 503,München Hbf (an 11:07),3
06:33 (+22),ICE 904,Berlin Gesundbrunnen (an 06:37),5
06:36 (+1),ICE 1003,München Hbf (an 10:45),4
06:37 (+1),ICE 1604,Berlin Gesundbrunnen (an 10:31),5
06:37 (+1),ICE 1704,Hamburg Hbf (an 09:11),7
06:37,RE 73755,Frankfurt(Oder) (an 07:47),12
06:40,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2 A - D
06:41,RE 73804,Brandenburg Hbf (an 07:33),13
06:44,RE 62002,Elsterwerda (an 08:31),2 D - G
06:46 (+3),ICE 644,Köln Hbf (an 11:33),14
06:46,RE 3706,Berlin Ostbahnhof (an 06:56),11
06:46,RE 4352,Rostock Hbf (an 09:21),5
06:46,RE 5,Göppingen (an 23:49),
06:48,RB 62052,Berlin-Spandau (an 06:59),7
06:51,ICE 1272,Frankfurt(M) Flughafen Fernbahnhof (an 23:46),12
06:51,ICE 2810,Berlin Ostbahnhof (an 07:02),12
06:54 (+1),RE 3147,Rathenow (an 07:52),7
06:58,ICE 938,Ostseebad Binz (an 10:33),
06:59 (+1),RE 73715,Frankfurt(Oder) (an 08:20),11
07:00,RB 18502,Lübbenau(Spreewald) (an 08:15),
07:00,RE 20,Cottbus Hbf (an 22:48),
07:01 (+1),RE 73720,Magdeburg Hbf (an 08:50),14
07:06 (+1),ICE 9590,Paris Est (an 14:51),4
07:09,RE 3146,Falkenberg(Elster) (an 08:44),2
07:10 (+7),ICE 1548,Köln Hbf (an 12:16),14
07:14,RB 62053,Berlin Südkreuz (an 07:21),1
07:14 (+1),RE 4353,Berlin Südkreuz (an 07:23),4
07:15 (+5),RE 3711,Dessau Hbf (an 08:53),13
07:15,RE 73805,Berlin Ostbahnhof (an 07:24),12
07:20 (+3),ICE 795,Karlsruhe Hbf (an 13:17),14
07:22 (+1),RE 3304,Stralsund Hbf (an 10:44),6
07:24,RE 62007,Elstal (an 07:53),7
07:24 (+3),RE 73762,Brandenburg Hbf (an 08:23),13
07:27 (+18),ICE 2835,Eisenach Hbf (an 09:54),2
07:27,ICE 595,München Hbf (an 15:14),4
07:32,RE 3343,Luckenwalde (an 08:27),2
07:36 (+1),IC 2274,Rostock Hbf (an 09:37),5
07:36,ICE 1503,München Hbf (an 11:43),4
07:36,ICE 2919,München Hbf (an 11:43),4
07:37,RE 73757,Frankfurt(Oder) (an 08:43),12
07:38 (+1),ICE 606,Hamburg-Altona (an 10:24),6
07:41 (+1),RE 73806,Brandenburg Hbf (an 08:33),13
07:43,RE 62004,Elsterwerda (an 09:14),2
07:46 (+1),ICE 944,Köln Hbf (an 12:33),14
07:46,RE 3506,St. Gallen(CH) (an 23:34),6
07:46,RE 94008,Berlin Ostbahnhof (an 07:56),11
07:48,EC 43,Warszawa Wschodnia (an 13:15),12
07:48,RB 62054,Berlin-Spandau (an 07:59),7
07:52,ICE 703,München Hbf (an 12:42),3
07:52 (+13),RB 18146,Potsdam Hbf (an 08:19),13
07:54,RE 3169,Stendal Hbf (an 09:30),7
07:56,ICE 649,Berlin Ostbahnhof (an 08:03),12
07:57 (+1),FLX 1235,Stuttgart Hbf (an 13:46),4
07:59,RE 73717,Frankfurt(Oder) (an 09:18),11
08:00 (+3),ICE 1131,Saarbrücken Hbf (an 14:17),7
08:00,ICE 2821,Saarbrücken Hbf (an 14:17),7
08:00,RB 18504,Lübbenau(Spreewald) (an 09:15),2
08:01,RE 73722,Magdeburg Hbf (an 09:50),13
08:07 (+10),ICE 148,Amsterdam Centraal (an 14:01),14
08:07 (+3),RE 3166,Jüterbog (an 08:54),2
08:10,ICE 698,Berlin Gesundbrunnen (an 08:14),5
08:10 (+1),RB 18145,Berlin Ostbahnhof (an 08:21),11
08:14,RB 62055,Berlin Südkreuz (an 08:21),1
08:15 (+21),RE 3713,Berlin-Wannsee (an 08:34),13
08:15,RE 73807,Berlin Ostbahnhof (an 08:24),12
08:16,RE 3505,Sargans (an 23:24),3
08:21 (+25),ICE 851,Berlin Ostbahnhof (an 08:28),11
08:23 (+1),RE 3344,Schwedt(Oder) (an 09:55),6
08:24 (+4),RE 73764,Brandenburg Hbf (an 09:19),14
08:25,RE 62009,Berlin-Spandau (an 08:35),7 A - D
08:26 (+2),IC 2173,Dresden Hbf (an 10:28),4
08:27 (+2),ICE 1702,Hamburg Hbf (an 11:12),5
08:27,ICE 2828,Hamburg Hbf (an 11:12),
08:29 (+58),ICE 505,München Hbf (an 13:08),3
08:31 (+6),ICE 371,Basel SBB (an 15:48),13
08:36 (+1),ICE 1005,München Hbf (an 12:46),4
08:37,RE 73759,Frankfurt(Oder) (an 09:43),12
08:39 (+3),FLX 1320,Köln Hbf (an 13:41),7
08:40 (+3),RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2 A - D
08:41,RE 73808,Brandenburg Hbf (an 09:33),13
08:44,RE 62006,Elsterwerda (an 10:31),2 D - G
08:46 (+1),ICE 642,Köln Hbf (an 13:34),14
08:46 (+10),RE 3710,Berlin Ostbahnhof (an 08:56),11
08:46,RE 4354,Rostock Hbf (an 11:21),5
08:48 (+1),RB 62056,Berlin-Spandau (an 08:59),7
08:52 (+1),EC 59,Przemysl Glowny (an 18:43),12
08:52,RB 18148,Golm (an 09:36),13
08:54,RE 3149,Rathenow (an 09:54),7
08:55 (+4),ICE 841,Berlin Ostbahnhof (an 09:03),11
08:58 (+1),ICE 936,Ostseebad Binz (an 12:29),6
08:59 (+3),RE 73719,Frankfurt(Oder) (an 10:18),12
09:00,RB 18506,Lübbenau(Spreewald) (an 10:15),1
09:01 (+3),RE 73724,Magdeburg Hbf (an 10:50),13
09:05 (+1),ICE 837,Frankfurt(Main)Hbf (an 12:56),4
09:09,RE 3148,Falkenberg(Elster) (an 10:44),2
09:10 (+2),RB 18147,Berlin Ostbahnhof (an 09:21),12
09:12 (+1),ICE 1052,Köln Hbf (an 14:19),13
09:12,ICE 2292,Köln Hbf (an 14:19),13
09:14,RB 62057,Berlin Südkreuz (an 09:21),1
09:14 (+5),RE 4355,Berlin Südkreuz (an 09:23),4
09:15 (+8),RE 3715,Dessau Hbf (an 10:53),14
09:15 (+2),RE 73809,Berlin Ostbahnhof (an 09:24),11
09:20 (+31),ICE 541,Berlin Ostbahnhof (an 09:28),12
09:20 (+1),ICE 797,Frankfurt(M) Flughafen Fernbf (an 13:52),13
09:22 (+1),RE 3306,Stralsund Hbf (an 12:44),6
09:24 (+2),RE 73766,Brandenburg Hbf (an 10:19),14
09:27,ICE 1104,Berlin Gesundbrunnen (an 09:31),5
09:27,ICE 2843,München Hbf (an 19:50),
09:27 (+11),ICE 597,München Hbf (an 17:16),4
09:27,RE 62011,Elstal (an 09:55),7
