Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:22,00:22,RE 3360,Angermünde (an 01:26),
00:22,00:22,RE 3366,Niedergörsdorf (an 23:14),
00:24 (+56),01:20,ICE 957,Berlin Südkreuz (an 00:29),2
00:29 (+99),02:08,ICE 1500,Berlin Gesundbrunnen (an 00:33),5
00:40,00:40,RE 3363,Jüterbog (an 01:41),1
00:45 (+56),01:41,ICE 947,Berlin Südkreuz (an 00:29),2
00:52,00:52,RB 21967,Naumburg(Saale)Hbf (an 12:50),5
00:53,00:53,RE 3165,Berlin-Spandau (an 01:03),
01:04 (+50),01:54,RJ 2579,Praha hl.n. (an 05:25),
01:04 (+66),02:10,RJ 479,Praha hl.n. (an 05:25),4
01:52,01:52,RB 21969,Berlin Südkreuz (an 01:59),
02:09,02:09,RE 3362,Eberswalde Hbf (an 02:48),
03:07,03:07,RB 21803,Berlin Südkreuz (an 03:14),
03:37,03:37,RB 21805,Berlin Südkreuz (an 03:44),
04:18,04:18,RE 3340,Schwedt(Oder) (an 05:50),5
04:21,04:21,RE 62001,Wismar (an 07:19),7
04:28 (+1),04:29,ICE 646,Düsseldorf Hbf (an 09:11),4
04:34 (+1),04:35,ICE 277,Chur (an 14:22),7
04:45,04:45,EC 41,Warszawa Wschodnia (an 11:15),
04:46,04:46,RE 4350,Rostock Hbf (an 07:23),6
04:51,04:51,RE 62040,Elsterwerda (an 06:21),2
04:54,04:54,RE 3145,Stendal Hbf (an 06:13),5
05:09,05:09,RE 3144,Berlin Südkreuz (an 05:15),
05:09 (+26),05:35,RJ 2578,Hamburg-Harburg (an 07:41),5
05:09 (+44),05:53,RJ 478,Hamburg-Harburg (an 07:41),5
05:14,05:14,RE 4351,Berlin Südkreuz (an 05:23),
05:22 (+1),05:23,RE 3302,Stralsund Hbf (an 08:45),5
05:25,05:25,RE 62003,Wittenberge (an 07:04),7
05:27 (+1),05:28,ICE 593,München Hbf (an 13:25),4
05:29 (+5),05:34,ICE 2830,Fulda (an 20:02),6
05:29 (+36),06:05,ICE 2840,Hamburg Hbf (an 07:25),6
05:29 (+36),06:05,ICE 608,Hamburg Hbf (an 07:25),6
05:32 (+4),05:36,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),2
05:35 (+1),05:36,ICE 946,Düsseldorf Hbf (an 10:08),8
05:35 (+1),05:36,ICE 956,Köln Hbf (an 10:22),7
05:36 (+8),05:44,ICE 1501,München Hbf (an 09:41),4
05:36,05:36,ICE 2799,Erfurt Hbf (an 07:12),
05:37 (+1),05:38,ICE 2891,München Hbf (an 13:25),4
05:46,05:46,RE 3504,Neustrelitz Hbf (an 06:59),
05:53,05:53,RE 62000,Elsterwerda (an 07:13),
05:54,05:54,RE 3167,Stendal Hbf (an 07:13),
