Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
04:27 (+1),RB 32910,Eberswalde Hbf (an 05:01),Berlin-Hohenschönhausen
04:29,RB 24,Flughafen BER - Terminal 1-2 (an 05:21),Berlin-Hohenschönhausen
04:29,RB24,Flughafen BER (an 07:21),Berlin-Hohenschönhausen
05:03,RB 61101,Templin Stadt (an 06:19),Berlin-Hohenschönhausen
05:49 (+4),RB 61102,Berlin Ostkreuz (an 06:03),Berlin-Hohenschönhausen
05:50 (+7),RB 18200,Oranienburg (an 06:09),Berlin-Hohenschönhausen
06:03 (+2),RB 61103,Templin Stadt (an 07:19),Berlin-Hohenschönhausen
06:49 (+2),RB 61104,Berlin Ostkreuz (an 07:03),Berlin-Hohenschönhausen
06:50,RB 18202,Oranienburg (an 07:09),Berlin-Hohenschönhausen
07:03,RB 61105,Templin Stadt (an 08:19),Berlin-Hohenschönhausen
07:26,RB 61187,Rheinsberg(Mark) (an 09:24),Berlin-Hohenschönhausen
17:50 (+27),RB 18224,Oranienburg (an 18:10),Berlin-Hohenschönhausen
18:49 Ausfall,RB 61128,Berlin Ostkreuz (an 19:03),Berlin-Hohenschönhausen
18:50 Ausfall,RB 18226,Oranienburg (an 19:09),Berlin-Hohenschönhausen
19:03 Ausfall,RB 61129,Templin Stadt (an 20:19),Berlin-Hohenschönhausen
19:49 Ausfall,RB 61130,Berlin Ostkreuz (an 20:03),Berlin-Hohenschönhausen
19:50 (+10),RB 18228,Oranienburg (an 20:09),Berlin-Hohenschönhausen
20:04 Ausfall,RB 18233,Flughafen BER - Terminal 5 (Schönefeld) (an 20:34),Berlin-Hohenschönhausen
22:39 Ausfall,RB 32945,Berlin-Lichtenberg (an 22:50),Berlin-Hohenschönhausen
