Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
05:55,05:55,RB 18302,Eberswalde Hbf (an 06:27),
11:07,11:07,RB 18315,Blankenfelde(Teltow-Fläming) (an 11:51),4
11:31,11:31,RB 18215,Ludwigsfelde (an 12:24),4
11:32,11:32,RB 18212,Oranienburg (an 11:52),3
11:49,11:49,RB 61114,Berlin Ostkreuz (an 12:01),4
11:55,11:55,RB 18314,Eberswalde Hbf (an 12:27),3
12:02,12:02,RB 61115,Templin Stadt (an 13:18),3
12:07,12:07,RB 18317,Blankenfelde(Teltow-Fläming) (an 12:51),4
12:31,12:31,RB 18217,Berlin Ostkreuz (an 12:44),
12:32,12:32,RB 18214,Oranienburg (an 12:52),3
12:49,12:49,RB 61116,Berlin Ostkreuz (an 13:01),
13:07,13:07,RB 18319,Berlin Ostkreuz (an 13:20),
13:31,13:31,RB 18219,Ludwigsfelde (an 14:24),4
13:49,13:49,RB 61118,Berlin Ostkreuz (an 14:01),
14:07,14:07,RB 18321,Blankenfelde(Teltow-Fläming) (an 14:51),4
14:31,14:31,RB 18221,Ludwigsfelde (an 15:24),4
14:32,14:32,RB 18218,Oranienburg (an 14:52),3
14:49,14:49,RB 61120,Berlin Ostkreuz (an 15:01),4
14:55,14:55,RB 18320,Eberswalde Hbf (an 15:27),3
15:07,15:07,RB 18323,Blankenfelde(Teltow-Fläming) (an 15:51),4
15:31,15:31,RB 18223,Ludwigsfelde (an 16:24),4
15:32,15:32,RB 18220,Oranienburg (an 15:52),3
15:49,15:49,RB 61122,Berlin Ostkreuz (an 16:01),4
15:55,15:55,RB 18322,Eberswalde Hbf (an 16:27),3
16:07,16:07,RB 18325,Blankenfelde(Teltow-Fläming) (an 16:51),4
16:31,16:31,RB 18225,Ludwigsfelde (an 17:24),
16:32,16:32,RB 18222,Oranienburg (an 16:52),3
16:49,16:49,RB 61124,Berlin Ostkreuz (an 17:01),
16:55,16:55,RB 18324,Eberswalde Hbf (an 17:27),3
17:02,17:02,RB 61125,Templin Stadt (an 18:18),3
17:07,17:07,RB 18327,Berlin Ostkreuz (an 17:20),
17:32,17:32,RB 18224,Oranienburg (an 17:52),3
17:49,17:49,RB 61126,Berlin Ostkreuz (an 18:01),4
18:31,18:31,RB 18229,Ludwigsfelde (an 19:24),4
19:32,19:32,RB 18228,Oranienburg (an 19:52),3
