Ankunft,Zugnr.,von (Abfahrt),Gleis
05:29,RE 62003,Baruth(Mark) (ab 04:19),4
05:59,RE 3164,Stendal Hbf (ab 04:48),3
05:59,RE 3167,Jüterbog (ab 05:02),4
06:05,RB 62051,Wustermark (ab 05:39),3
06:27,RE 62002,Elstal (ab 06:07),3
06:32,RB 18242,Potsdam Hbf (ab 05:35),3
06:58,RE 3146,Stendal Hbf (ab 05:48),3
06:59,RE 3147,Falkenberg(Elster) (ab 05:14),4
07:29,RE 62007,Elsterwerda (ab 05:29),4
07:59,RE 3166,Stendal Hbf (ab 06:47),3
07:59,RE 3169,Jüterbog (ab 07:02),4
08:27,RE 62006,Elstal (ab 08:07),3
08:58,RE 3148,Rathenow (ab 08:05),3
08:59,RE 3149,Falkenberg(Elster) (ab 07:18),4
09:31,RE 62011,Elsterwerda (ab 07:29),4
09:59,RE 3168,Stendal Hbf (ab 08:47),3
09:59,RE 3171,Jüterbog (ab 09:02),4
10:24,RE 62010,Elstal (ab 10:05),3
10:58,RE 3150,Rathenow (ab 10:02),3
10:59,RE 3151,Falkenberg(Elster) (ab 09:18),4
11:31,RE 62015,Elsterwerda (ab 09:29),4
11:59,RE 3170,Stendal Hbf (ab 10:32),3
11:59,RE 3173,Jüterbog (ab 11:02),4
12:05,RB 62063,Wustermark (ab 11:39),3
12:26,RE 62014,Elstal (ab 12:05),3
12:28,RE 62017,Baruth(Mark) (ab 11:21),4
12:32,RB 18254,Potsdam Hbf (ab 11:35),3
12:52 (+1),RB 62064,Berlin Südkreuz (ab 12:38),
12:58 (+3),RE 3152,Rathenow (ab 12:02),3
12:59,RE 3153,Falkenberg(Elster) (ab 11:18),4
13:05 (+1),RB 62065,Wustermark (ab 12:39),3
13:22,RB 18259,Berlin Gesundbrunnen (ab 13:14),4
13:27,RE 62016,Elstal (ab 13:07),3
13:31,RE 62019,Elsterwerda (ab 11:29),4
13:32,RB 18256,Potsdam Hbf (ab 12:35),3
13:52,RB 62066,Berlin Südkreuz (ab 13:38),4
13:59,RE 3172,Stendal Hbf (ab 12:31),3
13:59,RE 3175,Jüterbog (ab 13:02),4
14:05,RB 62067,Wustermark (ab 13:39),3
14:26,RB 62018,Elstal (ab 14:05),3
14:29,RE 62021,Baruth(Mark) (ab 13:20),4
14:32,RB 18258,Potsdam Hbf (ab 13:35),3
14:52,RB 62068,Berlin Südkreuz (ab 14:38),4
14:58 (+2),RE 3154,Rathenow (ab 14:02),3
14:59,RE 3155,Falkenberg(Elster) (ab 13:18),4
15:05,RB 62069,Wustermark (ab 14:39),3
15:22,RB 18263,Berlin Gesundbrunnen (ab 15:14),4
15:27,RE 62020,Elstal (ab 15:07),3
15:31,RE 62023,Elsterwerda (ab 13:29),4
15:32,RB 18260,Potsdam Hbf (ab 14:35),3
15:52,RB 62070,Rangsdorf (ab 15:21),4
15:59,RE 3174,Stendal Hbf (ab 14:32),3
15:59,RE 3177,Jüterbog (ab 15:02),4
16:04,RB 62071,Wustermark (ab 15:39),3
16:26,RE 62022,Elstal (ab 16:05),3
16:29,RE 62025,Elsterwerda (ab 14:41),4
16:32 (+3),RB 18262,Potsdam Hbf (ab 15:35),3
16:52,RB 62072,Rangsdorf (ab 16:21),4
16:58 (+2),RE 3156,Rathenow (ab 16:02),3
16:59,RE 3157,Falkenberg(Elster) (ab 15:18),4
17:05,RB 62073,Wustermark (ab 16:39),3
17:22,RB 18267,Berlin Gesundbrunnen (ab 17:14),4
17:27 (+5),RE 62024,Elstal (ab 17:07),3
17:27,RE 62027,Elsterwerda (ab 15:29),4
17:32,RB 18264,Potsdam Hbf (ab 16:35),3
17:52 (+2),RB 62074,Rangsdorf (ab 17:20),4
17:59 (+7),RE 3176,Stendal Hbf (ab 16:30),3
17:59 (+13),RE 3179,Jüterbog (ab 17:02),4
18:05,RB 62075,Wustermark (ab 17:39),
18:27 (+1),RE 62026,Elstal (ab 18:05),3
18:29,RE 62029,Elsterwerda (ab 16:41),4
18:32,RB 18266,Potsdam Hbf (ab 17:35),3
18:52,RB 62076,Rangsdorf (ab 18:21),4
18:58,RE 3158,Rathenow (ab 18:02),3
18:59,RE 3159,Falkenberg(Elster) (ab 17:18),4
19:05,RB 62077,Wustermark (ab 18:39),
19:22,RB 18271,Berlin Gesundbrunnen (ab 19:14),4
19:27,RE 62028,Elstal (ab 19:07),3
19:30,RE 62031,Elsterwerda (ab 17:29),4
19:32,RB 18268,Potsdam Hbf (ab 18:35),3
19:52,RB 62078,Berlin Südkreuz (ab 19:38),
19:59,RE 3178,Stendal Hbf (ab 18:32),3
19:59,RE 3181,Jüterbog (ab 19:02),4
20:05,RB 62079,Wustermark (ab 19:39),
20:27,RE 62030,Elstal (ab 20:06),3
20:29,RE 62033,Elsterwerda (ab 18:41),4
20:32,RB 18270,Potsdam Hbf (ab 19:35),3
20:52,RB 62080,Berlin Südkreuz (ab 20:38),
20:58,RE 3160,Rathenow (ab 20:04),3
20:59,RE 3161,Falkenberg(Elster) (ab 19:18),4
21:05,RB 62081,Wustermark (ab 20:39),
21:22,RB 18275,Berlin Gesundbrunnen (ab 21:14),4
21:27,RE 62032,Elstal (ab 21:07),3
21:29,RE 62035,Elsterwerda (ab 19:29),
21:32,RB 18272,Potsdam Hbf (ab 20:35),3
21:52,RB 62082,Berlin Südkreuz (ab 21:38),
