Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
05:23 (+1),RB 61042,Basdorf (ab 05:10),Berlin-Karow
05:53 (+4),RB 61002,Basdorf (ab 05:40),Berlin-Karow
06:23 (+3),RB 61044,Basdorf (ab 06:10),Berlin-Karow
07:23 (+1),RB 61046,Wensickendorf (ab 07:02),Berlin-Karow
08:23,RB 61048,Wensickendorf (ab 08:02),Berlin-Karow
08:53 (+1),RB 61008,Klosterfelde (ab 08:27),Berlin-Karow
09:23 (+1),RB 61050,Wensickendorf (ab 09:02),Berlin-Karow
10:23 (+1),RB 61052,Schmachtenhagen (ab 09:55),Berlin-Karow
10:53 (+3),RB 61012,Klosterfelde (ab 10:27),Berlin-Karow
11:23 (+2),RB 61054,Schmachtenhagen (ab 10:55),Berlin-Karow
12:23 (+5),RB 61056,Schmachtenhagen (ab 11:55),Berlin-Karow
12:53 (+3),RB 61016,Klosterfelde (ab 12:27),Berlin-Karow
13:23 (+1),RB 61058,Schmachtenhagen (ab 12:55),Berlin-Karow
14:23,RB 61060,Schmachtenhagen (ab 13:55),Berlin-Karow
