Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
10:27,RB 61013,Groß Schönebeck (an 11:07),Berlin-Karow
11:27,RB 61015,Klosterfelde (an 11:51),Berlin-Karow
11:57,RB 61057,Basdorf (an 12:09),Berlin-Karow
12:27,RB 61017,Wandlitz (an 12:44),Berlin-Karow
12:57,RB 61059,Schönwalde(Barnim) (an 13:06),Berlin-Karow
13:27,RB 61019,Wandlitz (an 13:44),Berlin-Karow
13:57,RB 61061,Wensickendorf (an 14:16),Berlin-Karow
14:27,RB 61021,Wandlitz (an 14:44),Berlin-Karow
14:57,RB 61063,Wensickendorf (an 15:16),Berlin-Karow
15:27,RB 61023,Wandlitz (an 15:44),Berlin-Karow
15:57,RB 61065,Wensickendorf (an 16:16),Berlin-Karow
16:27,RB 61025,Schönwalde(Barnim) (an 16:36),Berlin-Karow
17:07,RB 61067,Schönwalde(Barnim) (an 17:21),Berlin-Karow
17:27,RB 61027,Schönwalde(Barnim) (an 17:36),Berlin-Karow
17:57,RB 61069,Schönwalde(Barnim) (an 18:06),Berlin-Karow
18:27,RB 61029,Schönwalde(Barnim) (an 18:36),Berlin-Karow
18:57,RB 61071,Schönwalde(Barnim) (an 19:06),Berlin-Karow
