Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
07:27,07:27,RB 61007,Groß Schönebeck (an 08:07),
10:27,10:27,RB 61013,Groß Schönebeck (an 11:07),
12:27,12:27,RB 61017,Groß Schönebeck (an 13:07),
14:27,14:27,RB 61021,Groß Schönebeck (an 15:07),
15:27,15:27,RB 61023,Groß Schönebeck (an 16:07),
16:27,16:27,RB 61025,Groß Schönebeck (an 17:07),
17:27,17:27,RB 61027,Groß Schönebeck (an 18:07),
18:27,18:27,RB 61029,Groß Schönebeck (an 19:07),
20:27,20:27,RB 61033,Groß Schönebeck (an 21:07),
22:24,22:24,S 2,Berlin Gesundbrunnen(S) (an 22:37),
