Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:38,RB 5189,Kostrzyn (an 01:53),Berlin-Lichtenberg
05:14,RB 18300,Bernau(b Berlin) (an 05:34),Berlin-Lichtenberg
05:38,RB 5151,Kostrzyn (an 06:56),Berlin-Lichtenberg
05:39,RE 62054,Elsterwerda (an 07:47),Berlin-Lichtenberg
05:53,RB 61113,Templin Stadt (an 07:18),Berlin-Lichtenberg
06:14,RB 18302,Eberswalde Hbf (an 06:48),Berlin-Lichtenberg
06:38,RB 5153,Kostrzyn (an 07:46),Berlin-Lichtenberg
06:59,RB 61114,Berlin Ostkreuz (an 07:02),Berlin-Lichtenberg
07:01,RB 18304,Eberswalde Hbf (an 07:39),Berlin-Lichtenberg
07:33 (+11),IC 2274,Rostock Hbf (an 09:36),Berlin-Lichtenberg
07:36,FEX91719,Flughafen BER (an 08:02),Berlin-Lichtenberg
07:38,RB 5155,Kostrzyn (an 08:57),Berlin-Lichtenberg
07:43,RE 62058,Elsterwerda (an 09:44),Berlin-Lichtenberg
07:49 (+13),ICE 1078,Ostseebad Binz (an 11:35),Berlin-Lichtenberg
07:49,ICE22334,Ostseebad Binz (an 11:35),Berlin-Lichtenberg
07:53,RB 61107,Oranienburg (an 08:21),Berlin-Lichtenberg
08:07,FEX91721,Flughafen BER (an 08:30),Berlin-Lichtenberg
08:14,RB 18306,Eberswalde Hbf (an 08:54),Berlin-Lichtenberg
08:26 (+10),IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),Berlin-Lichtenberg
08:30,NJ 456,Berlin Gesundbrunnen (an 08:40),Berlin-Lichtenberg
08:36,FEX91723,Flughafen BER (an 09:02),Berlin-Lichtenberg
08:38,RB 5157,Kostrzyn (an 09:53),Berlin-Lichtenberg
08:42,IRE 5461,Cottbus Hbf (an 10:12),Berlin-Lichtenberg
08:42,IRE69024,Wroclaw Glowny (an 13:07),Berlin-Lichtenberg
08:53,RB 61109,Oranienburg (an 09:21),Berlin-Lichtenberg
09:07,FEX91725,Flughafen BER (an 09:30),Berlin-Lichtenberg
09:14,FEX91727,Flughafen BER (an 09:49),Berlin-Lichtenberg
09:14,RB 18308,Bernau(b Berlin) (an 09:33),Berlin-Lichtenberg
09:38,RB 5159,Kostrzyn (an 10:54),Berlin-Lichtenberg
09:39,RE 62062,Elsterwerda (an 11:44),Berlin-Lichtenberg
09:40 (+9),IC 2272,Rostock Hbf (an 11:38),Berlin-Lichtenberg
09:53,RB 61121,Oranienburg (an 10:21),Berlin-Lichtenberg
10:07,FEX91729,Flughafen BER (an 10:30),Berlin-Lichtenberg
10:14,RB 18310,Eberswalde Hbf (an 10:54),Berlin-Lichtenberg
10:27 (+2),IC 2175,Dresden Hbf (an 12:27),Berlin-Lichtenberg
10:35,FEX91731,Flughafen BER (an 11:02),Berlin-Lichtenberg
10:38,RB 5161,Kostrzyn (an 11:53),Berlin-Lichtenberg
10:39 (+1),IC 2472,Rostock Hbf (an 12:36),Berlin-Lichtenberg
10:53,RB 61123,Oranienburg (an 11:22),Berlin-Lichtenberg
11:07,FEX91733,Flughafen BER (an 11:30),Berlin-Lichtenberg
11:14,RB 18312,Eberswalde Hbf (an 11:54),Berlin-Lichtenberg
11:38,RB 5163,Kostrzyn (an 12:57),Berlin-Lichtenberg
11:41,RE 62066,Elsterwerda (an 13:44),Berlin-Lichtenberg
11:42 (+13),IC 2270,Rostock Hbf (an 13:37),Berlin-Lichtenberg
11:48,ICE 1076,Ostseebad Binz (an 15:37),Berlin-Lichtenberg
11:48,ICE22333,Stralsund Hbf (an 14:33),Berlin-Lichtenberg
11:48,RE 51076,Prenzlau (an 13:03),Berlin-Lichtenberg
11:53,RB 61125,Oranienburg (an 12:21),Berlin-Lichtenberg
12:00,FEX91737,Flughafen BER (an 12:30),Berlin-Lichtenberg
12:14,RB 18314,Bernau(b Berlin) (an 12:33),Berlin-Lichtenberg
12:28 (+18),IC 2177,Dresden Hbf (an 14:27),Berlin-Lichtenberg
12:35,FEX92239,Flughafen BER (an 13:02),Berlin-Lichtenberg
12:38,RB 5165,Kostrzyn (an 13:53),Berlin-Lichtenberg
12:53,RB 61127,Templin Stadt (an 14:18),Berlin-Lichtenberg
13:14,RB 18316,Eberswalde Hbf (an 13:54),Berlin-Lichtenberg
13:37,RE 62070,Elsterwerda (an 15:44),Berlin-Lichtenberg
13:38,RB 5167,Kostrzyn (an 14:57),Berlin-Lichtenberg
13:43 (+7),ICE 1074,Ostseebad Binz (an 17:33),Berlin-Lichtenberg
13:43,ICE22331,Stralsund Hbf (an 16:30),Berlin-Lichtenberg
13:43,RE 51074,Prenzlau (an 14:58),Berlin-Lichtenberg
13:49,RB 18319,Schönefeld(bei Berlin) (an 14:11),Berlin-Lichtenberg
13:59,RB 61128,Berlin Ostkreuz (an 14:02),Berlin-Lichtenberg
14:14,RB 18318,Eberswalde Hbf (an 14:54),Berlin-Lichtenberg
14:26 (+1),IC 2179,Dresden Hbf (an 16:27),Berlin-Lichtenberg
14:38,RB 5169,Kostrzyn (an 15:53),Berlin-Lichtenberg
15:14,RB 18320,Eberswalde Hbf (an 15:54),Berlin-Lichtenberg
15:37 (+10),IC 2176,Rostock Hbf (an 17:37),Berlin-Lichtenberg
15:38,RB 5171,Kostrzyn (an 16:57),Berlin-Lichtenberg
15:38,RE 62074,Elsterwerda (an 17:45),Berlin-Lichtenberg
15:49,ICE 1072,Ostseebad Binz (an 19:29),Berlin-Lichtenberg
15:49,ICE22329,Stralsund Hbf (an 18:33),Berlin-Lichtenberg
15:49,RE 21,Prenzlau (an 17:03),Berlin-Lichtenberg
15:53,RB 61133,Templin Stadt (an 17:18),Berlin-Lichtenberg
16:14,RB 18322,Eberswalde Hbf (an 16:54),Berlin-Lichtenberg
16:27 (+23),IC 2271,Chemnitz Hbf (an 18:52),Berlin-Lichtenberg
16:38,RB 5173,Kostrzyn (an 17:53),Berlin-Lichtenberg
16:40,RB 61208,Berlin Ostkreuz (an 16:43),Berlin-Lichtenberg
16:40,RE 62076,Baruth(Mark) (an 17:53),Berlin-Lichtenberg
