Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
04:43,04:43,RE 5,Stuttgart Hbf (an 20:23),
05:05,05:05,RE 56301,Schwerin Hbf (an 07:48),
05:35,05:35,RE 3103,Berlin-Spandau (an 05:54),
05:42,05:42,RE 3504,Stralsund Hbf (an 08:51),
06:35,06:35,RE 3105,Berlin-Spandau (an 06:54),
06:36,06:36,RE 4352,Rostock Hbf (an 09:26),
06:54,06:54,RE 56303,Schwerin Hbf (an 09:48),
07:43,07:43,RE 3506,St. Gallen(CH) (an 23:34),
07:47,07:47,RB 18306,Eberswalde Hbf (an 08:27),
08:35,08:35,RE 3109,Berlin-Spandau (an 08:54),
08:43,08:43,RE 34921,Rostock Hbf (an 11:24),
08:43,08:43,RE 4354,Rostock Hbf (an 11:24),
08:47,08:47,RB 18308,Eberswalde Hbf (an 09:27),
08:54,08:54,RE 56305,Schwerin Hbf (an 11:48),
09:35,09:35,RE 3111,Berlin-Spandau (an 09:54),
09:47,09:47,RB 18310,Eberswalde Hbf (an 10:27),16
09:50,09:50,RE 34984,Stralsund Hbf (an 12:51),
09:50,09:50,RE 3508,Stralsund Hbf (an 12:51),
10:17,10:17,RB 18313,Blankenfelde(Teltow-Fläming) (an 10:51),22
10:35,10:35,RE 3113,Hennigsdorf(b Berlin) (an 11:23),
10:36,10:36,RB 34923,Hamburg Hbf (an 16:05),
10:36,10:36,RE 34923,Rostock Hbf (an 13:23),
10:36,10:36,RE 4356,Rostock Hbf (an 13:23),
10:41,10:41,RB 18213,Ludwigsfelde (an 11:24),22
10:45,10:45,RB 61192,Berlin Ostkreuz (an 10:48),17
10:47,10:47,RB 18312,Eberswalde Hbf (an 11:27),16
10:54,10:54,RB 92887,Oranienburg (an 11:22),
10:54,10:54,RE 56307,Schwerin Hbf (an 13:48),
11:17,11:17,RB 18315,Blankenfelde(Teltow-Fläming) (an 11:51),22
11:35,11:35,RE 3115,Hennigsdorf(b Berlin) (an 12:23),
11:41,11:41,RB 18215,Ludwigsfelde (an 12:24),22
11:42,11:42,RE 34986,Oranienburg (an 12:13),
11:42,11:42,RE 3510,Stralsund Hbf (an 14:51),
11:47,11:47,RB 18314,Eberswalde Hbf (an 12:27),
12:35,12:35,RE 3117,Hennigsdorf(b Berlin) (an 13:23),
12:41,12:41,RB 18217,Ludwigsfelde (an 13:24),22
12:43,12:43,RE 34925,Rostock Hbf (an 15:26),
12:43,12:43,RE 4358,Rostock Hbf (an 15:26),
12:47,12:47,RB 18316,Eberswalde Hbf (an 13:27),15
12:54,12:54,RE 56309,Schwerin Hbf (an 15:48),
13:35,13:35,RE 3119,Hennigsdorf(b Berlin) (an 14:23),
13:41,13:41,RB 18219,Ludwigsfelde (an 14:24),22
13:46,13:46,RE 34988,Stralsund Hbf (an 16:51),
13:46,13:46,RE 3512,Stralsund Hbf (an 16:51),
13:47,13:47,RB 18318,Eberswalde Hbf (an 14:27),
14:35,14:35,RE 3121,Hennigsdorf(b Berlin) (an 15:23),
14:37,14:37,RE 3120,Cottbus Hbf (an 15:55),
14:41,14:41,RB 18221,Ludwigsfelde (an 15:24),22
14:44,14:44,RE 34927,Oranienburg (an 15:13),
14:44,14:44,RE 4360,Rostock Hbf (an 17:28),
14:47,14:47,RB 18320,Eberswalde Hbf (an 15:27),
14:54,14:54,RB 92891,Oranienburg (an 15:22),
14:54,14:54,RE 56311,Schwerin Hbf (an 17:48),
15:06,15:06,RE 3336,Angermünde (an 16:01),
15:35,15:35,RE 3123,Hennigsdorf(b Berlin) (an 16:23),
15:41,15:41,RB 18223,Ludwigsfelde (an 16:24),22
15:43,15:43,RB 34990,Oranienburg (an 16:13),
15:43,15:43,RE 34990,Stralsund Hbf (an 18:51),
15:43,15:43,RE 3514,Stralsund Hbf (an 18:51),
15:45,15:45,RB 61202,Berlin Ostkreuz (an 15:48),17
15:47,15:47,RB 18322,Eberswalde Hbf (an 16:27),16
16:04,16:04,RE 3330,Angermünde (an 17:02),
16:10,16:10,RB 61441,Berlin Ostkreuz (an 16:13),16
16:17,16:17,RB 18325,Blankenfelde(Teltow-Fläming) (an 16:51),22
16:35,16:35,RE 3125,Hennigsdorf(b Berlin) (an 17:23),
16:41,16:41,RB 18225,Ludwigsfelde (an 17:24),22
16:41,16:41,RB 34929,Hamburg Hbf (an 19:09),
16:41,16:41,RE 34929,Waren(Müritz) (an 18:40),
16:41,16:41,RE 4362,Rostock Hbf (an 19:25),
16:47,16:47,RB 18324,Eberswalde Hbf (an 17:27),
16:54,16:54,RB 92893,Oranienburg (an 17:22),
16:54,16:54,RE 56313,Schwerin Hbf (an 19:48),
17:35,17:35,RE 3127,Hennigsdorf(b Berlin) (an 18:23),
17:41,17:41,RB 18227,Ludwigsfelde (an 18:24),22
17:43,17:43,RE 34992,Stralsund Hbf (an 20:51),
17:43,17:43,RE 3516,Stralsund Hbf (an 20:51),
17:47,17:47,RB 18326,Eberswalde Hbf (an 18:27),
18:05,18:05,RE 3332,Angermünde (an 19:01),
18:35,18:35,RE 3129,Hennigsdorf(b Berlin) (an 19:23),
18:41,18:41,RB 18229,Ludwigsfelde (an 19:24),22
18:43,18:43,RE 34960,Rostock Hbf (an 21:27),
18:43,18:43,RE 4364,Rostock Hbf (an 21:27),
18:47,18:47,RB 18328,Eberswalde Hbf (an 19:27),
18:54,18:54,RB 92895,Oranienburg (an 19:22),
18:54,18:54,RE 56315,Schwerin Hbf (an 21:48),
19:35,19:35,RE 3131,Hennigsdorf(b Berlin) (an 20:23),
19:41,19:41,RB 18231,Flughafen BER (an 20:05),
19:43,19:43,RE 34994,Stralsund Hbf (an 22:51),
19:43,19:43,RE 3518,Stralsund Hbf (an 22:51),
19:47,19:47,RB 18330,Eberswalde Hbf (an 20:27),
20:35,20:35,RE 3133,Berlin-Spandau (an 20:54),
20:41,20:41,RB 18233,Flughafen BER (an 21:05),
20:43,20:43,RE 34964,Rostock Hbf (an 23:21),
20:43,20:43,RE 4366,Rostock Hbf (an 23:21),
20:47,20:47,RB 18332,Eberswalde Hbf (an 21:27),
20:54,20:54,RE 56317,Schwerin Hbf (an 23:48),
21:35,21:35,RE 3135,Berlin-Spandau (an 21:54),
21:43,21:43,RE 34996,Neustrelitz Hbf (an 22:59),
21:43,21:43,RE 3520,Neubrandenburg (an 23:29),
21:47,21:47,RB 92974,Eberswalde Hbf (an 22:27),
22:35,22:35,RE 3137,Berlin-Spandau (an 22:54),
22:43,22:43,RE 93338,Neustrelitz Hbf (an 23:59),
22:47,22:47,RB 18336,Eberswalde Hbf (an 23:27),
22:47,22:47,RB 24,Eberswalde Hbf (an 23:27),
