Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:20,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:59),Berlin-Lichterfelde Ost
00:56,RE 3363,Schwedt(Oder) (ab 23:06),Berlin-Lichterfelde Ost
01:41 (+2),RE 3362,Lutherstadt Wittenberg Hbf (ab 00:29),Berlin-Lichterfelde Ost
05:12,RE 3340,Falkenberg(Elster) (ab 03:50),Berlin-Lichterfelde Ost
05:18 (+2),RE 3144,Berlin Hbf (tief) (ab 05:01),Berlin-Lichterfelde Ost
05:39,RE 3167,Magdeburg Hbf (ab 04:19),Berlin-Lichterfelde Ost
05:48,RE 3301,Eberswalde Hbf (ab 04:48),Berlin-Lichterfelde Ost
06:15,RE 3164,Stendal Hbf (ab 04:44),Berlin-Lichterfelde Ost
06:15 (+1),RE 3304,Lutherstadt Wittenberg Hbf (ab 05:05),Berlin-Lichterfelde Ost
06:38,RE 3147,Falkenberg(Elster) (ab 05:14),Berlin-Lichterfelde Ost
06:46 (+10),RE 3341,Schwedt(Oder) (ab 05:06),Berlin-Lichterfelde Ost
07:14,RE 3342,Jüterbog (ab 06:33),Berlin-Lichterfelde Ost
07:18 (+1),RE 3146,Rathenow (ab 06:03),Berlin-Lichterfelde Ost
07:39 (+2),RE 3169,Magdeburg Hbf (ab 05:12),Berlin-Lichterfelde Ost
07:48 (+1),RE 3303,Stralsund Hbf (ab 04:17),Berlin-Lichterfelde Ost
08:18 (+2),RE 3166,Rathenow (ab 07:03),Berlin-Lichterfelde Ost
08:18,RE 3306,Halle(Saale)Hbf (ab 05:51),Berlin-Lichterfelde Ost
08:38 (+13),RE 3149,Falkenberg(Elster) (ab 06:55),Berlin-Lichterfelde Ost
08:46 (+3),RE 3343,Angermünde (ab 07:33),Berlin-Lichterfelde Ost
09:12 (+5),RE 3344,Jüterbog (ab 08:33),Berlin-Lichterfelde Ost
09:18 (+2),RE 3148,Rathenow (ab 08:03),Berlin-Lichterfelde Ost
09:37,RE 3171,Jüterbog (ab 09:03),Berlin-Lichterfelde Ost
09:48 (+1),RE 3305,Stralsund Hbf (ab 06:17),Berlin-Lichterfelde Ost
10:17 (+4),RE 3308,Lutherstadt Wittenberg Hbf (ab 08:59),Berlin-Lichterfelde Ost
10:18 (+2),RE 3168,Rathenow (ab 09:07),Berlin-Lichterfelde Ost
10:38,RE 3151,Falkenberg(Elster) (ab 09:14),Berlin-Lichterfelde Ost
10:46 (+2),RE 3345,Angermünde (ab 09:33),Berlin-Lichterfelde Ost
11:11,RE 3346,Luckenwalde (ab 10:39),Berlin-Lichterfelde Ost
11:18 (+2),RE 3150,Frankfurt(Oder) (ab 00:24),Berlin-Lichterfelde Ost
11:37 (+1),RE 3173,Brandenburg Hbf (ab 08:20),Berlin-Lichterfelde Ost
11:48 (+15),RE 3307,Stralsund Hbf (ab 08:15),Berlin-Lichterfelde Ost
12:17,RE 3310,Lutherstadt Wittenberg Hbf (ab 10:59),Berlin-Lichterfelde Ost
12:18 (+1),RE 3170,Frankfurt(Oder) (ab 09:26),Berlin-Lichterfelde Ost
12:38,RE 3153,Falkenberg(Elster) (ab 11:14),Berlin-Lichterfelde Ost
12:46 Ausfall,RE 3347,Angermünde (ab 11:33),Berlin-Lichterfelde Ost
13:11 (+5),RE 3348,Luckenwalde (ab 12:39),Berlin-Lichterfelde Ost
