Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:04,00:04,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),4
00:55,00:55,RE 3363,Berlin Hbf (ab 00:40),3
01:46,01:46,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),4
05:02,05:02,RE 3302,Herzberg(Elster) (ab 03:51),4
05:50,05:50,RE 3341,Schwedt(Oder) (ab 04:04),3
06:05,06:05,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),4
07:02,07:02,RE 3304,Luckenwalde (ab 06:35),4
07:21,07:21,RE 3146,Rathenow (ab 06:09),3
07:36,07:36,RE 3169,Jüterbog (ab 07:02),4
07:50,07:50,RE 3343,Schwedt(Oder) (ab 06:04),3
08:05,08:05,RE 3344,Halle(Saale)Hbf (ab 05:46),4
08:19,08:19,RE 3166,Stendal Hbf (ab 06:47),3
08:36,08:36,RE 3149,Herzberg(Elster) (ab 07:29),4
08:53,08:53,RE 3303,Stralsund Hbf (ab 05:10),3
09:02,09:02,RE 3306,Luckenwalde (ab 08:35),4
09:36,09:36,RE 3171,Jüterbog (ab 09:02),4
09:50,09:50,RE 3345,Schwedt(Oder) (ab 08:04),3
10:05,10:05,RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),4
10:19,10:19,RE 3168,Stendal Hbf (ab 08:47),3
10:53,10:53,RE 3305,Stralsund Hbf (ab 07:10),3
11:02,11:02,RE 3308,Luckenwalde (ab 10:35),4
11:21 (+1),11:22,RE 3150,Rathenow (ab 10:02),3
11:50,11:50,RE 3347,Schwedt(Oder) (ab 10:04),3
12:05,12:05,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),4
12:19,12:19,RE 3170,Stendal Hbf (ab 10:32),3
12:36,12:36,RE 3153,Herzberg(Elster) (ab 11:29),4
12:53,12:53,RE 3307,Stralsund Hbf (ab 09:10),3
13:02,13:02,RE 3310,Luckenwalde (ab 12:35),4
13:36,13:36,RE 3175,Jüterbog (ab 13:02),4
13:50,13:50,RE 3349,Schwedt(Oder) (ab 12:04),3
14:05,14:05,RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),4
14:19,14:19,RE 3172,Stendal Hbf (ab 12:31),3
14:53,14:53,RE 3309,Stralsund Hbf (ab 11:10),3
15:02,15:02,RE 3312,Luckenwalde (ab 14:35),4
15:36,15:36,RE 3177,Jüterbog (ab 15:02),4
15:50,15:50,RE 3351,Schwedt(Oder) (ab 14:04),3
16:05,16:05,RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),4
16:36,16:36,RE 3157,Herzberg(Elster) (ab 15:29),4
16:53,16:53,RE 3311,Stralsund Hbf (ab 13:10),3
17:02,17:02,RE 3314,Luckenwalde (ab 16:35),4
17:21,17:21,RE 3156,Rathenow (ab 16:02),3
17:50,17:50,RE 3353,Schwedt(Oder) (ab 16:04),3
18:53,18:53,RE 3313,Stralsund Hbf (ab 15:14),3
19:02,19:02,RE 3316,Luckenwalde (ab 18:35),4
19:36,19:36,RE 3181,Jüterbog (ab 19:02),4
20:05,20:05,RE 3356,Lutherstadt Wittenberg Hbf (ab 18:52),4
20:52,20:52,RE 3315,Stralsund Hbf (ab 17:10),3
21:02,21:02,RE 3318,Luckenwalde (ab 20:35),4
21:47,21:47,RE 3357,Schwedt(Oder) (ab 20:04),3
22:05,22:05,RE 3358,Lutherstadt Wittenberg Hbf (ab 20:52),4
22:19,22:19,RE 3180,Stendal Hbf (ab 20:47),3
22:47,22:47,RE 3185,Jüterbog (ab 22:04),4
22:53,22:53,RE 3317,Stralsund Hbf (ab 19:10),3
23:48,23:48,RE 3359,Schwedt(Oder) (ab 22:04),3
