Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
05:03,05:03,RE 3302,Stralsund Hbf (an 08:45),4
06:05,06:05,RB 18043,Schwedt(Oder) (an 07:55),4
06:05,06:05,RE 3342,Angermünde (an 07:23),
06:37,06:37,RE 3147,Berlin-Spandau (an 07:04),
07:03,07:03,RE 3304,Stralsund Hbf (an 10:44),4
07:37,07:37,RE 3169,Stendal Hbf (an 09:13),
08:05,08:05,RE 3344,Angermünde (an 09:23),
08:37,08:37,RE 3149,Berlin-Spandau (an 09:04),
08:54,08:54,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),3
09:03 (+1),09:04,RE 3306,Stralsund Hbf (an 12:44),4
09:37,09:37,RE 3171,Stendal Hbf (an 11:13),4
09:51 (+1),09:52,RE 3345,Lutherstadt Wittenberg Hbf (an 11:06),3
10:05 (+1),10:06,RE 3346,Schwedt(Oder) (an 11:55),4
10:37,10:37,RE 3151,Berlin-Spandau (an 11:04),
10:54,10:54,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),3
11:03 (+1),11:04,RE 3308,Stralsund Hbf (an 14:44),4
12:06,12:06,RE 3348,Angermünde (an 13:23),
12:37,12:37,RE 3153,Berlin-Spandau (an 13:04),
12:54,12:54,RE 13219,Teterow (an 23:27),3
12:54,12:54,RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),3
13:03 (+4),13:07,RE 3310,Stralsund Hbf (an 16:44),4
13:37,13:37,RE 3175,Stendal Hbf (an 15:13),
14:05 (+1),14:06,RE 3350,Schwedt(Oder) (an 15:55),4
14:37,14:37,RE 3155,Berlin-Spandau (an 15:04),
14:54,14:54,RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),3
15:03,15:03,RE 3312,Stralsund Hbf (an 18:44),4
15:37,15:37,RE 3177,Stendal Hbf (an 17:13),
16:05,16:05,RE 3352,Angermünde (an 17:23),
16:37,16:37,RE 3157,Berlin-Spandau (an 17:04),
16:54 (+1),16:55,RE 3311,Lutherstadt Wittenberg Hbf (an 18:07),3
17:03 (+17),17:20,RE 3314,Stralsund Hbf (an 20:44),4
17:37,17:37,RE 26117,Stendal Hbf (an 19:13),
17:37,17:37,RE 3179,Stendal Hbf (an 19:13),4
17:51 (+20),18:11,RE 3353,Lutherstadt Wittenberg Hbf (an 19:06),3
18:05 (+3),18:08,RE 3354,Schwedt(Oder) (an 19:55),4
18:20,18:20,RE 3176,Jüterbog (an 18:54),3
18:37 (+16),18:53,RE 3159,Rathenow (an 19:49),4
18:54 (+3),18:57,RE 3313,Lutherstadt Wittenberg Hbf (an 20:07),3
19:03,19:03,RE 3316,Angermünde (an 20:22),
19:22 (+3),19:25,RE 3158,Falkenberg(Elster) (an 20:44),3
19:37,19:37,RE 3181,Stendal Hbf (an 21:06),
20:05,20:05,RE 3356,Angermünde (an 21:23),
20:37,20:37,RE 3161,Berlin-Spandau (an 21:04),
20:53,20:53,RE 3315,Lutherstadt Wittenberg Hbf (an 22:07),3
21:03,21:03,RE 3,Pasewalk (an 23:19),
21:03,21:03,RE 3318,Pasewalk (an 23:19),4
21:38,21:38,RE 3183,Stendal Hbf (an 23:13),
22:05,22:05,RE 3358,Angermünde (an 23:27),
22:48,22:48,RE 3185,Berlin-Spandau (an 23:18),
22:54 (+1),22:55,RE 3317,Lutherstadt Wittenberg Hbf (an 00:08),3
