Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
00:01,RE 3138,Nauen (ab 23:08),Berlin Ostbahnhof
00:04,RE 62045,Flughafen BER (ab 23:43),Berlin Ostbahnhof
00:08,RE 73750,Berlin Friedrichstr (ab 00:01),Berlin Ostbahnhof
00:14 (+2),RE 3745,Senftenberg (ab 22:26),Berlin Ostbahnhof
00:14,RE 7,Berlin Ostkreuz (ab 00:11),Berlin Ostbahnhof
00:23,FEX19878,Flughafen BER (ab 00:02),Berlin Ostbahnhof
00:28 (+6),ICE 957,Köln Hbf (ab 19:46),Berlin Ostbahnhof
00:29,RE 73797,Fangschleuse (ab 00:04),Berlin Ostbahnhof
00:37,RE 3141,Cottbus Hbf (ab 23:05),Berlin Ostbahnhof
00:52,RE 62038,Wismar (ab 21:25),Berlin Ostbahnhof
00:56,ICE 790,Frankfurt(M) Flughafen Fernbf (ab 20:09),Berlin Ostbahnhof
01:02,RE 62041,Flughafen BER (ab 00:40),Berlin Ostbahnhof
01:03,RE 3140,Nauen (ab 00:08),Berlin Ostbahnhof
01:15,RE 3742,Brück(Mark) (ab 00:09),Berlin Ostbahnhof
01:27 (+9),ICE 657,Berlin Zoologischer Garten Zoologischer  (ab 01:11),Berlin Ostbahnhof
01:29,RE 73753,Pillgram (ab 00:33),Berlin Ostbahnhof
01:33,RE 73794,Genthin (ab 00:01),Berlin Ostbahnhof
01:36,FEX19880,Flughafen BER (ab 01:15),Berlin Ostbahnhof
01:42 (+22),ICE 292,Zürich HB (ab 16:59),Berlin Ostbahnhof
02:02,ICE 600,München Hbf (ab 20:10),Berlin Ostbahnhof
05:00,RE 3707,Lübbenau(Spreewald) (ab 03:53),Berlin Ostbahnhof
05:06,RE 62003,Flughafen BER (ab 04:44),Berlin Ostbahnhof
05:23,RE 3103,Cottbus Hbf (ab 04:01),Berlin Ostbahnhof
05:37,RE 50257,Berlin Hbf (ab 05:30),Berlin Ostbahnhof
05:37,RJ 257,Berlin Hbf (ab 05:30),Berlin Ostbahnhof
05:43,RE 62000,Wittenberge (ab 04:06),Berlin Ostbahnhof
05:54,RE 3704,Dessau Hbf (ab 04:05),Berlin Ostbahnhof
06:06,RE 62005,Flughafen BER (ab 05:44),Berlin Ostbahnhof
06:23,RE 3105,Cottbus Hbf (ab 05:01),Berlin Ostbahnhof
06:33,RE 3104,Nauen (ab 05:37),Berlin Ostbahnhof
06:52,RE 62002,Wittenberge (ab 05:06),Berlin Ostbahnhof
06:56,RE 3706,Dessau Hbf (ab 05:05),Berlin Ostbahnhof
06:59 (+1),ICE 4,Zürich HB (ab 18:59),Berlin Ostbahnhof
06:59 (+1),ICE 674,Frankfurt(Main)Hbf (ab 23:35),Berlin Ostbahnhof
07:00,RE 3711,Senftenberg (ab 05:11),Berlin Ostbahnhof
07:06,RE 62007,Flughafen BER (ab 06:44),Berlin Ostbahnhof
07:33,RE 3106,Nauen (ab 06:37),Berlin Ostbahnhof
07:34 Ausfall,RB 18144,Flughafen BER (ab 07:14),Berlin Ostbahnhof
07:48,RE 73723,Frankfurt(Oder) (ab 06:55),Berlin Ostbahnhof
07:52,RE 62004,Wismar (ab 04:17),Berlin Ostbahnhof
07:56,RE 3708,Bad Belzig (ab 06:41),Berlin Ostbahnhof
08:06,RE 62009,Flughafen BER (ab 07:44),Berlin Ostbahnhof
08:09,RE 73718,Magdeburg Hbf (ab 06:12),Berlin Ostbahnhof
08:20,RB 18147,Berlin-Charlottenburg (ab 08:00),Berlin Ostbahnhof
08:23,RE 3109,Cottbus Hbf (ab 07:03),Berlin Ostbahnhof
08:24,RE 73760,Magdeburg Hbf (ab 06:19),Berlin Ostbahnhof
08:29 (+1),RE 73765,Frankfurt(Oder) (ab 07:26),Berlin Ostbahnhof
08:33 (+10),RE 3108,Nauen (ab 07:37),Berlin Ostbahnhof
08:36,ICE 841,Oldenburg(Oldb)Hbf (ab 04:40),Berlin Ostbahnhof
08:44,ICE 870,Dresden Hbf (ab 07:00),Berlin Ostbahnhof
08:48,RE 73725,Eisenhüttenstadt (ab 07:36),Berlin Ostbahnhof
08:52,RE 62006,Wismar (ab 05:22),Berlin Ostbahnhof
08:56 (+1),RE 3710,Dessau Hbf (ab 07:05),Berlin Ostbahnhof
09:00 (+1),RE 3715,Senftenberg (ab 07:14),Berlin Ostbahnhof
09:06,RE 62011,Flughafen BER (ab 08:44),Berlin Ostbahnhof
09:18 Ausfall,EC 173,Hamburg-Altona (ab 06:35),Berlin Ostbahnhof
09:23,RE 3111,Cottbus Hbf (ab 08:04),Berlin Ostbahnhof
09:24,RE 73762,Brandenburg Hbf (ab 08:19),Berlin Ostbahnhof
09:29,RE 73767,Pillgram (ab 08:35),Berlin Ostbahnhof
09:33,RE 3110,Nauen (ab 08:37),Berlin Ostbahnhof
09:34,RB 18148,Flughafen BER (ab 09:14),Berlin Ostbahnhof
09:42 (+1),ICE 876,Kassel-Wilhelmshöhe (ab 06:43),Berlin Ostbahnhof
09:48,RE 73727,Fürstenwalde(Spree) (ab 09:12),Berlin Ostbahnhof
09:52,RE 62008,Wittenberge (ab 08:06),Berlin Ostbahnhof
09:56 (+1),RE 3712,Bad Belzig (ab 08:41),Berlin Ostbahnhof
10:00,RE 3717,Senftenberg (ab 08:14),Berlin Ostbahnhof
10:02 (+2),ICE 741,Münster(Westf)Hbf (ab 06:17),Berlin Ostbahnhof
10:06,RE 62013,Flughafen BER (ab 09:44),Berlin Ostbahnhof
10:08,RE 73722,Magdeburg Hbf (ab 08:12),Berlin Ostbahnhof
10:16,RE 18768,Berlin-Charlottenburg (ab 09:55),Berlin Ostbahnhof
10:18,RE 3747,Berlin Ostkreuz (ab 10:14),Berlin Ostbahnhof
10:20,RB 18151,Berlin-Charlottenburg (ab 10:00),Berlin Ostbahnhof
10:23,RE 3113,Cottbus Hbf (ab 09:04),Berlin Ostbahnhof
10:24,RE 73764,Brandenburg Hbf (ab 09:19),Berlin Ostbahnhof
10:27 (+2),ICE 843,Köln Hbf (ab 05:22),Berlin Ostbahnhof
10:27 (+2),ICE 853,Köln Hbf (ab 05:44),Berlin Ostbahnhof
10:29,RE 73769,Pillgram (ab 09:35),Berlin Ostbahnhof
10:33 (+2),RE 3112,Nauen (ab 09:37),Berlin Ostbahnhof
10:37,EC 178,Praha hl.n. (ab 06:28),Berlin Ostbahnhof
10:48,RE 73729,Fürstenwalde(Spree) (ab 10:12),Berlin Ostbahnhof
10:52,RE 61994,Wismar (ab 07:33),Berlin Ostbahnhof
10:52,RE 62010,Wismar (ab 07:33),Berlin Ostbahnhof
10:56,RE 3714,Dessau Hbf (ab 09:05),Berlin Ostbahnhof
11:00,RE 3719,Senftenberg (ab 09:14),Berlin Ostbahnhof
11:06,RE 62015,Flughafen BER (ab 10:44),Berlin Ostbahnhof
11:09,RE 73724,Magdeburg Hbf (ab 09:12),Berlin Ostbahnhof
11:14,EC 379,Kiel Hbf (ab 07:42),Berlin Ostbahnhof
11:17,ICE 553,Koblenz Hbf (ab 05:40),Berlin Ostbahnhof
11:23,RE 3115,Cottbus Hbf (ab 10:04),Berlin Ostbahnhof
11:24,RE 73766,Brandenburg Hbf (ab 10:19),Berlin Ostbahnhof
11:29,RE 73771,Pillgram (ab 10:35),Berlin Ostbahnhof
11:30 (+6),ICE 543,Köln Hbf (ab 06:18),Berlin Ostbahnhof
11:33,RE 3114,Nauen (ab 10:37),Berlin Ostbahnhof
11:34,RB 18152,Flughafen BER (ab 11:14),Berlin Ostbahnhof
11:41 (+3),ICE 270,Karlsruhe Hbf (ab 05:57),Berlin Ostbahnhof
11:48,RE 73731,Fürstenwalde(Spree) (ab 11:12),Berlin Ostbahnhof
11:52,RE 62012,Wittenberge (ab 10:06),Berlin Ostbahnhof
11:56,RE 3716,Dessau Hbf (ab 10:05),Berlin Ostbahnhof
12:02 Ausfall,IC 141,Amsterdam Centraal (ab 06:00),Berlin Ostbahnhof
12:06,RE 62017,Flughafen BER (ab 11:44),Berlin Ostbahnhof
12:09,RE 73726,Magdeburg Hbf (ab 10:12),Berlin Ostbahnhof
12:11,FLX 1232,Dresden Hbf (ab 10:17),Berlin Ostbahnhof
12:14,ICE 1136,Frankfurt(Main)Hbf (ab 08:02),Berlin Ostbahnhof
12:20,RB 18155,Berlin-Charlottenburg (ab 12:00),Berlin Ostbahnhof
12:23,RE 3117,Cottbus Hbf (ab 11:04),Berlin Ostbahnhof
12:24,RE 73768,Brandenburg Hbf (ab 11:19),Berlin Ostbahnhof
12:27 (+9),ICE 845,Köln Hbf (ab 07:26),Berlin Ostbahnhof
12:27 (+9),ICE 855,Köln Hbf (ab 07:45),Berlin Ostbahnhof
12:29,RE 73773,Pillgram (ab 11:35),Berlin Ostbahnhof
12:33,RE 3116,Nauen (ab 11:37),Berlin Ostbahnhof
12:39 (+17),IC 2035,Norddeich (ab 05:35),Berlin Ostbahnhof
12:40,EC 176,Praha hl.n. (ab 08:28),Berlin Ostbahnhof
12:48,RE 73733,Fürstenwalde(Spree) (ab 12:12),Berlin Ostbahnhof
12:52,RE 62014,Wismar (ab 09:24),Berlin Ostbahnhof
12:56 (+1),RE 3718,Dessau Hbf (ab 11:05),Berlin Ostbahnhof
13:00,RE 3723,Senftenberg (ab 11:14),Berlin Ostbahnhof
13:06,RE 62019,Flughafen BER (ab 12:44),Berlin Ostbahnhof
13:09,RE 73728,Magdeburg Hbf (ab 11:12),Berlin Ostbahnhof
13:14,EC 175,Flensburg (ab 08:46),Berlin Ostbahnhof
13:17,ICE 555,Köln Hbf (ab 08:45),Berlin Ostbahnhof
13:23,RE 3119,Cottbus Hbf (ab 12:04),Berlin Ostbahnhof
13:24,RE 73770,Brandenburg Hbf (ab 12:19),Berlin Ostbahnhof
13:27,ICE 545,Köln Hbf (ab 08:26),Berlin Ostbahnhof
13:29 (+1),RE 73775,Pillgram (ab 12:35),Berlin Ostbahnhof
13:33 (+1),RE 3118,Nauen (ab 12:37),Berlin Ostbahnhof
13:34,RB 18156,Flughafen BER (ab 13:14),Berlin Ostbahnhof
13:40 (+1),ICE 374,Basel SBB (ab 06:06),Berlin Ostbahnhof
13:43 (+30),FLX 1233,Köln Hbf (ab 08:14),Berlin Ostbahnhof
13:48,RE 73735,Fürstenwalde(Spree) (ab 13:12),Berlin Ostbahnhof
13:52,RE 62016,Wittenberge (ab 12:06),Berlin Ostbahnhof
13:56 (+1),RE 3720,Dessau Hbf (ab 12:05),Berlin Ostbahnhof
14:00 (+1),RE 3725,Senftenberg (ab 12:14),Berlin Ostbahnhof
14:02 (+10),IC 143,Amsterdam Centraal (ab 08:00),Berlin Ostbahnhof
14:06,RE 62021,Flughafen BER (ab 13:44),Berlin Ostbahnhof
14:09 (+1),RE 73730,Magdeburg Hbf (ab 12:12),Berlin Ostbahnhof
14:20 Ausfall,RB 18159,Berlin-Charlottenburg (ab 14:00),Berlin Ostbahnhof
14:23,RE 3121,Cottbus Hbf (ab 13:04),Berlin Ostbahnhof
14:24 (+1),RE 73772,Brandenburg Hbf (ab 13:19),Berlin Ostbahnhof
14:27 (+1),ICE 847,Köln Hbf (ab 09:19),Berlin Ostbahnhof
14:27 (+1),ICE 857,Köln Hbf (ab 09:45),Berlin Ostbahnhof
14:29 (+1),RE 73777,Pillgram (ab 13:35),Berlin Ostbahnhof
14:33,RE 26107,Nauen (ab 13:37),Berlin Ostbahnhof
14:33,RE 3120,Nauen (ab 13:37),Berlin Ostbahnhof
14:41,EC 174,Praha hl.n. (ab 10:28),Berlin Ostbahnhof
14:48,RE 73737,Fürstenwalde(Spree) (ab 14:12),Berlin Ostbahnhof
14:52 (+15),RE 61998,Wismar (ab 11:24),Berlin Ostbahnhof
14:52 (+2),RE 62018,Wismar (ab 11:24),Berlin Ostbahnhof
14:56 (+1),RE 3722,Dessau Hbf (ab 13:05),Berlin Ostbahnhof
15:00 (+2),RE 3727,Senftenberg (ab 13:14),Berlin Ostbahnhof
15:06 (+2),RE 62023,Flughafen BER (ab 14:44),Berlin Ostbahnhof
15:08,RE 73732,Magdeburg Hbf (ab 13:12),Berlin Ostbahnhof
15:17 Ausfall,EC 177,Hamburg-Altona (ab 12:38),Berlin Ostbahnhof
15:21,ICE 557,Köln Hbf (ab 10:45),Berlin Ostbahnhof
15:23,RE 3123,Cottbus Hbf (ab 14:04),Berlin Ostbahnhof
15:24,RE 73774,Brandenburg Hbf (ab 14:19),Berlin Ostbahnhof
15:27 (+2),ICE 547,Köln Hbf (ab 10:26),Berlin Ostbahnhof
15:29 (+1),RE 73779,Pillgram (ab 14:35),Berlin Ostbahnhof
15:33,RE 3122,Nauen (ab 14:37),Berlin Ostbahnhof
15:34 (+9),RB 18160,Flughafen BER (ab 15:14),Berlin Ostbahnhof
15:42,ICE 372,Interlaken Ost (ab 05:59),Berlin Ostbahnhof
15:48,RE 73739,Fürstenwalde(Spree) (ab 15:12),Berlin Ostbahnhof
15:52,RE 62020,Wittenberge (ab 14:06),Berlin Ostbahnhof
15:56,RE 3724,Dessau Hbf (ab 14:05),Berlin Ostbahnhof
16:00,RE 3729,Senftenberg (ab 14:14),Berlin Ostbahnhof
16:02,IC 145,Amsterdam Centraal (ab 10:00),Berlin Ostbahnhof
16:06,RE 62025,Flughafen BER (ab 15:44),Berlin Ostbahnhof
16:08,RE 73734,Magdeburg Hbf (ab 14:12),Berlin Ostbahnhof
16:17,ICE 1139,Bremen Hbf (ab 13:15),Berlin Ostbahnhof
16:20,RB 18163,Berlin-Charlottenburg (ab 16:00),Berlin Ostbahnhof
16:23,RE 3125,Cottbus Hbf (ab 15:04),Berlin Ostbahnhof
16:24,RE 73776,Brandenburg Hbf (ab 15:19),Berlin Ostbahnhof
16:27 (+7),ICE 849,Köln Hbf (ab 11:17),Berlin Ostbahnhof
16:27 (+2),ICE 859,Köln Hbf (ab 11:45),Berlin Ostbahnhof
16:29,RE 73781,Pillgram (ab 15:35),Berlin Ostbahnhof
16:33,RE 3124,Nauen (ab 15:37),Berlin Ostbahnhof
16:44 (+3),EC 378,Praha hl.n. (ab 12:33),Berlin Ostbahnhof
16:48,RE 73741,Fürstenwalde(Spree) (ab 16:12),Berlin Ostbahnhof
16:52,RE 62022,Wismar (ab 13:24),Berlin Ostbahnhof
16:56 (+1),RE 3726,Dessau Hbf (ab 15:05),Berlin Ostbahnhof
17:00,RE 3731,Senftenberg (ab 15:14),Berlin Ostbahnhof
17:06,RE 62027,Flughafen BER (ab 16:44),Berlin Ostbahnhof
17:08,RE 73736,Magdeburg Hbf (ab 15:12),Berlin Ostbahnhof
17:16,ICE 559,Köln Hbf (ab 12:45),Berlin Ostbahnhof
17:23,RE 3127,Cottbus Hbf (ab 16:04),Berlin Ostbahnhof
17:25 (+1),RE 73778,Brandenburg Hbf (ab 16:19),Berlin Ostbahnhof
17:27 (+9),ICE 549,Düsseldorf Hbf (ab 12:47),Berlin Ostbahnhof
17:29,RE 73783,Pillgram (ab 16:35),Berlin Ostbahnhof
17:33,RE 18444,Lausanne (ab 00:50),Berlin Ostbahnhof
17:33,RE 3126,Nauen (ab 16:37),Berlin Ostbahnhof
17:34,RB 18164,Flughafen BER (ab 17:14),Berlin Ostbahnhof
17:41 (+5),ICE 370,Basel SBB (ab 10:13),Berlin Ostbahnhof
17:48,RE 73743,Fürstenwalde(Spree) (ab 17:12),Berlin Ostbahnhof
17:52,RE 62024,Wittenberge (ab 16:06),Berlin Ostbahnhof
17:56 (+1),RE 3728,Dessau Hbf (ab 16:05),Berlin Ostbahnhof
18:00 (+5),RE 3733,Senftenberg (ab 16:14),Berlin Ostbahnhof
18:02 (+10),IC 147,Amsterdam Centraal (ab 12:00),Berlin Ostbahnhof
18:06 (+1),RE 62029,Flughafen BER (ab 17:44),Berlin Ostbahnhof
18:09 (+1),RE 73738,Magdeburg Hbf (ab 16:12),Berlin Ostbahnhof
18:13 (+3),RE 3748,Bad Belzig (ab 16:59),Berlin Ostbahnhof
18:16 (+4),ICE 9591,Paris Est (ab 09:55),Berlin Ostbahnhof
18:20 (+1),RB 18167,Berlin-Charlottenburg (ab 18:00),Berlin Ostbahnhof
18:23,RE 18769,Kunersdorf (ab 17:12),Berlin Ostbahnhof
18:23 Ausfall,RE 3129,Cottbus Hbf (ab 17:04),Berlin Ostbahnhof
18:24 (+1),RE 73780,Brandenburg Hbf (ab 17:19),Berlin Ostbahnhof
18:27 (+9),ICE 941,Düsseldorf Hbf (ab 13:43),Berlin Ostbahnhof
18:27 (+9),ICE 951,Köln Hbf (ab 13:45),Berlin Ostbahnhof
18:29,RE 73785,Pillgram (ab 17:35),Berlin Ostbahnhof
18:33,RE 3128,Nauen (ab 17:37),Berlin Ostbahnhof
18:38 (+1),IC 2431,Emden Außenhafen (ab 12:01),Berlin Ostbahnhof
18:38 (+1),RE 62431,Potsdam Hbf (ab 18:01),Berlin Ostbahnhof
18:44,EC 172,Budapest-Nyugati (ab 07:30),Berlin Ostbahnhof
18:48,RE 73745,Fürstenwalde(Spree) (ab 18:12),Berlin Ostbahnhof
18:52,RE 61999,Wismar (ab 15:24),Berlin Ostbahnhof
18:52,RE 62026,Wismar (ab 15:24),Berlin Ostbahnhof
18:56,RE 3730,Dessau Hbf (ab 17:05),Berlin Ostbahnhof
19:00,RE 3735,Senftenberg (ab 17:14),Berlin Ostbahnhof
19:06,RE 62031,Flughafen BER (ab 18:44),Berlin Ostbahnhof
19:09,RE 73740,Magdeburg Hbf (ab 17:12),Berlin Ostbahnhof
19:14,ICE 871,Hamburg-Altona (ab 16:37),Berlin Ostbahnhof
19:17,ICE 651,Köln Hbf (ab 14:45),Berlin Ostbahnhof
19:23,RE 3131,Cottbus Hbf (ab 18:04),Berlin Ostbahnhof
19:24,RE 73782,Brandenburg Hbf (ab 18:19),Berlin Ostbahnhof
19:27 (+8),ICE 641,Düsseldorf Hbf (ab 14:51),Berlin Ostbahnhof
19:29,RE 73787,Pillgram (ab 18:35),Berlin Ostbahnhof
19:33,RE 3130,Nauen (ab 18:37),Berlin Ostbahnhof
19:34,RB 18168,Flughafen BER (ab 19:14),Berlin Ostbahnhof
19:40,ICE 278,Interlaken Ost (ab 09:59),Berlin Ostbahnhof
19:48,RE 73747,Fürstenwalde(Spree) (ab 19:12),Berlin Ostbahnhof
19:52,RE 62028,Wittenberge (ab 18:06),Berlin Ostbahnhof
19:56,RE 3732,Dessau Hbf (ab 18:05),Berlin Ostbahnhof
20:00 (+1),RE 3737,Senftenberg (ab 18:14),Berlin Ostbahnhof
20:02 (+17),IC 149,Amsterdam Centraal (ab 14:00),Berlin Ostbahnhof
20:06,RE 62033,Flughafen BER (ab 19:44),Berlin Ostbahnhof
20:09,RE 73742,Magdeburg Hbf (ab 18:12),Berlin Ostbahnhof
20:12 (+23),IC 2075,Westerland(Sylt) (ab 14:20),Berlin Ostbahnhof
20:15,ICE 1034,Saarbrücken Hbf (ab 13:24),Berlin Ostbahnhof
20:20,RB 18171,Berlin-Charlottenburg (ab 20:01),Berlin Ostbahnhof
20:23,RE 3133,Cottbus Hbf (ab 19:04),Berlin Ostbahnhof
20:24,RE 73784,Brandenburg Hbf (ab 19:19),Berlin Ostbahnhof
