Ankunft,Zugnr.,von (Abfahrt),Gleis
00:09 Ausfall,RE 73749,Magdeburg Hbf (ab 22:07),1
00:09,RE 73826,Berlin Ostkreuz (ab 00:06),6
00:23 (+16),ICE 901,Hamburg Hbf (ab 21:44),1
00:36,ICE 947,Köln Hbf (ab 19:27),3
00:41,RE 73796,Frankfurt(Oder) (ab 23:32),
01:14,RE 3742,Dessau Hbf (ab 23:23),
01:33 (+52),RE 73791,Magdeburg Hbf (ab 23:21),1
01:36 (+2),RE 73752,Frankfurt(Oder) (ab 00:29),
01:40 (+92),ICE 1707,Hamburg-Altona (ab 22:34),2
02:07 (+3),ICE 274,Basel SBB (ab 18:16),2
04:27,RE 73756,Berlin Ostkreuz (ab 04:23),6
04:49,RE 73716,Frankfurt(Oder) (ab 03:38),7
05:26 (+11),RE 73753,Brandenburg Hbf (ab 04:17),1
05:47,RE 73718,Eisenhüttenstadt (ab 04:21),7
05:55,RE 3704,Dessau Hbf (ab 04:05),
06:05 (+12),EC 430,Opalenica (ab 03:43),7
06:09,RE 73713,Magdeburg Hbf (ab 04:12),
06:10,RE 73760,Frankfurt(Oder) (ab 05:08),
06:24,RB 73803,Brandenburg Hbf (ab 05:22),
06:46,RE 73755,Brandenburg Hbf (ab 05:44),1
06:47,RE 73720,Frankfurt(Oder) (ab 05:42),6
06:56,RE 3706,Dessau Hbf (ab 05:05),
07:02,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),2
07:02,ICE 2810,Dresden Hbf (ab 08:11),2
07:09,RE 73715,Magdeburg Hbf (ab 05:01),1
07:10,RE 73762,Eisenhüttenstadt (ab 05:36),
07:24,RE 73805,Magdeburg Hbf (ab 05:31),1
07:40 (+2),IC 60409,Zürich HB (ab 19:59),6
07:40 (+2),NJ 409,Zürich HB (ab 19:59),6
07:46,RE 73757,Brandenburg Hbf (ab 06:44),1
07:47,RE 73722,Eisenhüttenstadt (ab 06:20),7
07:56,RE 3708,Dessau Hbf (ab 06:05),
08:03 (+20),ICE 649,Hannover Hbf (ab 05:50),2
08:09,RE 73717,Magdeburg Hbf (ab 06:12),1
08:10 (+4),RE 73764,Eisenhüttenstadt (ab 06:20),
08:21 (+3),RB 18145,Golm (ab 07:27),
08:24 (+4),RE 73807,Brandenburg Hbf (ab 07:22),
08:28 (+6),ICE 851,Hannover Hbf (ab 06:09),
08:42,IC 2231,Magdeburg Hbf (ab 07:02),
08:46,RE 73759,Brandenburg Hbf (ab 07:44),1
08:47 (+2),RE 73724,Frankfurt(Oder) (ab 07:41),7
08:56 (+1),RE 3710,Dessau Hbf (ab 07:05),7
09:03,ICE 841,Hannover Hbf (ab 06:50),2
09:09,RE 73719,Magdeburg Hbf (ab 07:12),1
09:10 (+2),RE 73766,Frankfurt(Oder) (ab 08:11),7
09:21,RB 18147,Golm (ab 08:27),3
09:24 (+2),RE 73809,Brandenburg Hbf (ab 08:22),1
09:28 (+23),ICE 541,Köln Hbf (ab 04:25),2
09:46,RE 73761,Brandenburg Hbf (ab 08:44),1
09:47 (+2),RE 73726,Frankfurt(Oder) (ab 08:38),7
09:51,ICE 676,Kassel-Wilhelmshöhe (ab 06:45),2
09:56 (+3),RE 3712,Dessau Hbf (ab 08:05),3
10:02 (+2),ICE 741,Münster(Westf)Hbf (ab 06:24),2
10:06 (+21),EC 248,Warszawa Wschodnia (ab 04:49),7
10:09,RE 73721,Magdeburg Hbf (ab 08:12),1
10:10,RE 73768,Frankfurt(Oder) (ab 09:08),7
10:21,RB 18149,Golm (ab 09:27),2
10:24 (+2),RE 73811,Brandenburg Hbf (ab 09:22),1
10:29 (+7),ICE 843,Köln Hbf (ab 05:26),2
10:46,RE 73763,Brandenburg Hbf (ab 09:44),1
10:47 (+2),RE 73728,Frankfurt(Oder) (ab 09:38),7
10:49 (+1),ICE 996,Kassel-Wilhelmshöhe (ab 07:49),3
10:56 (+2),RE 3714,Dessau Hbf (ab 09:05),7
11:01 (+38),EC 54,Krakow Glowny (ab 04:07),6
11:09 (+1),RE 73723,Magdeburg Hbf (ab 09:12),1
11:10 (+1),RE 73770,Frankfurt(Oder) (ab 10:08),7
11:28 (+40),ICE 543,Köln Hbf (ab 06:25),2
11:46,RE 73765,Brandenburg Hbf (ab 10:44),1
11:47 (+5),RE 73730,Frankfurt(Oder) (ab 10:38),7
11:50,ICE 378,Karlsruhe Hbf (ab 05:59),2
11:56 (+17),RE 3716,Dessau Hbf (ab 10:05),3
12:02 (+19),ICE 141,Amsterdam Centraal (ab 06:00),2
12:06 (+26),EC 246,Warszawa Wschodnia (ab 06:49),7
12:09 (+7),RE 73725,Magdeburg Hbf (ab 10:12),1
12:10,RE 73772,Frankfurt(Oder) (ab 11:08),
12:28 (+19),ICE 845,Köln Hbf (ab 07:27),2
12:39 (+39),IC 2035,Norddeich (ab 05:39),2
12:46,RE 73767,Brandenburg Hbf (ab 11:44),
12:47,RE 73732,Frankfurt(Oder) (ab 11:38),
12:50 (+17),ICE 2814,Stuttgart Hbf (ab 06:36),
12:50 (+17),ICE 994,Stuttgart Hbf (ab 06:36),2
12:56,RE 3718,Dessau Hbf (ab 11:05),
13:06 (+27),EC 230,Gdynia Glowna (ab 07:09),6
13:09 (+2),RE 73727,Magdeburg Hbf (ab 11:12),1
13:10,RE 73774,Frankfurt(Oder) (ab 12:08),
13:28 (+22),ICE 2455,Köln Hbf (ab 08:25),2
13:28 (+22),ICE 545,Köln Hbf (ab 08:25),2
13:40,DRF 1321,Köln Hbf (ab 08:14),2
13:40 (+24),FLX 1321,Köln Hbf (ab 08:14),1
13:46,RE 73769,Brandenburg Hbf (ab 12:44),1
13:47 (+12),RE 73734,Frankfurt(Oder) (ab 12:38),7
13:50 (+3),ICE 376,Basel SBB (ab 06:16),2
13:56,RE 3720,Dessau Hbf (ab 12:05),3
14:02 (+12),ICE 143,Amsterdam Centraal (ab 08:00),2
14:06 (+3),EC 48,Warszawa Wschodnia (ab 08:49),7
14:09 (+12),RE 73729,Magdeburg Hbf (ab 12:12),1
14:09 (+17),RE 73776,Frankfurt(Oder) (ab 13:08),7
14:28 (+11),ICE 847,Köln Hbf (ab 09:27),2
14:28,RE 73812,Berlin Ostkreuz (ab 14:26),7
14:46,RE 73771,Brandenburg Hbf (ab 13:44),1
14:47 (+16),RE 73736,Frankfurt(Oder) (ab 13:38),7
14:49 (+16),ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),6
14:56 (+1),RE 3722,Dessau Hbf (ab 13:05),3
15:01 (+96),EC 56,Przemysl Glowny (ab 05:15),6
15:09,RE 73731,Magdeburg Hbf (ab 13:12),1
15:10,RE 73778,Frankfurt(Oder) (ab 14:08),7
15:21,RB 18159,Golm (ab 14:27),3
15:24,RB 73813,Brandenburg Hbf (ab 14:22),1
15:28 (+12),ICE 547,Köln Hbf (ab 10:24),2
15:46,RE 73773,Brandenburg Hbf (ab 14:44),1
15:47 (+3),RE 73738,Frankfurt(Oder) (ab 14:38),7
15:50 (+11),ICE 374,Interlaken Ost (ab 05:59),2
15:56 (+4),RE 3724,Dessau Hbf (ab 14:05),3
16:02 (+5),ICE 145,Amsterdam Centraal (ab 10:00),2
16:06 (+20),EC 46,Warszawa Wschodnia (ab 10:49),7
16:09 (+2),RE 73733,Magdeburg Hbf (ab 14:12),1
16:10 (+1),RE 73780,Frankfurt(Oder) (ab 15:08),7
16:21,RB 18161,Golm (ab 15:27),3
16:24,RE 73815,Brandenburg Hbf (ab 15:22),1
16:29 (+22),ICE 849,Köln Hbf (ab 11:28),2
16:46 (+1),RE 73775,Brandenburg Hbf (ab 15:44),1
16:47 (+13),RE 73740,Frankfurt(Oder) (ab 15:38),7
16:49 (+25),ICE 798,Karlsruhe Hbf (ab 10:40),3
16:56 (+8),RE 3726,Dessau Hbf (ab 15:05),7
17:09 (+12),RE 73735,Magdeburg Hbf (ab 15:12),1
17:10 (+1),RE 73782,Frankfurt(Oder) (ab 16:08),7
17:21,RB 18163,Golm (ab 16:27),3
17:24,RE 73817,Brandenburg Hbf (ab 16:22),1
17:28 (+36),ICE 549,Köln Hbf (ab 12:26),2
17:46,RE 73777,Brandenburg Hbf (ab 16:44),1
17:47 (+2),RE 73742,Frankfurt(Oder) (ab 16:38),
17:50 (+29),ICE 372,Brig (ab 07:45),2
17:56 (+4),RE 3728,Dessau Hbf (ab 16:05),
18:02 (+19),ICE 147,Amsterdam Centraal (ab 12:00),2
18:06 (+36),EC 44,Warszawa Wschodnia (ab 12:49),7
18:09 (+6),RE 73737,Magdeburg Hbf (ab 16:12),1
18:10 (+1),RE 73784,Frankfurt(Oder) (ab 17:08),7
18:21 (+4),RB 18165,Golm (ab 17:27),
18:24,RE 73819,Brandenburg Hbf (ab 17:22),
18:29 (+14),ICE 941,Köln Hbf (ab 13:27),2
18:40 Ausfall,IC 2431,Emden Außenhafen (ab 12:01),3
18:46,RE 73779,Brandenburg Hbf (ab 17:45),2
18:47 (+6),RE 73744,Frankfurt(Oder) (ab 17:38),7
18:49 (+11),ICE 796,Frankfurt(M) Flughafen Fernbf (ab 14:09),1
18:53 (+3),RJ 174,Budapest-Nyugati (ab 07:30),
18:56,RE 3730,Dessau Hbf (ab 17:05),
19:01 (+7),EC 58,Przemysl Glowny (ab 09:09),6
19:02 (+5),ICE 1549,Köln Hbf (ab 13:34),2
19:02 (+5),ICE 2921,Köln Hbf (ab 13:34),2
19:09 (+12),RE 73739,Magdeburg Hbf (ab 17:12),
19:10 (+1),RE 73786,Frankfurt(Oder) (ab 18:08),
19:24 (+4),RE 73821,Brandenburg Hbf (ab 18:22),
19:28 (+4),ICE 641,Köln Hbf (ab 14:26),2
19:46 (+2),RE 73781,Brandenburg Hbf (ab 18:44),
19:47 (+2),RE 73746,Frankfurt(Oder) (ab 18:38),
19:50 Ausfall,ICE 370,Zürich HB (ab 10:59),1
19:56,RE 3732,Dessau Hbf (ab 18:05),
20:02,ICE 149,Amsterdam Centraal (ab 14:00),2
20:06 (+18),EC 42,Warszawa Wschodnia (ab 14:49),7
20:09 (+12),RE 73741,Magdeburg Hbf (ab 18:12),1
20:10 (+10),RE 73788,Frankfurt(Oder) (ab 19:08),7
20:28,ICE 943,Köln Hbf (ab 15:28),2
20:39 (+27),EC 431,Jaworzno Szczakowa (ab 05:58),3
20:46,RE 73783,Brandenburg Hbf (ab 19:44),1
20:47 (+6),RE 73748,Frankfurt(Oder) (ab 19:42),7
20:49 (+12),ICE 794,Karlsruhe Hbf (ab 14:40),2
20:52 Ausfall,RJ 172,Praha hl.n. (ab 16:31),7
20:56 (+1),RE 3734,Dessau Hbf (ab 19:05),3
21:02 (+35),ICE 1055,Köln Hbf (ab 15:36),1
21:09 (+1),RE 73743,Magdeburg Hbf (ab 19:12),2
21:25,RE 73825,Berlin-Charlottenburg (ab 21:04),1
21:31 Ausfall,ICE 643,Köln Hbf (ab 16:26),2
21:41 (+2),RE 73790,Frankfurt(Oder) (ab 20:32),7
21:46 (+1),RE 73785,Brandenburg Hbf (ab 20:44),1
21:51 (+45),ICE 278,Basel SBB (ab 14:16),3
21:56,RE 3736,Dessau Hbf (ab 20:05),6
22:03 (+3),ICE 241,Amsterdam Centraal (ab 16:00),2
22:09 (+22),EC 40,Warszawa Wschodnia (ab 16:49),7
22:09 (+8),RE 73745,Magdeburg Hbf (ab 20:12),1
22:31 (+1),ICE 945,Köln Hbf (ab 17:24),1
22:41,RE 73792,Frankfurt(Oder) (ab 21:32),7
22:46,RE 73787,Brandenburg Hbf (ab 21:44),
22:49 (+17),ICE 792,Frankfurt(M) Flughafen Fernbf (ab 18:09),3
22:55,RB 73824,Fürstenwalde(Spree) (ab 22:15),
22:56,RE 3738,Dessau Hbf (ab 21:05),
23:09,RE 73747,Pillgram (ab 00:09),
23:29 (+44),ICE 645,Köln Hbf (ab 18:25),2
23:41 (+1),RE 73794,Frankfurt(Oder) (ab 22:32),7
23:47 (+2),ICE 276,Brig (ab 13:45),2
23:56,RE 3740,Dessau Hbf (ab 22:05),7
