Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:02,00:02,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),
00:03,00:03,FEX,Berlin Ostkreuz (ab 23:28),
00:09,00:09,RE 73826,Frankfurt(Oder) (ab 23:07),
00:15,00:15,RE 7,Berlin Ostkreuz (ab 00:12),
00:23 (+35),00:58,ICE 901,Hamburg-Altona (ab 21:26),1
00:36 (+45),01:21,ICE 947,Köln Hbf (ab 19:27),3
00:37,00:37,RE 3141,Cottbus Hbf (ab 23:03),6
00:41,00:41,RE 91367,Frankfurt(Oder) (ab 23:32),
00:51,00:51,FEX,Berlin Ostkreuz (ab 00:00),
01:02,01:02,RE 3140,Berlin-Charlottenburg (ab 00:42),1
01:14,01:14,RE 7,Großräschen (ab 06:26),
01:36,01:36,RE 73752,Frankfurt(Oder) (ab 00:29),6
01:40 (+1),01:41,ICE 1707,Hamburg-Altona (ab 22:34),
02:07 (+3),02:10,ICE 274,Basel SBB (ab 18:16),2
03:38 (+3),03:41,RB 21805,Berlin-Charlottenburg (ab 03:18),6
04:16,04:16,RB 21809,Berlin-Charlottenburg (ab 03:55),
04:21,04:21,RE 73751,Brandenburg Hbf (ab 03:13),1
04:27,04:27,RE 73756,Berlin Ostkreuz (ab 04:23),6
04:31,04:31,RB 21806,Flughafen BER (ab 04:10),
04:33,04:33,RB 21811,Berlin-Charlottenburg (ab 04:13),
04:40,04:40,RE 1,Göttingen (ab 20:09),
04:40,04:40,RE 73801,Berlin-Charlottenburg (ab 04:20),
04:49,04:49,RE 73716,Frankfurt(Oder) (ab 03:38),7
04:56,04:56,RE 3702,Bad Belzig (ab 03:41),2
05:02,05:02,RE 3707,Lübbenau(Spreewald) (ab 03:53),7
05:10,05:10,RE 73758,Frankfurt(Oder) (ab 04:15),7
05:23,05:23,RE 3103,Cottbus Hbf (ab 04:00),7
05:26,05:26,RE 73753,Brandenburg Hbf (ab 04:17),1
05:37,05:37,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:44,05:44,RE 73718,Eisenhüttenstadt (ab 04:21),7
05:46 (+135),08:01,ICE 1541,Köln Hbf (ab 23:24),2
05:55,05:55,RE 3704,Dessau Hbf (ab 04:05),1
06:02,06:02,RE 3709,Senftenberg (ab 04:11),7
06:05,06:05,EC 430,Przemysl Glowny (ab 18:49),7
06:10,06:10,RE 73760,Frankfurt(Oder) (ab 05:08),7
06:24,06:24,RB 73803,Brandenburg Hbf (ab 05:22),1
06:37,06:37,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:46,06:46,RE 73755,Brandenburg Hbf (ab 05:44),1
06:47,06:47,RE 73720,Frankfurt(Oder) (ab 05:42),6
06:56,06:56,RE 3706,Dessau Hbf (ab 05:05),2
07:02,07:02,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),3
07:02,07:02,RE 3711,Senftenberg (ab 05:11),7
07:09,07:09,RE 73715,Magdeburg Hbf (ab 05:01),1
07:09,07:09,RE 73762,Eisenhüttenstadt (ab 05:36),7
07:15,07:15,IC 2432,Cottbus Hbf (ab 06:01),6
07:23,07:23,RE 3107,Cottbus Hbf (ab 06:07),7
07:37,07:37,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:46,07:46,RE 73757,Brandenburg Hbf (ab 06:44),1
07:47,07:47,RE 73722,Eisenhüttenstadt (ab 06:20),7
07:56,07:56,RE 3708,Dessau Hbf (ab 06:05),2
08:02,08:02,RE 3713,Senftenberg (ab 06:14),7
08:03 (+5),08:08,ICE 2845,Hannover Hbf (ab 05:50),
08:03 (+4),08:07,ICE 649,Hannover Hbf (ab 05:50),2
08:09,08:09,RE 73717,Magdeburg Hbf (ab 06:12),1
08:23,08:23,RE 3109,Cottbus Hbf (ab 07:03),7
08:24 (+15),08:39,RE 73807,Brandenburg Hbf (ab 07:22),1
08:28 (+10),08:38,ICE 851,Hannover Hbf (ab 06:09),2
08:37,08:37,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:42,08:42,IC 2231,Magdeburg Hbf (ab 07:02),2
08:46 (+9),08:55,RE 73759,Brandenburg Hbf (ab 07:44),1
08:47,08:47,RE 73724,Frankfurt(Oder) (ab 07:41),7
08:56 (+13),09:09,RE 3710,Dessau Hbf (ab 07:05),2
09:02 (+2),09:04,RE 3715,Senftenberg (ab 07:14),7
09:03,09:03,ICE 2291,Hannover Hbf (ab 06:50),
09:03,09:03,ICE 841,Hannover Hbf (ab 06:50),2
09:09 (+8),09:17,RE 73719,Magdeburg Hbf (ab 07:12),1
09:10,09:10,RE 73766,Frankfurt(Oder) (ab 08:11),7
09:21,09:21,RB 18147,Berlin Zoologischer Garten (ab 09:04),
09:23,09:23,RE 3111,Cottbus Hbf (ab 08:04),7
09:24 (+7),09:31,RE 73809,Brandenburg Hbf (ab 08:22),1
09:28,09:28,ICE 541,Köln Hbf (ab 04:16),2
09:37 Ausfall,--:--,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:42 (+1),09:43,ICE 676,Kassel-Wilhelmshöhe (ab 06:45),3
09:46 (+6),09:52,RE 73761,Brandenburg Hbf (ab 08:44),1
09:47,09:47,RE 73726,Frankfurt(Oder) (ab 08:38),7
09:56 (+8),10:04,RE 3712,Dessau Hbf (ab 08:05),2
10:02 (+6),10:08,ICE 741,Münster(Westf)Hbf (ab 06:24),2
10:02 (+2),10:04,RE 3717,Senftenberg (ab 08:14),7
10:06,10:06,EC 248,Warszawa Wschodnia (ab 04:49),7
10:09 (+5),10:14,RE 73721,Magdeburg Hbf (ab 08:12),1
10:09,10:09,RE 73768,Frankfurt(Oder) (ab 09:08),7
10:23 Ausfall,--:--,RE 3113,Cottbus Hbf (ab 09:03),7
10:24 (+4),10:28,RE 73811,Brandenburg Hbf (ab 09:22),1
10:29 (+4),10:33,ICE 843,Köln Hbf (ab 05:26),2
10:37 Ausfall,--:--,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:46,10:46,RE 73763,Brandenburg Hbf (ab 09:44),1
10:47,10:47,RE 73728,Frankfurt(Oder) (ab 09:38),7
10:49 Ausfall,--:--,ICE 996,Kassel-Wilhelmshöhe (ab 07:49),3
10:56,10:56,RE 3714,Dessau Hbf (ab 09:05),2
11:01 (+16),11:17,EC 54,Kraków Główny (ab 04:07),6
11:02,11:02,RE 3719,Senftenberg (ab 09:14),7
11:09,11:09,RE 73723,Magdeburg Hbf (ab 09:12),1
11:09,11:09,RE 73770,Frankfurt(Oder) (ab 10:07),7
11:23,11:23,RE 3115,Cottbus Hbf (ab 10:03),7
11:28,11:28,ICE 543,Köln Hbf (ab 06:25),2
11:37,11:37,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:42,11:42,ICE 378,Karlsruhe Hbf (ab 05:59),3
11:46 (+2),11:48,RE 73765,Brandenburg Hbf (ab 10:44),
11:47,11:47,RE 73730,Frankfurt(Oder) (ab 10:38),7
11:56 (+3),11:59,RE 3716,Dessau Hbf (ab 10:05),2
12:02 (+45),12:47,ICE 141,Amsterdam Centraal (ab 06:00),2
12:02 (+8),12:10,RE 3721,Senftenberg (ab 10:14),6
12:06,12:06,EC 246,Warszawa Wschodnia (ab 06:49),7
12:09 (+2),12:11,RE 73725,Magdeburg Hbf (ab 10:12),1
12:09 (+1),12:10,RE 73772,Frankfurt(Oder) (ab 11:07),7
12:23 Ausfall,--:--,RE 3117,Cottbus Hbf (ab 11:03),7
12:28 (+27),12:55,ICE 845,Köln Hbf (ab 07:26),2
12:37 Ausfall,--:--,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:39 (+34),13:13,IC 2035,Hannover Hbf (ab 09:36),2
12:46,12:46,RE 73767,Brandenburg Hbf (ab 11:44),1
12:47,12:47,RE 73732,Frankfurt(Oder) (ab 11:38),7
12:50 (+32),13:22,ICE 994,Stuttgart Hbf (ab 06:36),2
12:56 (+26),13:22,RE 3718,Dessau Hbf (ab 11:05),3
13:02 (+17),13:19,RE 3723,Senftenberg (ab 11:14),7
13:06 (+20),13:26,EC 230,Gdynia Główna (ab 07:15),6
13:09 (+15),13:24,RE 73727,Magdeburg Hbf (ab 11:12),1
13:09,13:09,RE 73774,Frankfurt(Oder) (ab 12:07),
13:23 Ausfall,--:--,RE 3119,Cottbus Hbf (ab 12:03),7
13:28 (+29),13:57,ICE 545,Köln Hbf (ab 08:25),2
13:37 Ausfall,--:--,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:42 (+9),13:51,ICE 376,Basel SBB (ab 06:16),3
13:46,13:46,RE 73769,Brandenburg Hbf (ab 12:44),1
13:47,13:47,RE 73734,Frankfurt(Oder) (ab 12:38),7
13:56,13:56,RE 3720,Dessau Hbf (ab 12:05),2
14:02 (+5),14:07,ICE 143,Amsterdam Centraal (ab 08:00),2
14:02 (+35),14:37,RE 3725,Senftenberg (ab 12:14),7
14:06,14:06,EC 48,Warszawa Wschodnia (ab 08:49),7
14:09 (+3),14:12,RE 73729,Magdeburg Hbf (ab 12:12),1
14:09,14:09,RE 73776,Frankfurt(Oder) (ab 13:07),7
14:23,14:23,RE 3121,Cottbus Hbf (ab 13:03),7
14:28 (+18),14:46,ICE 847,Köln Hbf (ab 09:26),2
14:28,14:28,RE 73812,Berlin Ostkreuz (ab 14:26),7
14:36,14:36,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),
14:46,14:46,RE 28086,Brandenburg Hbf (ab 13:44),
14:46,14:46,RE 73771,Brandenburg Hbf (ab 13:44),1
14:47,14:47,RE 73736,Frankfurt(Oder) (ab 13:38),7
14:49 (+29),15:18,ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),3
14:56,14:56,RE 3722,Dessau Hbf (ab 13:05),
15:01 (+98),16:39,EC 56,Przemysl Glowny (ab 05:15),6
15:02,15:02,RE 3727,Senftenberg (ab 13:14),7
15:09,15:09,RE 73731,Magdeburg Hbf (ab 13:12),1
15:09,15:09,RE 73778,Frankfurt(Oder) (ab 14:07),
15:21,15:21,RB 18159,Berlin Zoologischer Garten (ab 15:04),
15:23,15:23,RE 3123,Cottbus Hbf (ab 14:03),7
15:24,15:24,RE 73813,Brandenburg Hbf (ab 14:22),
15:28 (+35),16:03,ICE 547,Köln Hbf (ab 10:24),2
15:37,15:37,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:42 (+44),16:26,ICE 374,Interlaken Ost (ab 05:59),3
15:46,15:46,RE 28967,Brandenburg Hbf (ab 14:44),
15:46,15:46,RE 73773,Brandenburg Hbf (ab 14:44),1
15:47,15:47,RE 73738,Frankfurt(Oder) (ab 14:38),7
15:56,15:56,RE 3724,Dessau Hbf (ab 14:05),2
16:02 (+4),16:06,ICE 145,Amsterdam Centraal (ab 10:00),2
16:02,16:02,RE 3729,Senftenberg (ab 14:14),7
16:06 (+31),16:37,EC 46,Warszawa Wschodnia (ab 10:49),7
16:09,16:09,RE 73733,Magdeburg Hbf (ab 14:12),1
16:09 (+21),16:30,RE 73780,Frankfurt(Oder) (ab 15:07),7
16:21,16:21,RB 18161,Berlin Zoologischer Garten (ab 16:04),3
16:23,16:23,RE 3125,Cottbus Hbf (ab 15:03),7
16:24 (+6),16:30,RE 73815,Brandenburg Hbf (ab 15:22),1
16:29 (+23),16:52,ICE 849,Köln Hbf (ab 11:28),2
16:37,16:37,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),1
16:46,16:46,RE 17454,Brandenburg Hbf (ab 15:44),
16:46 (+1),16:47,RE 73775,Brandenburg Hbf (ab 15:44),1
16:47,16:47,RE 73740,Frankfurt(Oder) (ab 15:38),7
16:49 (+194),20:03,ICE 798,Karlsruhe Hbf (ab 10:40),3
16:56 (+23),17:19,RE 3726,Dessau Hbf (ab 15:05),2
17:02 (+7),17:09,RE 3731,Senftenberg (ab 15:14),7
17:09 (+3),17:12,RE 73735,Magdeburg Hbf (ab 15:12),1
17:09,17:09,RE 73782,Frankfurt(Oder) (ab 16:07),7
17:21,17:21,RB 18163,Berlin Zoologischer Garten (ab 17:04),3
17:23,17:23,RE 3127,Cottbus Hbf (ab 16:03),7
17:24 (+8),17:32,RE 73817,Brandenburg Hbf (ab 16:22),1
17:28 (+44),18:12,ICE 549,Köln Hbf (ab 12:26),2
17:37,17:37,RE 3126,Hennigsdorf(b Berlin) (ab 16:35),1
17:42 (+19),18:01,ICE 372,Brig (ab 07:45),3
17:46 (+6),17:52,RE 73777,Brandenburg Hbf (ab 16:44),1
17:47,17:47,RE 73742,Frankfurt(Oder) (ab 16:38),7
17:56,17:56,RE 3728,Dessau Hbf (ab 16:05),2
18:02 (+26),18:28,ICE 147,Amsterdam Centraal (ab 12:00),2
18:02 (+5),18:07,RE 3733,Senftenberg (ab 16:14),6
18:06 (+5),18:11,EC 44,Warszawa Wschodnia (ab 12:49),7
18:09 (+3),18:12,RE 73737,Magdeburg Hbf (ab 16:12),1
18:09,18:09,RE 73784,Frankfurt(Oder) (ab 17:07),7
18:21,18:21,RB 18165,Berlin Zoologischer Garten (ab 18:04),2
18:23,18:23,RE 3129,Cottbus Hbf (ab 17:03),7
18:24,18:24,RE 73819,Brandenburg Hbf (ab 17:22),1
18:29 (+18),18:47,ICE 941,Köln Hbf (ab 13:27),2
18:37,18:37,RE 3128,Hennigsdorf(b Berlin) (ab 17:34),1
18:40 (+13),18:53,IC 2431,Hannover Hbf (ab 15:36),2
18:46,18:46,RE 26078,Brandenburg Hbf (ab 17:45),
18:46 (+20),19:06,RE 73779,Brandenburg Hbf (ab 17:45),1
18:47,18:47,RE 73744,Frankfurt(Oder) (ab 17:38),7
18:49 (+1),18:50,ICE 796,Frankfurt(M) Flughafen Fernbf (ab 14:09),3
18:56 (+2),18:58,RE 3730,Dessau Hbf (ab 17:05),1
19:01 (+9),19:10,EC 58,Przemysl Glowny (ab 09:09),6
19:02 (+55),19:57,ICE 1549,Köln Hbf (ab 13:34),2
19:02 (+2),19:04,RE 3735,Senftenberg (ab 17:14),7
19:09 (+19),19:28,RE 73739,Magdeburg Hbf (ab 17:12),1
19:09,19:09,RE 73786,Frankfurt(Oder) (ab 18:07),7
19:23,19:23,RE 3131,Cottbus Hbf (ab 18:03),7
19:24 (+2),19:26,RE 73821,Brandenburg Hbf (ab 18:21),1
19:28 (+51),20:19,ICE 641,Köln Hbf (ab 14:26),2
19:37,19:37,RE 3130,Hennigsdorf(b Berlin) (ab 18:34),1
19:42 (+45),20:27,ICE 370,Zürich HB (ab 10:59),3
19:42,19:42,iCE 370,Zürich HB (ab 10:59),3
19:46,19:46,RE 27765,Brandenburg Hbf (ab 18:44),
19:46 (+1),19:47,RE 73781,Brandenburg Hbf (ab 18:44),1
19:47 (+5),19:52,RE 73746,Frankfurt(Oder) (ab 18:38),7
19:56 (+6),20:02,RE 3732,Dessau Hbf (ab 18:05),2
20:01 (+12),20:13,ICE 149,Amsterdam Centraal (ab 14:00),2
20:02,20:02,RE 3737,Senftenberg (ab 18:14),6
20:06 (+6),20:12,EC 42,179215 (ab 13:09),7
20:09,20:09,RE 73741,Magdeburg Hbf (ab 18:12),1
20:09,20:09,RE 73788,Frankfurt(Oder) (ab 19:07),7
20:23 Ausfall,--:--,RE 3133,Cottbus Hbf (ab 19:03),6
20:25,20:25,RE 73823,Berlin Zoologischer Garten (ab 20:08),1
20:28 (+6),20:34,ICE 2897,Köln Hbf (ab 15:28),2
