Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:04 (+1),00:05,RE 3138,Cottbus Hbf (an 01:50),1
00:11,00:11,RE 1,Göttingen (an 07:51),
00:11,00:11,RE 94749,Frankfurt(Oder) (an 01:18),
00:17 (+4),00:21,RE 3745,Bad Belzig (an 01:31),7
00:17,00:17,RE 7,Karlsruhe Hbf (an 23:25),
00:43,00:43,RB 94796,Potsdam Hbf (an 01:22),
00:43,00:43,RE 91367,Potsdam Hbf (an 01:22),
00:52,00:52,RE 3141,Berlin Hbf (an 01:02),6
00:53,00:53,RB 21968,Berlin Hbf (an 01:04),
01:04,01:04,RE 3140,Cottbus Hbf (an 02:51),1
01:34,01:34,RE 93994,Frankfurt(Oder) (an 02:38),
01:34,01:34,RE 94791,Frankfurt(Oder) (an 02:38),
01:38,01:38,RE 73752,Berlin Zoologischer Garten (an 01:56),6
01:44,01:44,RE 21800,Berlin Hbf (an 01:54),
01:50,01:50,RE 93742,Berlin Ostkreuz (an 01:54),
03:48 (+6),03:54,ICE 646,Köln Hbf (an 09:33),3
04:04,04:04,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:23,04:23,RE 2,München Hbf (an 22:19),
04:23,04:23,RE 3101,Berlin-Spandau (an 04:53),
04:23,04:23,RE 73751,Frankfurt(Oder) (an 05:29),
04:28,04:28,RE 94756,Berlin Hbf (an 04:37),
04:33,04:33,RE 21806,Berlin Hbf (an 04:44),
04:41,04:41,RE 73801,Frankfurt(Oder) (an 05:36),
04:51,04:51,RE 94716,Berlin-Wannsee (an 05:21),
04:58,04:58,RE 3702,Senftenberg (an 06:41),2
05:04,05:04,RE 3707,Dessau Hbf (an 06:53),7
05:08 (+9),05:17,ICE 946,Köln Hbf (an 10:35),6
05:12,05:12,RE 93759,Potsdam Hbf (an 05:51),
05:12,05:12,RE 94758,Potsdam Hbf (an 05:51),
05:25,05:25,RE 3103,Hennigsdorf(b Berlin) (an 06:23),7
05:28,05:28,RB 94753,Frankfurt(Oder) (an 06:35),
05:28,05:28,RE 93754,Frankfurt(Oder) (an 06:35),
05:38,05:38,RE 3102,Cottbus Hbf (an 06:56),1
05:49,05:49,RE 93719,Berlin-Wannsee (an 06:20),
05:49,05:49,RE 94718,Berlin-Wannsee (an 06:20),
05:56,05:56,ICE 240,Amsterdam Centraal (an 11:59),
05:57 (+1),05:58,RE 3704,Senftenberg (an 07:41),1
05:59 (+4),06:03,EC 41,Warszawa Wschodnia (an 11:15),3
06:04,06:04,RE 3709,Dessau Hbf (an 07:53),7
06:04,06:04,RE 7,Offenburg (an 23:37),
06:11,06:11,RE 94713,Frankfurt(Oder) (an 07:18),
06:12,06:12,RE 94760,Potsdam Hbf (an 06:51),
06:21 (+1),06:22,ICE 644,Köln Hbf (an 11:32),6
06:25,06:25,RE 3105,Hennigsdorf(b Berlin) (an 07:23),7
06:27 Ausfall,--:--,ES 453,Praha hl.n. (an 10:51),2
06:38,06:38,RE 3104,Cottbus Hbf (an 07:57),1
06:42 Ausfall,--:--,ICE 1548,Köln Hbf (an 12:16),3
06:48,06:48,RE 94755,Frankfurt(Oder) (an 07:47),
06:49,06:49,RE 94720,Berlin-Wannsee (an 07:20),
06:58,06:58,RE 3706,Senftenberg (an 08:41),2
07:04,07:04,RE 3711,Dessau Hbf (an 08:53),7
07:11,07:11,RE 94715,Frankfurt(Oder) (an 08:20),
07:12,07:12,RE 94762,Potsdam Hbf (an 07:51),
07:19 (+3),07:22,ICE 944,Köln Hbf (an 12:33),6
07:25,07:25,RE 3107,Hennigsdorf(b Berlin) (an 08:23),7
07:38,07:38,RE 3106,Cottbus Hbf (an 08:56),1
07:39,07:39,RB 18146,Berlin-Wannsee (an 08:10),
07:48,07:48,RE 94757,Frankfurt(Oder) (an 08:43),
07:49,07:49,RE 94722,Berlin-Wannsee (an 08:20),
07:56,07:56,ICE 148,Amsterdam Centraal (an 14:01),
07:58,07:58,RE 3708,Senftenberg (an 09:41),2
08:00,08:00,EC 43,Warszawa Wschodnia (an 13:15),1
08:00 (+5),08:05,ICE 642,Köln Hbf (an 13:34),6
08:04 (+5),08:09,RE 3713,Dessau Hbf (an 09:53),7
08:11,08:11,RE 93718,Frankfurt(Oder) (an 09:18),
08:11,08:11,RE 94717,Frankfurt(Oder) (an 09:18),
08:12,08:12,RB 94764,Potsdam Hbf (an 08:51),
08:12,08:12,RE 94764,Potsdam Hbf (an 08:51),
08:25,08:25,RE 3109,Hennigsdorf(b Berlin) (an 09:23),7
08:38,08:38,RE 3108,Cottbus Hbf (an 09:55),1
08:39,08:39,RB 18148,Berlin-Wannsee (an 09:10),
08:48,08:48,RE 94759,Frankfurt(Oder) (an 09:43),
08:49 (+1),08:50,RE 94724,Berlin-Wannsee (an 09:20),
08:58,08:58,RE 3710,Senftenberg (an 10:41),2
09:01 (+6),09:07,EC 59,Przemysl Glowny (an 18:43),1
09:04 (+1),09:05,RE 3715,Dessau Hbf (an 10:53),7
09:08 (+1),09:09,ICE 797,Göttingen (an 11:51),3
09:11,09:11,RE 93720,Frankfurt(Oder) (an 10:18),
09:11,09:11,RE 94719,Frankfurt(Oder) (an 10:18),
09:12 (+1),09:13,RE 94766,Potsdam Hbf (an 09:51),
09:19 Ausfall,--:--,ICE 942,Köln Hbf (an 14:32),6
09:25 (+2),09:27,RE 3111,Hennigsdorf(b Berlin) (an 10:23),7
09:38,09:38,RE 3110,Cottbus Hbf (an 10:55),1
09:39,09:39,RB 18150,Berlin-Wannsee (an 10:10),
09:47,09:47,ICE 146,Amsterdam Centraal (an 16:00),6
09:48,09:48,RB 94761,Frankfurt(Oder) (an 10:43),
09:48,09:48,RE 94761,Frankfurt(Oder) (an 10:43),
09:49,09:49,RE 94726,Berlin-Wannsee (an 10:20),
09:58 (+1),09:59,RE 3712,Senftenberg (an 11:41),2
10:00 (+2),10:02,EC 45,Warszawa Wschodnia (an 15:15),1
10:04 (+2),10:06,RE 3717,Dessau Hbf (an 11:53),7
10:11,10:11,RE 93722,Frankfurt(Oder) (an 11:18),
10:11,10:11,RE 94721,Frankfurt(Oder) (an 11:18),
10:12,10:12,RE 94768,Potsdam Hbf (an 10:51),
10:24 (+55),11:19,ICE 640,Köln Hbf (an 15:34),6
10:25 (+1),10:26,RE 3113,Hennigsdorf(b Berlin) (an 11:23),7
10:38 (+1),10:39,RE 3112,Cottbus Hbf (an 11:55),1
10:48,10:48,RE 94763,Frankfurt(Oder) (an 11:43),
10:49,10:49,RE 94728,Berlin-Wannsee (an 11:20),
10:58,10:58,RE 3714,Senftenberg (an 12:41),2
11:04 (+11),11:15,RE 3719,Dessau Hbf (an 12:53),7
11:06,11:06,ICE 799,Göttingen (an 13:50),3
11:11,11:11,RE 93724,Frankfurt(Oder) (an 12:18),
11:11,11:11,RE 94723,Frankfurt(Oder) (an 12:18),
11:12,11:12,RE 94770,Potsdam Hbf (an 11:51),
11:20 (+5),11:25,ICE 940,Köln Hbf (an 16:33),6
11:25,11:25,RE 3115,Hennigsdorf(b Berlin) (an 12:23),7
11:38,11:38,RE 3114,Cottbus Hbf (an 12:55),1
11:48,11:48,RE 94765,Frankfurt(Oder) (an 12:43),
11:49,11:49,RE 94730,Berlin-Wannsee (an 12:20),
11:56,11:56,ICE 144,Amsterdam Centraal (an 18:00),
11:58 (+8),12:06,RE 3716,Senftenberg (an 13:41),2
12:00 (+42),12:42,EC 47,Warszawa Wschodnia (an 17:15),1
12:04 (+2),12:06,RE 3721,Dessau Hbf (an 13:53),7
12:11,12:11,RE 93726,Frankfurt(Oder) (an 13:18),
12:11 (+34),12:45,RE 94725,Frankfurt(Oder) (an 13:18),
12:12,12:12,RB 94772,Potsdam Hbf (an 12:51),
12:12,12:12,RE 94772,Potsdam Hbf (an 12:51),
12:25 (+1),12:26,RE 3117,Hennigsdorf(b Berlin) (an 13:23),7
12:30 (+6),12:36,ICE 548,Köln Hbf (an 17:35),6
12:38 (+1),12:39,RE 3116,Cottbus Hbf (an 13:55),1
12:48,12:48,RE 62112,Frankfurt(Oder) (an 13:43),
12:48 (+19),13:07,RE 94767,Frankfurt(Oder) (an 13:43),
12:49 (+39),13:28,RE 94732,Berlin-Wannsee (an 13:20),
12:58 (+1),12:59,RE 3718,Senftenberg (an 14:41),3
13:00 (+4),13:04,EC 57,Przemysl Glowny (an 22:43),1
13:04 (+4),13:08,RE 3723,Dessau Hbf (an 14:53),7
13:11,13:11,RE 93728,Frankfurt(Oder) (an 14:18),
13:11 (+26),13:37,RE 94727,Frankfurt(Oder) (an 14:18),
13:12 (+2),13:14,RE 94774,Potsdam Hbf (an 13:51),
13:18 (+2),13:20,ICE 848,Köln Hbf (an 18:33),6
13:25 (+24),13:49,RE 3119,Hennigsdorf(b Berlin) (an 14:23),7
13:38 (+2),13:40,RE 3118,Cottbus Hbf (an 14:55),1
13:48,13:48,RE 94769,Frankfurt(Oder) (an 14:43),
13:49,13:49,RE 94734,Berlin-Wannsee (an 14:20),
13:56,13:56,ICE 142,Amsterdam Centraal (an 20:01),
13:58,13:58,RE 3720,Senftenberg (an 15:41),2
14:00 (+40),14:40,EC 49,Warszawa Wschodnia (an 19:15),1
14:04 (+9),14:13,RE 3725,Dessau Hbf (an 15:53),7
14:11,14:11,RE 93730,Frankfurt(Oder) (an 15:18),
14:11 (+19),14:30,RE 94729,Frankfurt(Oder) (an 15:18),
14:12,14:12,RE 73835,Potsdam Hbf (an 14:51),
14:12 Ausfall,--:--,RE 94776,Potsdam Hbf (an 14:51),
14:22 (+11),14:33,ICE 546,Köln Hbf (an 19:35),6
14:25,14:25,RE 3121,Hennigsdorf(b Berlin) (an 15:23),7
14:38,14:38,RE 3120,Cottbus Hbf (an 15:55),1
14:39,14:39,RB 18160,Potsdam Griebnitzsee (an 15:15),7
14:48,14:48,RE 94771,Frankfurt(Oder) (an 15:43),
14:49 (+6),14:55,RE 94736,Berlin-Wannsee (an 15:20),
14:53,14:53,IC 2034,Norddeich (an 22:14),6
14:58 (+5),15:03,RE 3722,Senftenberg (an 16:41),2
15:00,15:00,EC 231,Gdynia Glowna (an 20:51),1
15:04 (+2),15:06,RE 3727,Dessau Hbf (an 16:53),7
15:08,15:08,ICE 2585,Stuttgart Hbf (an 22:04),
15:11,15:11,RE 93732,Frankfurt(Oder) (an 16:18),
15:11,15:11,RE 94731,Frankfurt(Oder) (an 16:18),
15:12,15:12,RE 94778,Potsdam Hbf (an 15:51),
15:20 (+1),15:21,ICE 846,Köln Hbf (an 20:32),6
15:25,15:25,RE 3123,Hennigsdorf(b Berlin) (an 16:23),7
15:38,15:38,RE 3122,Cottbus Hbf (an 16:55),1
15:39,15:39,RB 18162,Potsdam Griebnitzsee (an 16:15),3
15:48,15:48,RE 94773,Frankfurt(Oder) (an 16:43),
15:49,15:49,RB 94738,Berlin-Wannsee (an 16:20),
15:49,15:49,RE 94738,Berlin-Wannsee (an 16:20),
15:56,15:56,ICE 140,Amsterdam Centraal (an 22:01),
15:58,15:58,RE 3724,Senftenberg (an 17:41),2
16:01,16:01,EC 247,Warszawa Wschodnia (an 21:19),1
16:04,16:04,RE 3729,Dessau Hbf (an 17:53),7
16:11,16:11,RE 93734,Frankfurt(Oder) (an 17:18),
16:11,16:11,RE 94733,Frankfurt(Oder) (an 17:18),
16:12,16:12,RB 94780,Potsdam Hbf (an 16:51),
16:12,16:12,RE 73839,Potsdam Hbf (an 16:51),
16:25,16:25,RE 3125,Hennigsdorf(b Berlin) (an 17:23),7
16:38,16:38,RE 3124,Cottbus Hbf (an 17:55),1
16:39,16:39,RB 18164,Berlin-Wannsee (an 17:10),
16:48,16:48,RE 94775,Frankfurt(Oder) (an 17:43),
16:49,16:49,RB 94740,Berlin-Wannsee (an 17:20),
16:49,16:49,RE 94740,Berlin-Wannsee (an 17:20),
16:58,16:58,ICE 2940,Köln Hbf (an 22:50),6
16:58 (+3),17:01,ICE 844,Köln Hbf (an 22:52),6
16:58,16:58,RE 3726,Senftenberg (an 18:41),2
17:00 (+19),17:19,EC 55,Krakow Glowny (an 23:44),1
17:04,17:04,RE 3731,Dessau Hbf (an 18:53),7
17:06 (+4),17:10,ICE 997,Göttingen (an 19:50),6
17:11,17:11,RE 93736,Frankfurt(Oder) (an 18:18),
17:11,17:11,RE 94735,Frankfurt(Oder) (an 18:18),
17:12,17:12,RB 94782,Potsdam Hbf (an 17:51),
17:12,17:12,RE 94782,Potsdam Hbf (an 17:51),
17:20,17:20,IC 2232,Magdeburg Hbf (an 19:20),
17:25,17:25,RE 3127,Hennigsdorf(b Berlin) (an 18:23),7
17:36,17:36,ICE 742,Münster(Westf)Hbf (an 21:35),
17:38,17:38,RE 3126,Cottbus Hbf (an 18:55),
17:39,17:39,RB 18166,Berlin-Wannsee (an 18:10),
17:48,17:48,RE 94777,Frankfurt(Oder) (an 18:43),
17:49,17:49,RE 94742,Berlin-Wannsee (an 18:20),
17:58,17:58,RE 3728,Lübbenau(Spreewald) (an 19:03),2
18:00,18:00,EC 249,Warszawa Wschodnia (an 23:15),1
18:04 (+15),18:19,RE 3733,Dessau Hbf (an 19:53),6
18:11,18:11,RE 93738,Frankfurt(Oder) (an 19:18),
18:11,18:11,RE 94737,Frankfurt(Oder) (an 19:18),
18:12,18:12,RE 73843,Potsdam Hbf (an 18:51),
18:12,18:12,RE 94784,Potsdam Hbf (an 18:51),
18:25,18:25,RE 3129,Hennigsdorf(b Berlin) (an 19:23),7
18:38,18:38,RE 3128,Cottbus Hbf (an 19:55),1
18:48,18:48,RB 94779,Frankfurt(Oder) (an 19:47),
18:48,18:48,RE 94779,Frankfurt(Oder) (an 19:47),
18:49,18:49,RE 94744,Berlin-Wannsee (an 19:20),
18:58,18:58,RE 3730,Senftenberg (an 20:41),1
19:03 (+66),20:09,IC 2431,Cottbus Hbf (an 20:21),2
19:04,19:04,RE 3735,Medewitz(Mark) (an 20:30),7
19:06 (+4),19:10,ICE 999,Kassel-Wilhelmshöhe (an 22:13),6
19:11,19:11,RB 94739,Frankfurt(Oder) (an 20:18),
19:11,19:11,RE 94739,Frankfurt(Oder) (an 20:18),
19:12,19:12,RB 94786,Potsdam Hbf (an 19:51),
19:12,19:12,RE 94786,Potsdam Hbf (an 19:51),
19:17,19:17,RJ 174,Berlin Hbf (an 19:24),7
19:21 (+11),19:32,ICE 842,Köln Hbf (an 00:46),6
19:25,19:25,RE 3131,Berlin-Spandau (an 19:54),
19:38,19:38,RE 3130,Cottbus Hbf (an 20:55),1
19:48,19:48,RB 94781,Frankfurt(Oder) (an 20:43),
19:48,19:48,RE 94781,Frankfurt(Oder) (an 20:43),
19:49,19:49,RE 94746,Berlin-Wannsee (an 20:20),
19:55 (+1),19:56,ICE 540,Hannover Hbf (an 22:28),7
19:58,19:58,RE 3732,Lübbenau(Spreewald) (an 21:03),
20:04,20:04,RE 3737,Berlin Hbf (an 20:13),
20:11,20:11,RE 94741,Frankfurt(Oder) (an 21:18),
20:12,20:12,RE 94788,Potsdam Hbf (an 20:51),
20:14,20:14,ICE 679,Kassel-Wilhelmshöhe (an 23:13),6
20:25,20:25,RE 3133,Berlin-Spandau (an 20:54),6
20:38,20:38,RE 3132,Cottbus Hbf (an 22:09),1
20:41,20:41,EC 431,Przemysl Glowny (an 09:11),
20:48,20:48,RE 94783,Frankfurt(Oder) (an 21:43),
20:49,20:49,RE 94748,Berlin-Wannsee (an 21:20),
20:58,20:58,RE 3734,Lübbenau(Spreewald) (an 22:04),2
21:04,21:04,RE 3739,Medewitz(Mark) (an 22:30),7
21:11,21:11,RE 93744,Frankfurt(Oder) (an 22:18),
21:23 (+4),21:27,ICE 840,Hannover Hbf (an 00:09),6
21:25,21:25,RE 3135,Hennigsdorf(b Berlin) (an 22:25),7
21:27,21:27,RE 73825,Eisenhüttenstadt (an 22:51),1
21:38,21:38,RE 3134,Cottbus Hbf (an 23:13),1
21:43,21:43,RE 91491,Potsdam Hbf (an 22:22),
21:43,21:43,RE 94790,Potsdam Hbf (an 22:22),
21:48,21:48,RE 94785,Frankfurt(Oder) (an 22:43),
21:58,21:58,RE 3736,Lübbenau(Spreewald) (an 23:04),
22:06,22:06,RE 3741,Bad Belzig (an 23:19),7
22:11,22:11,RE 94745,Frankfurt(Oder) (an 23:18),
22:42,22:42,RE 3137,Hennigsdorf(b Berlin) (an 23:46),7
22:43,22:43,RB 94792,Potsdam Hbf (an 23:22),
22:43,22:43,RE 73799,Potsdam Hbf (an 23:22),
22:48 Ausfall,--:--,ES 452,Antwerpen Centraal (an 09:45),6
23:04,23:04,RE 3743,Dessau Hbf (an 00:53),7
23:05 (+1),23:06,RE 3136,Cottbus Hbf (an 01:15),2
23:11,23:11,RE 94747,Hangelsberg (an 23:43),
23:15,23:15,ICE 273,Zürich HB (an 10:00),6
23:20 (+1),23:21,ICE 1540,Köln Hbf (an 06:12),6
23:43,23:43,RB 94794,Potsdam Hbf (an 00:23),
23:43,23:43,RE 73795,Potsdam Hbf (an 00:23),
23:51,23:51,RE 3139,Schorndorf (an 10:09),6
