Ankunft,Zugnr.,von (Abfahrt),Gleis
00:04,RE 73826,Frankfurt(Oder) (ab 23:07),2
00:07 (+3),RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
00:10,RE 3745,Senftenberg (ab 22:26),2
00:14 (+19),RE 73749,Magdeburg Hbf (ab 22:07),1
00:31,RE 3141,Cottbus Hbf (ab 23:03),2
00:46 (+1),RB 21968,Flughafen BER (ab 00:30),2
01:07,RE 3140,Berlin-Charlottenburg (ab 00:42),1
01:20,RE 3742,Dessau Hbf (ab 23:23),1
01:58,RB 21969,Berlin-Charlottenburg (ab 01:33),1
04:39,RB 18300,Wünsdorf-Waldstadt (ab 03:43),14
04:56,RE 3707,Lübbenau(Spreewald) (ab 03:53),2
05:18,RE 3103,Cottbus Hbf (ab 04:00),2
05:40,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:42 (+1),RE 73718,Frankfurt(Oder) (ab 04:42),2
05:59,RE 3704,Dessau Hbf (ab 04:05),1
06:05,RE 73760,Frankfurt(Oder) (ab 05:08),2
06:18,RE 3105,Cottbus Hbf (ab 04:57),2
06:20,RB 18305,Eberswalde Hbf (ab 05:35),13
06:40,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:42,RE 73720,Frankfurt(Oder) (ab 05:42),2
06:51,RE 73755,Brandenburg Hbf (ab 05:44),1
06:57,RE 3711,Senftenberg (ab 05:11),2
07:01,RB 61104,Templin Stadt (ab 05:33),7
07:05,RE 73762,Frankfurt(Oder) (ab 06:11),2
07:14,RE 73715,Magdeburg Hbf (ab 05:01),1
07:39,RB 18306,Blankenfelde(Teltow-Fläming) (ab 07:09),14
07:40,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:42 (+1),RE 73722,Frankfurt(Oder) (ab 06:42),2
07:44,RB 18207,Berlin-Lichtenberg (ab 07:41),13
07:51,RE 73757,Brandenburg Hbf (ab 06:44),1
08:00 (+3),RE 3708,Dessau Hbf (ab 06:05),1
08:01,RB 61106,Templin Stadt (ab 06:33),8
08:04,RE 73764,Frankfurt(Oder) (ab 07:11),2
08:14,RE 73717,Magdeburg Hbf (ab 06:12),1
08:16,RB 18206,Ludwigsfelde (ab 07:38),14
08:18,RE 3109,Cottbus Hbf (ab 07:03),2
08:20,RB 18309,Eberswalde Hbf (ab 07:35),13
08:39,RB 18308,Blankenfelde(Teltow-Fläming) (ab 08:09),14
08:40 (+1),RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:42,RB 61256,Werneuchen (ab 08:04),7
08:42,RE 73724,Frankfurt(Oder) (ab 07:41),2
08:44,RB 18209,Berlin-Lichtenberg (ab 08:41),13
08:51,RE 73759,Brandenburg Hbf (ab 07:44),1
08:56 (+2),RE 3715,Senftenberg (ab 07:14),2
09:00 (+1),RE 3710,Dessau Hbf (ab 07:05),1
09:01 (+4),RB 61108,Templin Stadt (ab 07:33),7
09:05 (+1),RE 73766,Frankfurt(Oder) (ab 08:11),2
09:14,RE 73719,Magdeburg Hbf (ab 07:12),1
09:16,RB 18208,Ludwigsfelde (ab 08:38),14
09:18,RE 3111,Cottbus Hbf (ab 08:04),2
09:20 (+1),RB 18311,Eberswalde Hbf (ab 08:35),13
09:39,RB 18310,Blankenfelde(Teltow-Fläming) (ab 09:09),14
09:40,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:42,RB 61258,Werneuchen (ab 09:04),7
09:42 (+1),RE 73726,Frankfurt(Oder) (ab 08:38),2
09:44,RB 18211,Berlin-Lichtenberg (ab 09:41),13
09:51,RE 73761,Brandenburg Hbf (ab 08:44),1
09:56 (+1),RE 3717,Senftenberg (ab 08:14),2
10:00 (+1),RE 3712,Dessau Hbf (ab 08:05),1
10:01 (+2),RB 61110,Templin Stadt (ab 08:33),7
10:05,RE 73768,Frankfurt(Oder) (ab 09:08),2
10:14 (+9),RE 73721,Magdeburg Hbf (ab 08:12),1
10:16,RB 18210,Ludwigsfelde (ab 09:38),14
10:18,RE 3113,Cottbus Hbf (ab 09:03),2
10:20,RB 18313,Eberswalde Hbf (ab 09:35),13
10:39,RB 18312,Blankenfelde(Teltow-Fläming) (ab 10:09),14
10:40,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
