Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
00:01,RE 62045,Berlin-Spandau (an 00:32),Berlin Ostkreuz
00:08,RE 2,Cottbus Hbf (an 06:57),Berlin Ostkreuz
00:08,RE 3138,Cottbus Hbf (an 01:39),Berlin Ostkreuz
00:11,RE 3745,Halbe (an 23:33),Berlin Ostkreuz
00:11,RE 93845,Berlin Hbf (an 00:27),Berlin Ostkreuz
00:20,FEX19878,Berlin Gesundbrunnen (an 00:34),Berlin Ostkreuz
00:25,RE 91367,Berlin Hbf (an 00:39),Berlin Ostkreuz
00:34,RE 3141,Berlin Hbf (an 00:49),Berlin Ostkreuz
00:54,RE 62090,Wünsdorf-Waldstadt (an 01:44),Berlin Ostkreuz
00:58,RE 62041,Berlin Hbf (an 01:13),Berlin Ostkreuz
01:06,RE 62089,Berlin-Lichtenberg (an 01:10),Berlin Ostkreuz
01:10,RE 3140,Cottbus Hbf (an 02:39),Berlin Ostkreuz
01:25,RE 73753,Berlin Hbf (an 01:39),Berlin Ostkreuz
01:32,FEX19880,Berlin Hbf (an 01:47),Berlin Ostkreuz
01:58,RE 62047,Berlin-Spandau (an 02:30),Berlin Ostkreuz
02:57,RE 62043,Berlin Hbf (an 03:11),Berlin Ostkreuz
03:56,RE 3700,Lübbenau(Spreewald) (an 04:59),Berlin Ostkreuz
03:56,RE 3705,Lübbenau(Spreewald) (an 04:59),Berlin Ostkreuz
04:12,FEX90205,Flughafen BER (an 04:31),Berlin Ostkreuz
04:25,RE 73757,Brandenburg Hbf (an 05:38),Berlin Ostkreuz
04:29,RE 73752,Frankfurt(Oder) (an 05:31),Berlin Ostkreuz
04:44,RE 33646,Brandenburg Hbf (an 05:53),Berlin Ostkreuz
04:44,RE 73717,Möser (an 06:34),Berlin Ostkreuz
04:49,RE 62052,Luckau-Uckro (an 06:01),Berlin Ostkreuz
04:49,RE 73800,Frankfurt(Oder) (an 05:39),Berlin Ostkreuz
04:57,RE 3707,Berlin-Wannsee (an 05:33),Berlin Ostkreuz
05:03 (+1),RE 3702,Senftenberg (an 06:41),Berlin Ostkreuz
05:03,RE 62003,Berlin-Spandau (an 05:35),Berlin Ostkreuz
05:03,RE 92402,Lübbenau(Spreewald) (an 06:03),Berlin Ostkreuz
05:08,RB 18300,Eberswalde Hbf (an 05:55),Berlin Ostkreuz
