Ankunft,Zugnr.,von (Abfahrt),Gleis
00:15 (+4),RE 3360,Lutherstadt Wittenberg Hbf (ab 22:39),3
00:15 (+4),RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),3
00:42,RE 3363,Berlin Hbf (ab 00:40),2
04:49,RE 3369,Eberswalde Hbf (ab 04:03),2
05:04,RB 56801,Berlin Südkreuz (ab 05:00),3
05:14 (+1),RE 3302,Falkenberg(Elster) (ab 03:40),3
05:34,RE 3341,Schwedt(Oder) (ab 04:04),1
05:39,RE 3504,Berlin Südkreuz (ab 05:34),3
06:11,RE 62005,Baruth(Mark) (ab 05:20),4
06:15,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),3
06:17,RE 3503,Neubrandenburg (ab 04:27),2
06:39,RE 4352,Berlin Südkreuz (ab 06:34),3
06:42,RE 3301,Angermünde (ab 05:32),2
07:14,RE 3304,Luckenwalde (ab 06:35),3
07:16,RE 4353,Neustrelitz Hbf (ab 06:00),2
07:34,RE 3343,Schwedt(Oder) (ab 06:04),1
07:39,RE 3506,Berlin Südkreuz (ab 07:34),3
07:48,RE 3169,Jüterbog (ab 07:02),3
07:49,RB 18505,Cottbus Hbf (ab 06:12),4
08:03,RB 18504,Berlin Hbf (ab 08:00),1
08:15 (+1),RE 3344,Halle(Saale)Hbf (ab 05:46),3
08:18,RE 3505,Stralsund Hbf (ab 05:02),2
08:39,RE 4354,Berlin Südkreuz (ab 08:34),3
08:42,RE 3303,Stralsund Hbf (ab 05:10),2
09:14,RE 3306,Luckenwalde (ab 08:35),3
09:16,RE 4355,Rostock Hbf (ab 06:37),2
09:34,RE 3345,Schwedt(Oder) (ab 08:04),1
09:39,RE 3508,Berlin Südkreuz (ab 09:34),3
09:45,RE 62008,Elstal (ab 09:07),1
09:47,RE 3171,Jüterbog (ab 09:02),3
09:49,RB 18509,Lübbenau(Spreewald) (ab 08:45),4
10:16,RE 3507,Stralsund Hbf (ab 07:02),2
10:39 (+5),RE 4356,Berlin Südkreuz (ab 10:34),3
10:42,RE 3305,Stralsund Hbf (ab 07:10),2
10:47,RE 62010,Elstal (ab 10:05),1
11:03,RB 18510,Berlin Hbf (ab 11:00),1
11:14 (+1),RE 3308,Luckenwalde (ab 10:35),3
11:16,RE 4357,Rostock Hbf (ab 08:37),2
