Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:11,00:11,RB 62086,Baruth(Mark) (ab 23:19),4
00:15,00:15,RE 3360,Lutherstadt Wittenberg Hbf (ab 22:39),3
00:15,00:15,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),3
00:42,00:42,RE 3363,Berlin Hbf (ab 00:40),2
01:57,01:57,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),3
04:49,04:49,RE 3369,Eberswalde Hbf (ab 04:03),2
05:11,05:11,RE 3144,Berlin Hbf (ab 05:09),2
05:14,05:14,RE 3302,Falkenberg(Elster) (ab 03:40),3
05:34,05:34,RE 3341,Schwedt(Oder) (ab 04:04),1
05:39,05:39,RE 3504,Berlin Südkreuz (ab 05:34),3
05:45,05:45,RE 62000,Elstal (ab 05:07),1
06:10,06:10,RB 18500,Berlin Hbf (ab 06:07),1
06:11,06:11,RE 62005,Baruth(Mark) (ab 05:20),4
06:15,06:15,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),3
06:17,06:17,RE 3503,Fürstenberg(Havel) (ab 05:09),2
06:39 (+1),06:40,RE 4352,Berlin Südkreuz (ab 06:34),3
06:42,06:42,RE 3301,Angermünde (ab 05:32),2
06:47,06:47,RE 62002,Elstal (ab 06:07),1
06:49,06:49,RB 18503,Cottbus Hbf (ab 05:23),4
07:09,07:09,RE 62007,Elsterwerda (ab 05:29),4
07:10,07:10,RB 18502,Berlin Hbf (ab 07:07),1
07:14,07:14,RE 3304,Luckenwalde (ab 06:35),3
07:34,07:34,RE 3343,Schwedt(Oder) (ab 06:04),1
07:39,07:39,RE 3506,Berlin Südkreuz (ab 07:34),3
07:45,07:45,RE 62004,Elstal (ab 07:07),1
07:48,07:48,RE 3169,Jüterbog (ab 07:02),3
08:09,08:09,RE 3166,Stendal Hbf (ab 06:47),2
08:10,08:10,RB 18504,Berlin Hbf (ab 08:07),1
08:11,08:11,RE 62009,Baruth(Mark) (ab 07:20),4
08:39,08:39,RE 4354,Berlin Südkreuz (ab 08:34),3
08:41,08:41,RB 62056,Berlin Südkreuz (ab 08:38),4
08:42,08:42,RE 3303,Stralsund Hbf (ab 05:10),2
08:46,08:46,RE 3149,Falkenberg(Elster) (ab 07:18),3
08:47,08:47,RE 62006,Elstal (ab 08:07),1
08:49,08:49,RB 18507,Lübbenau(Spreewald) (ab 07:44),4
09:09,09:09,RE 62011,Elsterwerda (ab 07:29),4
09:10,09:10,RB 18506,Berlin Hbf (ab 09:07),1
09:11,09:11,RE 3148,Rathenow (ab 08:05),2
09:14,09:14,RE 3306,Luckenwalde (ab 08:35),3
09:16,09:16,RB 62057,Wustermark (ab 08:39),1
09:34,09:34,RE 3345,Schwedt(Oder) (ab 08:04),1
09:45,09:45,RE 62008,Elstal (ab 09:07),1
09:47,09:47,RE 3171,Jüterbog (ab 09:02),3
10:09,10:09,RE 3168,Stendal Hbf (ab 08:47),2
10:10,10:10,RB 18508,Berlin Hbf (ab 10:07),1
10:11,10:11,RE 62013,Baruth(Mark) (ab 09:20),4
10:15,10:15,RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),3
10:39,10:39,RE 4356,Berlin Südkreuz (ab 10:34),3
10:42,10:42,RE 3305,Stralsund Hbf (ab 07:10),2
10:46,10:46,RE 3151,Falkenberg(Elster) (ab 09:18),3
10:47,10:47,RE 62010,Elstal (ab 10:05),1
11:09,11:09,RE 62015,Elsterwerda (ab 09:29),4
11:10,11:10,RB 18510,Berlin Hbf (ab 11:07),1
11:11,11:11,RE 3150,Rathenow (ab 10:02),2
11:14,11:14,RE 3308,Luckenwalde (ab 10:35),3
11:16 (+1),11:17,RE 4357,Rostock Hbf (ab 08:33),2
11:34,11:34,RE 3347,Schwedt(Oder) (ab 10:04),1
11:39,11:39,RE 3510,Berlin Südkreuz (ab 11:34),3
11:45,11:45,RE 62012,Elstal (ab 11:07),1
11:49,11:49,RE 3173,Jüterbog (ab 11:02),3
12:10,12:10,RB 18512,Berlin Hbf (ab 12:07),1
12:11,12:11,RE 62017,Baruth(Mark) (ab 11:21),4
12:15,12:15,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),3
12:16,12:16,RE 3509,Stralsund Hbf (ab 09:02),2
12:39,12:39,RE 4358,Berlin Südkreuz (ab 12:34),3
12:42,12:42,RE 3307,Stralsund Hbf (ab 09:10),2
12:47,12:47,RE 62014,Elstal (ab 12:05),1
12:49,12:49,RB 18515,Lübbenau(Spreewald) (ab 11:44),4
13:04,13:04,RB 21874,Flughafen BER (ab 12:46),4
13:09 (+1),13:10,RE 62019,Elsterwerda (ab 11:29),4
13:10,13:10,RB 18514,Berlin Hbf (ab 13:07),1
13:11 (+1),13:12,RE 3152,Rathenow (ab 12:02),2
13:14 (+3),13:17,RE 3310,Luckenwalde (ab 12:35),3
13:16,13:16,RB 62065,Wustermark (ab 12:39),1
13:16 (+1),13:17,RE 4359,Rostock Hbf (ab 10:25),2
