Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
05:45,RE 62054,Elsterwerda (an 07:46),Berlin Potsdamer Platz
06:16,RE 3503,Buchs SG (an 22:15),Berlin Potsdamer Platz
06:50,RB 18503,Berlin Südkreuz (an 06:54),Berlin Potsdamer Platz
06:50,RE 3147,Stendal Hbf (an 08:20),Berlin Potsdamer Platz
07:06,RB 18504,Nauen (an 07:51),Berlin Potsdamer Platz
07:13,RE 3331,Berlin Südkreuz (an 07:17),Berlin Potsdamer Platz
07:45,RE 62058,Elsterwerda (an 09:39),Berlin Potsdamer Platz
07:50,RE 3169,Rathenow (an 08:56),Berlin Potsdamer Platz
07:51,RB 18505,Berlin Südkreuz (an 07:55),Berlin Potsdamer Platz
08:07,RB 18506,Nauen (an 08:51),Berlin Potsdamer Platz
08:20,RE 3505,Buchs SG (an 23:15),Berlin Potsdamer Platz
08:41,RE 4354,Rostock Hbf (an 11:23),Berlin Potsdamer Platz
08:50,RE 3149,Stendal Hbf (an 10:20),Berlin Potsdamer Platz
08:51,RB 18507,Berlin Südkreuz (an 08:55),Berlin Potsdamer Platz
09:45,RE 62062,Elsterwerda (an 11:39),Berlin Potsdamer Platz
10:07,RB 18510,Nauen (an 10:51),Berlin Potsdamer Platz
10:07,RE 62061,Berlin Hbf (an 10:09),Berlin Potsdamer Platz
11:36,RE 3307,Luckenwalde (an 12:18),Berlin Potsdamer Platz
11:45,RE 62066,Elsterwerda (an 13:39),Berlin Potsdamer Platz
13:07,RB 18516,Nauen (an 13:51),Berlin Potsdamer Platz
13:19,RE 4359,Berlin Südkreuz (an 13:23),Berlin Potsdamer Platz
13:45,RE 62070,Elsterwerda (an 15:39),Berlin Potsdamer Platz
14:50,RE 3155,Stendal Hbf (an 16:20),Berlin Potsdamer Platz
15:06,RB 18520,Nauen (an 15:51),Berlin Potsdamer Platz
15:42,RE 3514,Stralsund Rügendamm (an 18:52),Berlin Potsdamer Platz
15:45,RE 62074,Elsterwerda (an 17:39),Berlin Potsdamer Platz
16:07,RE 62073,Berlin Hbf (an 16:11),Berlin Potsdamer Platz
16:41,RE 4362,Rostock Hbf (an 19:23),Berlin Potsdamer Platz
17:07,RB 18524,Nauen (an 17:51),Berlin Potsdamer Platz
17:45,RE 62078,Elsterwerda (an 19:39),Berlin Potsdamer Platz
19:34,S,Berlin Hbf (S-Bahn) (an 21:18),Berlin Potsdamer Platz (S)
19:38,RE 3315,Ludwigsfelde (an 20:06),Berlin Potsdamer Platz
19:45,RE 62082,Elsterwerda (an 21:39),Berlin Potsdamer Platz
21:36,RE 3317,Jüterbog (an 22:27),Berlin Potsdamer Platz
21:45,RE 62086,Elsterwerda (an 23:39),Berlin Potsdamer Platz
