Ankunft,Zugnr.,von (Abfahrt),Gleis
00:00 (+10),ICE 1000,München Hbf (ab 19:18),8
00:05,RB 62086,Baruth(Mark) (ab 23:19),8
00:08,RE 3359,Schwedt(Oder) (ab 22:11),4
00:10,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),7
00:13,FEX,Berlin Ostkreuz (ab 04:28),
00:13,RB 21964,Flughafen BER (ab 00:01),
00:22 (+72),ICE 592,München Hbf (ab 16:45),6
00:29,RB 21966,Flughafen BER (ab 00:16),8
00:42,ICE 700,München Hbf (ab 19:09),6
00:47 (+93),ICE 1500,München Hbf (ab 20:21),7
00:47 (+93),ICE 2920,München Hbf (ab 20:21),7
00:47,RE 3,Stralsund Hbf (ab 00:10),
00:47,RE 3363,Berlin Hbf (ab 00:40),4
00:53,RB 56816,Schwerin Hbf (ab 22:14),
00:53,RE 56816,Oranienburg (ab 00:15),
00:59,RB 21967,Berlin Hbf (ab 00:52),3
04:53,RE 3369,Eberswalde Hbf (ab 04:03),5
04:53 (+2),RE 62040,Wustermark (ab 04:16),3
04:58,RE 21810,Flughafen BER (ab 04:46),8
05:04,RE 62003,Baruth(Mark) (ab 04:19),8
05:08,RE 3302,Jüterbog (ab 04:22),6
05:13,RE 21812,Flughafen BER (ab 05:01),8
05:15 (+1),RE 3144,Rathenow (ab 04:09),4
05:21,RB 10,Berlin Hbf (ab 03:03),
05:23,RE 4351,Neustrelitz Hbf (ab 03:49),4
05:24 (+1),RB 62050,Wünsdorf-Waldstadt (ab 04:50),7
05:29,RB 21814,Flughafen BER (ab 05:16),8
05:32,ICE 593,Berlin Gesundbrunnen (ab 05:16),5
05:39,RE 3341,Schwedt(Oder) (ab 04:04),4
05:39,RE 91801,Eberswalde Hbf (ab 04:49),
05:40,ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42 (+2),RE 3167,Jüterbog (ab 05:02),7
05:49 (+1),RE 62000,Elstal (ab 05:07),3
05:56,ICE 701,Berlin Hbf (ab 05:52),5
06:00 (+25),ICE 1541,Köln Hbf (ab 23:27),4
06:05,RE 62005,Elsterwerda (ab 04:29),8
06:06,RB 18500,Berlin Hbf (ab 05:58),3
06:09 (+1),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:13 (+5),RE 3164,Stendal Hbf (ab 04:48),5
06:21,RB 62051,Wustermark (ab 05:39),3
06:23,RE 3503,Neubrandenburg (ab 04:27),4
06:24,ICE 904,München Hbf (ab 23:12),6
06:33 (+1),ICE 503,Berlin Gesundbrunnen (ab 06:16),5
06:36 (+1),RB 62052,Rangsdorf (ab 06:21),8
06:40 (+1),ICE 1003,Berlin Hbf (ab 06:36),5
06:41 (+2),RE 3147,Falkenberg(Elster) (ab 05:14),6
06:43 (+1),RB 18503,Cottbus Hbf (ab 05:23),8
06:43 (+1),RE 18503,Cottbus Hbf (ab 05:23),8
06:47,RE 3301,Pasewalk (ab 04:44),4
06:51,RE 62002,Elstal (ab 06:07),3
06:58,RE 21826,Flughafen BER (ab 06:46),8
07:04,RE 62007,Elsterwerda (ab 05:29),8
07:08 (+1),RB 18502,Berlin Hbf (ab 07:00),3
07:08,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),6
07:13,RE 21828,Flughafen BER (ab 07:01),8
07:15,RE 3146,Stendal Hbf (ab 05:48),4
07:21,RB 62053,Wustermark (ab 06:39),3
07:22,ICE 606,Erfurt Hbf (ab 05:25),6
07:23 (+2),RE 4353,Rostock Hbf (ab 04:34),4
07:24 (+7),IC 2274,Dresden Hbf (ab 05:35),7
07:29,RE 21830,Flughafen BER (ab 07:16),8
07:32,ICE 595,Berlin Hbf (ab 07:27),5
07:34 (+7),EN 40476,Budapest-Nyugati (ab 19:30),8
07:34 (+7),NJ 456,Graz Hbf (ab 19:41),8
07:35,RJ 171,Berlin Hbf (ab 07:28),3
07:37 (+1),RB 62054,Rangsdorf (ab 07:23),6
07:39 (+6),RE 3343,Schwedt(Oder) (ab 06:04),4
07:40,ICE 1503,Berlin Gesundbrunnen (ab 07:26),5
07:42,RE 3169,Jüterbog (ab 07:02),6
07:43 (+1),RB 18505,Cottbus Hbf (ab 06:12),8
07:43,RE 18505,Cottbus Hbf (ab 06:12),8
07:49 (+2),RE 62004,Elstal (ab 07:07),3
07:58,ICE 2865,Berlin Gesundbrunnen (ab 07:41),5
07:58,ICE 2911,Berlin Gesundbrunnen (ab 07:41),5
07:58,ICE 698,München Hbf (ab 22:46),6
07:58,ICE 703,Berlin Gesundbrunnen (ab 07:41),5
08:05,RE 62009,Elsterwerda (ab 06:40),8
08:08,RB 18504,Berlin Hbf (ab 08:00),3
08:09 (+1),RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),6
08:13,RE 21836,Flughafen BER (ab 08:01),8
