Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:05,00:05,RB 62086,Baruth(Mark) (ab 23:19),8
00:10,00:10,RE 3366,Teltow (ab 00:00),7
00:13,00:13,FEX,Berlin-Charlottenburg (ab 01:33),
00:13,00:13,RB 21964,Ludwigsfelde (ab 23:32),
00:21,00:21,RE 3,Oberhausen Hbf (ab 00:16),
00:21,00:21,RE 3363,Berlin Hbf (ab 00:14),4
00:22,00:22,ICE 592,München Hbf (ab 16:45),5
00:29 (+7),00:36,ICE 700,München Hbf (ab 19:09),6
00:47,00:47,ICE 1500,München Hbf (ab 20:21),7
00:59,00:59,RB 21967,Eisenach Hbf (ab 11:13),
04:53 (+3),04:56,RE 3369,Eberswalde Hbf (ab 04:03),5
04:53 (+4),04:57,RE 62040,Wustermark (ab 04:16),
05:04,05:04,RE 62003,Baruth(Mark) (ab 04:19),8
05:08,05:08,RE 3302,Jüterbog (ab 04:22),6
05:13,05:13,RE 21812,Flughafen BER (ab 05:01),8
05:15 (+2),05:17,RE 3144,Rathenow (ab 04:09),4
05:23 (+3),05:26,RE 4351,Fürstenberg(Havel) (ab 04:01),4
05:24,05:24,RB 62050,Wünsdorf-Waldstadt (ab 04:50),7
05:29,05:29,RB 21814,Flughafen BER (ab 05:16),8
05:32 (+7),05:39,ICE 2819,Berlin Gesundbrunnen (ab 05:16),5
05:32,05:32,ICE 2843,Berlin Gesundbrunnen (ab 05:16),5
05:32 (+6),05:38,ICE 593,Berlin Gesundbrunnen (ab 05:16),5
05:39 (+4),05:43,RE 3341,Schwedt(Oder) (ab 04:04),4
05:40 (+7),05:47,ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42,05:42,RE 3167,Jüterbog (ab 05:02),7
05:43 (+105),07:28,RB 18501,Cottbus Hbf (ab 04:24),8
05:43 (+93),07:16,RE 18501,Cottbus Hbf (ab 04:24),8
05:49 (+2),05:51,RE 62000,Elstal (ab 05:07),3
05:56 (+2),05:58,ICE 701,Berlin Hbf (ab 05:52),5
05:58,05:58,RE 21818,Flughafen BER (ab 05:46),8
06:05 (+3),06:08,RE 62005,Elsterwerda (ab 04:29),8
06:09 (+1),06:10,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:13,06:13,RE 21820,Flughafen BER (ab 06:01),8
06:13 (+5),06:18,RE 3164,Stendal Hbf (ab 04:48),5
06:14 (+1),06:15,RB 18500,Berlin Hbf (ab 06:07),3
06:21,06:21,RB 62051,Wustermark (ab 05:39),3
06:23,06:23,RE 3503,Fürstenberg(Havel) (ab 05:09),4
06:24,06:24,ICE 904,München Hbf (ab 23:30),6
06:33 (+1),06:34,ICE 503,Berlin Gesundbrunnen (ab 06:16),5
06:36,06:36,RB 62052,Rangsdorf (ab 06:21),8
06:40 (+1),06:41,ICE 1003,Berlin Hbf (ab 06:36),5
06:41 (+1),06:42,RE 3147,Falkenberg(Elster) (ab 05:14),6
06:43 (+9),06:52,RB 18503,Cottbus Hbf (ab 05:23),8
06:43 (+9),06:52,RE 18503,Cottbus Hbf (ab 05:23),8
06:47 (+1),06:48,RE 3301,Pasewalk (ab 04:44),4
