Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:08,RB 62086,Berlin-Spandau (an 00:35),
00:10,RE 3359,Jüterbog (an 01:01),4
00:12,RE 3366,Eberswalde Hbf (an 01:04),7
00:15,FEX,Bruchsal (an 18:05),
00:15,RB 21964,Berlin Hbf (an 00:23),
00:31,RB 21966,Berlin Hbf (an 00:39),
00:35,ICE 276,Berlin Gesundbrunnen (an 00:47),
00:51,RE 3363,Halle(Saale)Hbf (an 03:12),4
01:11 (+321),ICE 1500,Berlin Gesundbrunnen (an 01:26),7
01:53,RE 3362,Berlin Gesundbrunnen (an 03:13),
04:29 (+7),ICE 1706,Hamburg Hbf (an 07:11),7
04:38,RB 62094,Berlin-Spandau (an 04:59),
04:55,RE 62040,Elsterwerda (an 06:29),3
05:00,RB 56801,Schwerin Hbf (an 07:48),7
05:00,RE 21810,Berlin Hbf (an 05:08),8
05:00,RE 56801,Schwerin Hbf (an 07:48),
05:10 (+4),RE 3302,Stralsund Hbf (an 08:45),6
05:17 (+1),RE 3144,Falkenberg(Elster) (an 06:44),4
05:21 (+32),ICE 1272,Berlin Hbf (an 05:27),
05:21 Ausfall,ICE 2926,Berlin Hbf (an 05:27),
05:31,ICE 2816,Hamburg Hbf (an 08:15),
05:31,ICE 608,Hamburg Hbf (an 08:15),6
05:34 (+1),RE 3504,Stralsund Hbf (an 08:51),4
05:38,RB 62050,Berlin-Spandau (an 05:59),
05:42 (+5),ICE 1501,München Hbf (an 09:41),5
05:44,RE 3167,Stendal Hbf (an 07:13),7
05:46,RB 18501,Berlin Hbf (an 05:53),8
05:46,RE 18501,Berlin Hbf (an 05:53),8
05:46,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),4
05:50 Ausfall,ICE 240,Amsterdam Centraal (an 11:59),7
05:51,RE 62000,Elsterwerda (an 07:15),3
05:56 (+67),ICE 1541,Berlin Hbf (an 06:01),4
05:58 (+2),ICE 279,Interlaken Ost (an 15:59),
06:00,RE 21818,Berlin Hbf (an 06:08),8
06:07,RE 62005,Elstal (an 06:49),8
06:10,RB 18500,Lübbenau(Spreewald) (an 07:18),3
06:12,RE 3342,Schwedt(Oder) (an 07:55),6
06:15,RE 21820,Berlin Hbf (an 06:23),8
06:15,RE 3164,Jüterbog (an 06:54),5
06:26 (+1),ICE 1604,Berlin Gesundbrunnen (an 10:31),7
06:26 (+1),ICE 1704,Hamburg Hbf (an 09:18),7
06:26 (+1),ICE 1714,Köln Hbf (an 18:25),
06:26 (+186),ICE 904,Berlin Gesundbrunnen (an 06:37),6
06:31,RE 21822,Berlin Hbf (an 06:39),8
06:34,RE 4352,Rostock Hbf (an 09:21),4
06:35 (+1),ICE 2523,Leipzig Hbf (an 07:45),
06:38,RB 62052,Berlin-Spandau (an 06:59),
06:42 (+55),ICE 1003,München Hbf (an 10:45),5
06:43 (+1),RE 3147,Rathenow (an 07:52),6
06:45,RB 18503,Berlin Hbf (an 06:53),8
06:49 (+1),ICE 938,Ostseebad Binz (an 10:33),7
06:49,RE 3,Dresden-Neustadt (an 22:17),
06:49,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),4
06:54,RE 62002,Elsterwerda (an 08:31),3
07:00,RE 21826,Berlin Hbf (an 07:08),
07:06,RE 62007,Elstal (an 07:53),8
07:10,RB 18502,Lübbenau(Spreewald) (an 08:15),3
07:10 (+2),RE 3304,Stralsund Hbf (an 10:44),6
07:13 (+1),ICE 595,München Hbf (an 15:14),5
07:15,RE 21828,Berlin Hbf (an 07:23),
07:17,RE 3146,Falkenberg(Elster) (an 08:44),4
07:24 (+1),ICE 606,Hamburg-Altona (an 10:24),6
07:26,IC 2274,Rostock Hbf (an 09:37),
07:31,RE 21830,Berlin Hbf (an 07:39),
07:34 (+1),RE 3506,Stralsund Hbf (an 10:51),4
07:36 (+105),EN 40476,Berlin Hbf (an 07:41),8
07:36 (+105),NJ 456,Berlin Hbf (an 07:41),8
07:37 (+1),RJ 171,Praha hl.n. (an 11:25),3
07:39,RB 62054,Berlin-Spandau (an 07:59),
07:42 (+3),ICE 1503,München Hbf (an 11:43),5
07:44,RE 3169,Stendal Hbf (an 09:30),6
07:45,RB 18505,Berlin Hbf (an 07:53),8
07:46,RE 3343,Luckenwalde (an 08:27),4
07:50 Ausfall,ICE 148,Amsterdam Centraal (an 14:01),7
07:51,RE 62004,Elsterwerda (an 09:14),3
07:54,DRF 1322,Köln Hbf (an 13:41),7
07:54 (+1),FLX 1322,Köln Hbf (an 13:41),8
08:00 (+1),ICE 371,Basel SBB (an 15:48),
08:00,RB 21834,Berlin Hbf (an 08:09),
08:07,RE 62009,Elstal (an 08:49),8
08:10,RB 18504,Lübbenau(Spreewald) (an 09:15),3
08:12 (+2),RE 3344,Schwedt(Oder) (an 09:55),6
08:15,RE 21836,Berlin Hbf (an 08:23),
08:15,RE 3166,Jüterbog (an 08:54),5
08:31 (+8),FLX 1337,Basel Bad Bf (an 17:11),5
08:31,RE 21838,Berlin Hbf (an 08:39),8
08:34,RE 4354,Rostock Hbf (an 11:21),4
08:35 (+56),ICE 2525,Leipzig Hbf (an 09:46),
08:36,IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),3
08:38,RB 62056,Wustermark (an 09:18),8
08:42 (+16),ICE 1005,München Hbf (an 12:46),5
08:42 (+16),ICE 2863,München Hbf (an 12:46),5
08:43,RE 3149,Rathenow (an 09:54),6
08:45 (+3),RB 18507,Berlin Hbf (an 08:53),8
08:45,RE 18507,Berlin Hbf (an 08:53),8
08:49,ICE 936,Ostseebad Binz (an 12:29),6
08:49,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),4
08:54,RE 62006,Elsterwerda (an 10:31),3
09:00,RB 21842,Berlin Hbf (an 09:08),
09:06 (+4),RE 62011,Elstal (an 09:55),8
09:10 (+1),RB 18506,Lübbenau(Spreewald) (an 10:15),3
09:10 (+1),RE 3306,Stralsund Hbf (an 12:44),6
09:13,ICE 597,München Hbf (an 17:16),5
09:15,RE 21844,Berlin Hbf (an 09:23),8
09:17,ICE 1104,Berlin Gesundbrunnen (an 09:31),7
09:17 (+4),RE 3148,Falkenberg(Elster) (an 10:44),4
09:24 (+1),ICE 2534,Hamburg-Altona (an 12:26),
09:26 (+6),IC 2272,Rostock Hbf (an 11:37),7
09:31,RE 21846,Berlin Hbf (an 09:39),8
09:34,RE 3508,Stralsund Hbf (an 12:51),4
09:37 (+15),RJ 173,Praha hl.n. (an 13:25),3
09:38,RB 62058,Berlin-Spandau (an 09:59),
09:42 (+2),ICE 1505,München Hbf (an 13:43),5
09:44,RE 3171,Stendal Hbf (an 11:30),6
09:45,RB 18509,Berlin Hbf (an 09:53),8
09:45,RE 18509,Berlin Hbf (an 09:53),8
09:46,RE 3345,Luckenwalde (an 10:27),4
09:51,RE 62008,Baruth(Mark) (an 10:36),3
09:55 (+4),FLX 1234,Hamburg Hbf (an 12:34),6
10:00 (+2),ICE 373,Chur (an 20:22),
10:00 (+3),ICE 804,Berlin Hbf (an 10:05),6
10:00,RB 21850,Berlin Hbf (an 10:08),8
10:07,RE 62013,Elstal (an 10:49),8
10:10,RB 18508,Lübbenau(Spreewald) (an 11:15),3
10:12 (+2),RE 3346,Schwedt(Oder) (an 11:55),6
10:15 (+4),RE 3168,Jüterbog (an 10:54),5
10:16,RB 21852,Berlin Hbf (an 10:24),8
10:31,RB 21854,Berlin Hbf (an 10:39),8
10:31,RB 21857,Flughafen BER (an 10:45),3
10:34 (+1),RE 4356,Rostock Hbf (an 13:21),5
10:35 (+2),ICE 2527,Leipzig Hbf (an 11:45),
10:36,IC 2175,Dresden Hbf (an 12:28),3
10:38,RB 62060,Berlin-Spandau (an 10:59),
10:42 (+12),ICE 1007,München Hbf (an 14:45),5
10:43 (+1),RE 3151,Rathenow (an 11:54),6
10:45 (+7),RB 18511,Berlin Hbf (an 10:53),8
10:45,RE 18511,Berlin Hbf (an 10:53),8
10:48,ICE 696,Berlin Hbf (an 10:54),7
10:49,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),4
10:54,RE 62010,Elsterwerda (an 12:31),3
11:00,RB 21858,Berlin Hbf (an 11:08),8
11:01,RB 21861,Flughafen BER (an 11:14),3
11:06 (+3),RE 62015,Elstal (an 11:53),8
11:10,RB 18510,Lübbenau(Spreewald) (an 12:15),3
11:10 (+4),RE 3308,Stralsund Hbf (an 14:44),6
11:13 (+5),ICE 599,München Hbf (an 19:12),5
11:15,RB 21860,Berlin Hbf (an 11:23),
11:17,ICE 1102,Berlin Gesundbrunnen (an 11:31),7
11:17,RE 3150,Falkenberg(Elster) (an 12:44),4
11:24 (+35),ICE 2532,Hamburg-Altona (an 14:24),
11:26 (+6),IC 2270,Rostock Hbf (an 13:37),7
11:31,RB 21862,Berlin Hbf (an 11:39),
11:34 (+1),RE 3510,Stralsund Hbf (an 14:51),4
11:37,RJ 175,Sturovo (an 21:24),3
11:39,RB 62062,Berlin-Spandau (an 11:59),
11:41,ICE 1162,Berlin Gesundbrunnen (an 11:56),7
11:42 (+2),ICE 1507,München Hbf (an 15:43),5
11:45 (+2),RB 18513,Berlin Hbf (an 11:53),
11:45,RE 18513,Berlin Hbf (an 11:53),8
11:45,RE 3173,Stendal Hbf (an 13:30),6
11:46,RE 3347,Luckenwalde (an 12:27),4
11:51 Ausfall,ICE 144,Amsterdam Centraal (an 18:00),7
11:51,RE 62012,Baruth(Mark) (an 12:36),3
11:57,DRF 1324,Köln Hbf (an 17:43),7
11:57 (+2),FLX 1324,Köln Hbf (an 17:43),7
11:58 (+21),ICE 2555,Basel SBB (an 19:48),
12:00 Ausfall,ICE 378,Berlin Hbf (an 12:06),
12:02,RB 21866,Berlin Hbf (an 12:09),
12:04 (+3),FLX 1239,Stuttgart Hbf (an 18:24),5
12:07,RE 62017,Elstal (an 12:49),8
12:10,RB 18512,Lübbenau(Spreewald) (an 13:15),
12:12 (+1),RE 3348,Schwedt(Oder) (an 13:55),6
12:15,RB 21868,Berlin Hbf (an 12:23),
12:17,ICE 1602,Berlin Gesundbrunnen (an 12:31),6
12:31,RB 21870,Berlin Hbf (an 12:39),
12:34,RE 4358,Rostock Hbf (an 15:21),
12:35 (+30),ICE 2529,Leipzig Hbf (an 13:45),
12:36,IC 2177,Dresden Hbf (an 14:28),3
12:38,RB 62064,Berlin-Spandau (an 12:59),
12:42 (+3),ICE 1009,München Hbf (an 16:45),5
12:43,RE 3153,Berlin-Spandau (an 13:04),6
12:45 (+3),RB 18515,Berlin Hbf (an 12:53),8
12:45,RE 18515,Berlin Hbf (an 12:53),8
12:48 (+22),ICE 694,Berlin Hbf (an 12:54),6
12:49,RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),4
12:54,RE 62014,Elsterwerda (an 14:31),3
12:58,FLX 1341,Basel Bad Bf (an 21:09),4
13:00,RB 21874,Berlin Hbf (an 13:08),
13:06,RE 62019,Elstal (an 14:00),8
13:10,RB 18514,Lübbenau(Spreewald) (an 14:15),3
13:10 (+3),RE 3310,Stralsund Hbf (an 16:44),6
13:13 (+16),ICE 2913,München Hbf (an 21:15),5
13:13 (+15),ICE 691,München Hbf (an 21:15),5
13:15,RB 21876,Berlin Hbf (an 13:23),
13:17,ICE 1100,Berlin Gesundbrunnen (an 13:31),7
13:24 (+1),ICE 2530,Hamburg-Altona (an 16:23),
13:26,IC 2178,Rostock Hbf (an 15:35),7
13:31,RB 21878,Berlin Hbf (an 13:39),
13:34 (+1),RE 3512,Stralsund Hbf (an 16:51),4
13:38,RB 62066,Wustermark (an 14:18),6
13:40 (+2),RJ 383,Praha hl.n. (an 17:25),3
13:42 (+5),ICE 1509,München Hbf (an 17:43),5
13:44,RE 3175,Stendal Hbf (an 15:30),6
13:45 (+1),RB 18517,Berlin Hbf (an 13:53),8
13:45,RE 18517,Berlin Hbf (an 13:53),8
13:46 (+4),RE 3349,Luckenwalde (an 14:27),4
13:51 Ausfall,ICE 142,Amsterdam Centraal (an 20:01),7
13:51 (+2),RE 62016,Baruth(Mark) (an 14:36),3
13:55 (+260),FLX 1238,Hamburg Hbf (an 16:34),7
14:00 (+2),ICE 2556,Berlin Hbf (an 14:05),
14:00 (+2),ICE 377,Freiburg(Breisgau) Hbf (an 21:01),
14:00,RB 21882,Berlin Hbf (an 14:08),
14:07,RE 62021,Elstal (an 14:49),8
14:12 (+1),RE 3350,Schwedt(Oder) (an 15:55),6
14:15,RB 21884,Berlin Hbf (an 14:22),
14:15,RE 3172,Jüterbog (an 14:54),5
14:17 (+13),ICE 1600,Berlin Gesundbrunnen (an 14:31),7
14:17 (+13),ICE 2928,Berlin Gesundbrunnen (an 14:31),7
14:31,RB 21886,Berlin Hbf (an 14:39),
14:34 (+1),RE 4360,Rostock Hbf (an 17:21),4
14:35 (+7),ICE 2531,Leipzig Hbf (an 15:45),
14:36 (+2),IC 2179,Dresden Hbf (an 16:28),3
14:38,RB 62068,Berlin-Spandau (an 14:59),
14:42 (+7),ICE 1101,München Hbf (an 18:43),5
14:43,RE 3155,Berlin-Spandau (an 15:04),6
14:45,RB 18519,Berlin Hbf (an 14:53),8
14:45,RE 18519,Berlin Hbf (an 14:53),8
14:48 (+24),ICE 692,Berlin Hbf (an 14:54),6
14:49 (+10),RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),4
14:51 (+3),RB 62018,Elsterwerda (an 16:28),3
14:51,RE 62018,Elsterwerda (an 16:28),3
15:00,RB 21890,Berlin Hbf (an 15:08),
15:06 (+22),RE 62023,Elstal (an 15:55),8
15:10,RB 18518,Lübbenau(Spreewald) (an 16:15),
15:10,RE 3312,Stralsund Hbf (an 18:44),6
15:13,ICE 693,München Hbf (an 23:15),5
15:15,RB 21892,Berlin Hbf (an 15:23),
15:17 (+18),ICE 1008,Berlin Gesundbrunnen (an 15:31),7
15:24 (+26),ICE 2528,Hamburg-Altona (an 18:23),
15:26 (+3),IC 2176,Rostock Hbf (an 17:37),7
15:31,RE 21894,Berlin Hbf (an 15:39),8
15:34 (+1),RE 3514,Stralsund Hbf (an 18:51),4
15:37 (+43),RJ 177,Wien Hbf (an 23:49),3
15:38,RB 62070,Berlin-Spandau (an 15:59),
15:42 (+1),ICE 1601,München Hbf (an 19:43),5
15:44 (+13),RE 3177,Stendal Hbf (an 17:30),6
15:45,RB 18521,Berlin Hbf (an 15:53),
15:45,RE 18521,Berlin Hbf (an 15:53),8
15:51,RE 62020,Baruth(Mark) (an 16:36),3
16:00 (+1),ICE 374,Berlin Gesundbrunnen (an 16:13),
16:00,RB 21898,Berlin Hbf (an 16:08),
16:04 (+35),FLX 1243,Stuttgart Hbf (an 22:31),5
16:07,RE 62025,Elstal (an 16:49),8
16:10,RB 18520,Lübbenau(Spreewald) (an 17:15),3
16:12 (+7),RE 3352,Schwedt(Oder) (an 17:55),6
16:15,RB 21900,Berlin Hbf (an 16:23),
16:17 (+3),ICE 1508,Berlin Gesundbrunnen (an 16:31),7
16:20,ICE 1163,Stuttgart Hbf (an 20:57),4
16:31,RB 21902,Berlin Hbf (an 16:39),
16:34 (+9),RE 4362,Rostock Hbf (an 19:21),4
16:35 (+9),ICE 2533,Leipzig Hbf (an 17:45),
16:36 (+3),IC 2271,Dresden Hbf (an 18:28),3
16:38,RB 62072,Berlin-Spandau (an 16:59),
16:42 (+7),ICE 1103,München Hbf (an 20:46),5
16:42 (+7),ICE 2865,München Hbf (an 20:46),5
16:43,RE 3157,Berlin-Spandau (an 17:04),6
16:46,RB 18523,Berlin Hbf (an 16:54),
16:46,RE 18523,Berlin Hbf (an 16:54),8
16:48,ICE 2916,Berlin Hbf (an 16:54),6
16:48,ICE 690,Berlin Hbf (an 16:54),6
16:49,RE 3311,Lutherstadt Wittenberg Hbf (an 18:07),4
16:54,RE 62022,Elsterwerda (an 18:31),3
17:00,RB 21906,Berlin Hbf (an 17:08),
17:06,RE 62027,Elstal (an 17:47),8
17:10,RB 18522,Cottbus Hbf (an 18:48),3
17:10 (+4),RE 3314,Stralsund Hbf (an 20:44),6
17:13 (+2),ICE 695,Stuttgart Hbf (an 23:11),5
17:15,RB 21908,Berlin Hbf (an 17:23),
17:17 (+32),ICE 1006,Berlin Gesundbrunnen (an 17:31),7
17:17 (+39),ICE 2922,Berlin Gesundbrunnen (an 17:31),7
17:24 (+1),ICE 2526,Hamburg Hbf (an 20:23),
17:26 (+1),IC 2174,Rostock Hbf (an 19:37),7
17:31,RB 21910,Berlin Hbf (an 17:39),
17:36,RE 3516,Stralsund Hbf (an 20:51),4
17:37,RJ 385,Praha hl.n. (an 21:25),3
17:38,RB 62074,Berlin-Spandau (an 17:59),
17:42 (+4),ICE 1603,München Hbf (an 21:43),5
17:45,RB 18525,Berlin Hbf (an 17:53),8
17:45,RE 18525,Berlin Hbf (an 17:53),8
17:45,RE 26117,Stendal Hbf (an 19:30),
