Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:08 (+55),01:03,ICE 947,Düsseldorf Hbf (ab 18:51),5
00:08 (+55),01:03,ICE 957,Köln Hbf (ab 18:53),5
00:21,00:21,RE 62038,Wismar (ab 21:21),5
01:03,01:03,RE 3165,Berlin Hbf (ab 00:53),
01:36,01:36,RB 62087,Nauen (ab 01:13),
02:08,02:08,RE 62088,Berlin Hbf (ab 01:57),
02:34,02:34,RB 62089,Nauen (ab 02:11),
04:08,04:08,RB 10,Wiesbaden Hbf (ab 19:02),
04:08,04:08,RE 62092,Berlin Hbf (ab 03:57),
04:27,04:27,RE 62040,Nauen (ab 04:03),
04:31,04:31,RE 62001,Berlin Hbf (ab 04:21),
04:38,04:38,ICE 646,Berlin Südkreuz (ab 04:18),4
05:10 (+5),05:15,ICE 240,Berlin Südkreuz (ab 04:47),4
05:20,05:20,RE 62000,Wittenberge (ab 04:02),
05:28,05:28,RB 18243,Berlin Gesundbrunnen (ab 05:14),
05:35,05:35,RB 18601,Nauen (ab 05:11),
05:35,05:35,RE 62003,Berlin Hbf (ab 05:25),4
05:35,05:35,RE 8,Berga-Kelbra (ab 15:05),
05:42 (+1),05:43,RE 3601,Neuruppin West (ab 04:26),
05:45 (+4),05:49,ICE 946,Berlin Südkreuz (ab 05:26),4
05:45 (+4),05:49,ICE 956,Berlin Südkreuz (ab 05:26),4
05:52,05:52,RE 3164,Stendal Hbf (ab 04:48),6
05:52,05:52,RE 4,Stendal Hbf (ab 04:48),
06:04,06:04,RE 3167,Jüterbog (ab 05:02),4
06:20 (+3),06:23,RE 62002,Wittenberge (ab 05:05),
06:35,06:35,RB 18603,Nauen (ab 06:11),
06:35,06:35,RE 62005,Berlin Südkreuz (ab 06:07),
06:39 (+5),06:44,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),6
06:39,06:39,ICE 2910,Frankfurt(M) Flughafen Fernbf (ab 00:04),
06:43,06:43,ICE 2557,Berlin Südkreuz (ab 06:20),4
06:43,06:43,RE 3603,Wittstock(Dosse) (ab 04:50),
06:52,06:52,RE 3146,Rathenow (ab 06:09),6
06:52,06:52,RE 62154,Rathenow (ab 06:09),
07:04 (+2),07:06,RE 3147,Falkenberg(Elster) (ab 05:14),
07:10,07:10,RE 3608,Berlin-Charlottenburg (ab 07:03),3
07:12 (+1),07:13,ICE 148,Berlin Südkreuz (ab 06:54),3
07:20 (+1),07:21,RE 62004,Schwerin Hbf (ab 04:56),5
07:27,07:27,RB 18244,Wustermark (ab 07:09),
07:31,07:31,RE 62007,Elsterwerda (ab 05:29),
07:34,07:34,ICE 795,Berlin-Charlottenburg (ab 07:26),
07:35,07:35,RB 18605,Nauen (ab 07:11),
07:42 (+8),07:50,FLX 1320,Dresden Hbf (ab 05:29),4
07:42 (+1),07:43,RE 3607,Wittstock(Dosse) (ab 05:56),
07:52 (+4),07:56,RE 3166,Stendal Hbf (ab 06:47),6
07:57 (+3),08:00,ICE 944,Berlin Hbf (ab 07:47),4
07:57 (+3),08:00,ICE 954,Berlin Hbf (ab 07:47),4
08:04 (+1),08:05,RE 3169,Jüterbog (ab 07:02),4
08:10 (+2),08:12,ICE 1911,Berlin Südkreuz (ab 07:49),4
08:20,08:20,RE 62006,Wittenberge (ab 07:05),
08:29 (+23),08:52,FLX 1332,Berlin Südkreuz (ab 07:57),3
08:35,08:35,RB 18607,Nauen (ab 08:11),
08:35 (+1),08:36,RE 62009,Berlin Südkreuz (ab 08:07),3
08:43 (+1),08:44,ICE 2559,Berlin Hbf (ab 08:31),4
08:43,08:43,RE 3609,Neuruppin West (ab 07:27),
08:52,08:52,RE 3148,Rathenow (ab 08:05),6
08:54,08:54,RE 3109,Cottbus Hbf (ab 07:04),3
09:04,09:04,RE 3110,Nauen (ab 08:39),
09:04 (+21),09:25,RE 3149,Falkenberg(Elster) (ab 07:18),4
09:12 Ausfall,--:--,ICE 146,Berlin Hbf (ab 09:04),
09:20,09:20,RE 62008,Wismar (ab 06:21),
09:24 (+44),10:08,FLX 1237,Hamburg-Bergedorf (ab 07:49),6
09:27,09:27,RB 18248,Wustermark (ab 09:09),
09:31 (+7),09:38,ICE 741,Münster(Westf)Hbf (ab 05:03),
09:31 (+4),09:35,RE 62011,Elsterwerda (ab 07:29),
09:34 (+1),09:35,ICE 797,Berlin Gesundbrunnen (ab 09:18),4
09:35,09:35,RB 18609,Nauen (ab 09:10),
09:42 (+1),09:43,RE 3611,Wittenberge (ab 07:05),
09:52,09:52,RE 3168,Stendal Hbf (ab 08:47),6
09:54,09:54,RE 3111,Cottbus Hbf (ab 08:04),
09:57 (+38),10:35,ICE 843,Köln Hbf (ab 04:11),
09:57 (+38),10:35,ICE 853,Köln Hbf (ab 04:51),
09:58 (+3),10:01,ICE 942,Berlin Hbf (ab 09:47),4
09:58 (+3),10:01,ICE 952,Berlin Hbf (ab 09:47),4
10:04 (+1),10:05,RE 3112,Nauen (ab 09:39),5
10:04 (+2),10:06,RE 3171,Jüterbog (ab 09:02),4
10:13,10:13,RE 3614,Berlin-Charlottenburg (ab 10:02),3
10:20 (+4),10:24,RE 62010,Wittenberge (ab 09:05),
10:22 (+9),10:31,ICE 996,Kassel-Wilhelmshöhe (ab 07:49),6
10:27,10:27,RB 18250,Wustermark (ab 10:09),
10:29 (+5),10:34,FLX 1234,Leipzig Hbf (ab 08:45),3
10:35,10:35,RB 18611,Nauen (ab 10:11),
10:35 (+7),10:42,RE 62013,Berlin Südkreuz (ab 10:07),3
10:43,10:43,RE 3613,Neuruppin West (ab 09:25),
10:43,10:43,RE 6,Bochum Hbf (ab 00:19),
10:45 (+7),10:52,ICE 2523,Berlin Hbf (ab 10:37),4
10:52 (+9),11:01,RE 3150,Rathenow (ab 10:02),6
10:54,10:54,RE 3113,Cottbus Hbf (ab 09:03),
11:04,11:04,RE 3114,Nauen (ab 10:39),5
11:04,11:04,RE 3151,Falkenberg(Elster) (ab 09:18),4
