Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:19 (+1),00:20,ICE 947,Stendal Hbf (an 23:33),6
00:23,00:23,RE 60912,Berlin Ostbahnhof (an 00:41),
00:23,00:23,RE 62038,Berlin Hbf (an 00:36),
01:14 (+4),01:18,ICE 1707,Berlin Ostbahnhof (an 01:40),
02:36,02:36,RB 62089,Berlin Hbf (an 02:47),
04:24 (+2),04:26,ICE 646,Köln Hbf (an 09:33),4
04:35 (+5),04:40,RE 62040,Elsterwerda (an 06:29),5
04:35,04:35,RE 62048,Elsterwerda (an 06:29),
04:48,04:48,ICE 1706,Hamburg Hbf (an 07:11),4
04:54,04:54,RE 3144,Berlin Südkreuz (an 05:15),6
05:06,05:06,RE 3145,Stendal Hbf (an 06:13),4
05:07,05:07,RE 2,Duisburg Hbf (an 23:33),
05:07,05:07,RE 3102,Cottbus Hbf (an 06:56),5
05:22 (+1),05:23,RE 62000,Elsterwerda (an 07:15),5
05:28 (+2),05:30,RB 18240,Berlin Gesundbrunnen (an 05:40),5
05:28,05:28,RB 21,Weimar (an 19:37),
05:45 (+1),05:46,ICE 946,Köln Hbf (an 10:35),3
05:54,05:54,RE 3164,Berlin Südkreuz (an 06:13),6
05:56,05:56,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:57 (+2),05:59,ICE 608,Hamburg Hbf (an 08:15),4
06:01,06:01,RB 62051,Berlin Südkreuz (an 06:21),6
06:06,06:06,RE 3167,Stendal Hbf (an 07:13),4
06:07,06:07,RE 3104,Cottbus Hbf (an 07:57),6
06:11 (+3),06:14,ICE 240,Amsterdam Centraal (an 11:59),3
06:22,06:22,RE 62002,Elsterwerda (an 08:31),5
06:28,06:28,RB 18242,Berlin Gesundbrunnen (an 06:40),5
06:30 (+29),06:59,ICE 1272,Berlin Ostbahnhof (an 07:02),6
06:37,06:37,RE 62005,Elstal (an 06:49),3
06:48 (+1),06:49,ICE 1604,Berlin Gesundbrunnen (an 10:31),
06:48 (+1),06:49,ICE 1704,Hamburg Hbf (an 09:18),3
06:54,06:54,RE 3146,Berlin Südkreuz (an 07:15),6
06:56,06:56,RE 3105,Hennigsdorf(b Berlin) (an 07:23),3
07:01,07:01,RB 62053,Berlin Südkreuz (an 07:21),6
07:07,07:07,RE 3106,Cottbus Hbf (an 08:56),6
07:17 (+22),07:39,ICE 1605,München Hbf (an 00:12),
07:17 (+22),07:39,ICE 2465,Berlin Hbf (an 07:34),6
07:22 (+1),07:23,RE 62004,Elsterwerda (an 09:14),5
07:30 (+2),07:32,RB 18244,Berlin Gesundbrunnen (an 07:48),5
07:33,07:33,ICE 649,Berlin Ostbahnhof (an 08:03),6
07:41,07:41,RE 62007,Elstal (an 07:53),3
07:46 (+2),07:48,ICE 944,Köln Hbf (an 12:33),4
07:49 (+1),07:50,ICE 606,Hamburg-Altona (an 10:24),4
07:54,07:54,RE 3166,Berlin Südkreuz (an 08:13),6
07:56,07:56,RE 3107,Hennigsdorf(b Berlin) (an 08:23),3
07:59,07:59,ICE 851,Berlin Ostbahnhof (an 08:28),5
08:01,08:01,RB 62055,Berlin Südkreuz (an 08:21),6
08:06,08:06,RE 3169,Stendal Hbf (an 09:30),4
08:07,08:07,RE 3108,Cottbus Hbf (an 09:55),6
08:08 (+1),08:09,ICE 2525,Leipzig Hbf (an 09:46),
08:10,08:10,ICE 148,Amsterdam Centraal (an 14:01),3
08:18,08:18,DRF 1322,Köln Hbf (an 13:41),3
08:18 (+1),08:19,FLX 1322,Köln Hbf (an 13:41),3
08:22,08:22,RE 62006,Elsterwerda (an 10:31),5
08:27,08:27,RB 18246,Berlin Gesundbrunnen (an 08:40),6
08:37 (+2),08:39,RE 62009,Elstal (an 08:49),3
08:42 (+2),08:44,ICE 1702,Hamburg Hbf (an 11:12),3
08:42,08:42,ICE 2462,Hamburg Hbf (an 11:12),3
08:54 (+4),08:58,RE 3148,Berlin Südkreuz (an 09:15),6
08:56,08:56,RE 3109,Hennigsdorf(b Berlin) (an 09:23),3
09:01 (+1),09:02,RB 62057,Berlin Südkreuz (an 09:21),6
09:06 (+48),09:54,ICE 541,Berlin Ostbahnhof (an 09:41),5
09:07 (+1),09:08,RE 3110,Cottbus Hbf (an 10:55),6
09:17,09:17,ICE 1901,Berlin Hbf (an 09:34),6
09:22,09:22,RE 62008,Berlin Südkreuz (an 09:49),5
09:25,09:25,ICE 676,Berlin Ostbahnhof (an 09:51),6
09:28,09:28,RB 18248,Berlin Gesundbrunnen (an 09:40),5
09:43,09:43,RE 62011,Elstal (an 09:55),3
09:46 Ausfall,--:--,ICE 942,Köln Hbf (an 14:32),4
09:47,09:47,ICE 741,Berlin Hbf (an 10:01),6
09:49 (+25),10:14,ICE 2534,Hamburg-Altona (an 12:26),
09:49 (+25),10:14,ICE 2924,Hamburg-Altona (an 12:26),
09:49 (+32),10:21,ICE 2938,Mannheim Hbf (an 23:26),
09:54,09:54,RE 3168,Berlin Südkreuz (an 10:13),6
09:56,09:56,RE 3111,Hennigsdorf(b Berlin) (an 10:23),3
10:00,10:00,RB 62059,Berlin Südkreuz (an 10:22),6
10:05 (+4),10:09,RE 3112,Cottbus Hbf (an 11:55),6
10:06 (+1),10:07,RE 3171,Stendal Hbf (an 11:30),4
10:08 (+2),10:10,ICE 2527,Leipzig Hbf (an 11:45),
10:11 (+5),10:16,ICE 146,Amsterdam Centraal (an 16:00),3
10:19 (+3),10:22,RE 62010,Elsterwerda (an 12:31),6
10:28 (+1),10:29,RB 18250,Berlin Gesundbrunnen (an 10:40),5
10:30,10:30,RB 18253,Werder(Havel) (an 11:17),4
10:37 (+1),10:38,RE 62013,Elstal (an 10:49),3
10:49 (+1),10:50,ICE 1700,Hamburg Hbf (an 13:12),3
10:54 (+1),10:55,RE 3150,Falkenberg(Elster) (an 12:44),6
10:56 (+1),10:57,RE 3113,Hennigsdorf(b Berlin) (an 11:23),3
11:01 (+1),11:02,RB 62061,Berlin Südkreuz (an 11:21),6
11:06 (+1),11:07,ICE 543,Berlin Ostbahnhof (an 11:40),5
11:07 (+1),11:08,RE 3114,Cottbus Hbf (an 12:55),6
11:17 (+3),11:20,ICE 1903,Berlin Hbf (an 11:33),6
11:22,11:22,RE 62012,Baruth(Mark) (an 12:36),5
11:28,11:28,RB 18252,Berlin Gesundbrunnen (an 11:40),5
11:30,11:30,RB 18255,Werder(Havel) (an 12:17),4
11:40,11:40,FLX 1339,Berlin Südkreuz (an 11:59),6
11:43,11:43,RE 62015,Elstal (an 11:53),3
11:45 (+1),11:46,ICE 141,Berlin Ostbahnhof (an 12:13),6
11:49,11:49,ICE 2532,Hamburg-Altona (an 14:24),
11:52 (+10),12:02,ICE 940,Köln Hbf (an 16:33),4
11:54,11:54,RE 3170,Jüterbog (an 12:54),6
11:56 (+7),12:03,RE 3115,Hennigsdorf(b Berlin) (an 12:23),3
12:01,12:01,RB 62063,Berlin Südkreuz (an 12:21),6
12:06 (+5),12:11,RE 3173,Stendal Hbf (an 13:30),4
12:07 (+1),12:08,RE 3116,Cottbus Hbf (an 13:55),6
12:08 (+2),12:10,ICE 2529,Leipzig Hbf (an 13:45),
12:08 (+8),12:16,ICE 2833,Homburg(Saar)Hbf (an 23:04),
12:11 (+1),12:12,ICE 144,Amsterdam Centraal (an 18:00),3
12:21,12:21,DRF 1324,Köln Hbf (an 17:43),3
12:21 (+21),12:42,FLX 1324,Köln Hbf (an 17:43),3
12:21 (+1),12:22,RE 62014,Elsterwerda (an 14:31),5
12:28 (+4),12:32,RB 18254,Berlin Gesundbrunnen (an 12:40),5
12:30,12:30,RB 18257,Werder(Havel) (an 13:17),4
12:37 (+20),12:57,RE 62017,Elstal (an 12:49),3
12:40 (+12),12:52,ICE 1908,Hamburg Hbf (an 15:12),4
12:54,12:54,RE 3152,Falkenberg(Elster) (an 14:44),6
12:56 (+1),12:57,RE 3117,Hennigsdorf(b Berlin) (an 13:23),3
13:01,13:01,RB 62065,Berlin Südkreuz (an 13:21),6
13:06,13:06,RE 3153,Rathenow (an 13:54),4
13:07 (+5),13:12,RE 3118,Cottbus Hbf (an 14:55),6
13:12,13:12,ICE 545,Berlin Ostbahnhof (an 13:40),5
13:17 (+1),13:18,ICE 1905,Berlin Hbf (an 13:34),6
13:22 (+2),13:24,RE 62016,Elsterwerda (an 15:14),5
13:28,13:28,RB 18256,Berlin Gesundbrunnen (an 13:40),5
13:30,13:30,RB 18259,Werder(Havel) (an 14:17),4
13:36,13:36,DRF 1321,Berlin Ostbahnhof (an 14:05),6
13:36,13:36,FLX 1321,Berlin Ostbahnhof (an 14:05),5
13:43 (+5),13:48,ICE 848,Köln Hbf (an 18:33),4
13:43,13:43,RE 62019,Elstal (an 14:00),3
13:48,13:48,ICE 143,Berlin Ostbahnhof (an 14:02),6
13:49 (+4),13:53,ICE 2530,Hamburg-Altona (an 16:23),
13:54,13:54,RE 3172,Jüterbog (an 14:54),6
13:56 (+19),14:15,RE 3119,Hennigsdorf(b Berlin) (an 14:23),3
14:01,14:01,RB 62067,Rangsdorf (an 14:39),6
14:03,14:03,RB 62066,Wustermark (an 14:18),3
14:06,14:06,RE 3175,Schorndorf (an 19:09),4
14:07,14:07,RE 3120,Cottbus Hbf (an 15:55),6
14:08 (+2),14:10,ICE 2531,Leipzig Hbf (an 15:45),
14:11 (+1),14:12,ICE 142,Amsterdam Centraal (an 20:01),3
14:19,14:19,RB 62018,Elsterwerda (an 16:28),5
