Ankunft,Zugnr.,von (Abfahrt),Gleis
00:01,RE 73794,Frankfurt(Oder) (ab 22:32),4
00:07 (+98),ICE 901,Hamburg Hbf (ab 21:44),2
00:19,ICE 947,Köln Hbf (ab 19:27),1
01:15 (+4),RE 73791,Magdeburg Hbf (ab 23:21),2
01:23 (+132),ICE 1707,Hamburg-Altona (ab 22:34),2
01:49 (+14),ICE 274,Basel SBB (ab 18:16),2
04:28,ICE 646,Berlin Ostbahnhof (ab 04:09),4
04:33,ICE 277,Berlin Ostbahnhof (ab 04:15),3
05:08,RE 73753,Brandenburg Hbf (ab 04:17),2
05:20,RE 3707,Berlin Ostbahnhof (ab 05:04),3
05:33,ICE 946,Berlin Ostbahnhof (ab 05:15),3
05:38,RE 3704,Dessau Hbf (ab 04:05),
05:51,RE 73713,Magdeburg Hbf (ab 04:12),
06:07,RE 73718,Eisenhüttenstadt (ab 04:21),4
06:08,RB 73803,Brandenburg Hbf (ab 05:22),
06:18,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:20,RE 3709,Berlin Ostbahnhof (ab 06:04),
06:22 (+33),EC 430,Opalenica (ab 03:43),4
06:29,RE 73755,Brandenburg Hbf (ab 05:44),2
06:29,RE 73760,Frankfurt(Oder) (ab 05:08),4
06:34,ICE 279,Berlin Ostbahnhof (ab 06:15),3
06:38,RE 3706,Dessau Hbf (ab 05:05),
06:42,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),1
06:42,ICE 2810,Frankfurt(Main)Hbf (ab 23:35),1
06:46,RE 73804,Berlin Ostbahnhof (ab 06:30),
06:51 (+1),RE 73715,Magdeburg Hbf (ab 05:01),2
07:07,RE 73720,Frankfurt(Oder) (ab 05:42),
07:08,RE 73805,Magdeburg Hbf (ab 05:31),
07:18,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),
07:20,RE 3711,Berlin Ostbahnhof (ab 07:04),4
07:29,RE 73757,Brandenburg Hbf (ab 06:44),2
07:29,RE 73762,Eisenhüttenstadt (ab 05:36),
08:07,RE 73722,Eisenhüttenstadt (ab 06:20),3
08:11 (+26),ICE 851,Hannover Hbf (ab 06:09),
08:38 (+6),RE 3710,Dessau Hbf (ab 07:05),2
08:51,RE 73719,Magdeburg Hbf (ab 07:12),2
08:57,RB 18148,Berlin Ostbahnhof (ab 08:39),3
09:03 (+1),RB 18147,Golm (ab 08:27),1
