Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:01 (+34),00:35,RE 73794,Berkenbrück (ab 22:53),2
00:19 (+21),00:40,ICE 947,Köln Hbf (ab 19:27),1
00:26,00:26,ICE 276,Brig (ab 13:45),2
00:28,00:28,RE 73826,Frankfurt(Oder) (ab 23:07),
00:56,00:56,RE 3742,Dessau Hbf (ab 23:23),
01:00,01:00,ICE 645,Köln Hbf (ab 18:32),1
01:01,01:01,RE 73796,Frankfurt(Oder) (ab 23:32),
01:18,01:18,RE 73791,Magdeburg Hbf (ab 23:21),1
01:29 (+43),02:12,ICE 901,Hamburg-Altona (ab 21:26),1
01:51 (+1),01:52,ICE 274,Basel SBB (ab 18:16),1
01:56,01:56,RE 73752,Frankfurt(Oder) (ab 00:29),
02:55 (+42),03:37,ICE 1707,Hamburg-Altona (ab 22:34),2
04:20,04:20,RE 3705,Berlin Ostkreuz (ab 03:54),
04:28,04:28,ICE 646,Berlin Ostbahnhof (ab 04:09),4
04:33,04:33,ICE 277,Berlin Ostbahnhof (ab 04:15),3
04:33,04:33,ICE 2871,Berlin Ostbahnhof (ab 04:15),3
04:38,04:38,RE 3702,Bad Belzig (ab 03:41),2
04:40,04:40,RE 3101,Berlin Ostkreuz (ab 04:16),
05:08,05:08,RE 73753,Kirchmöser (ab 04:16),2
05:08,05:08,RJX 569,Brandenburg Hbf (ab 04:17),2
05:18,05:18,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:28 (+40),06:08,ICE 1541,Berlin S Wannsee (ab 05:16),1
05:33,05:33,ICE 946,Berlin Ostbahnhof (ab 05:15),3
05:46,05:46,RE 3103,Cottbus Hbf (ab 04:00),4
06:18,06:18,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:22,06:22,EC 430,Przemysl Glowny (ab 18:49),4
06:29,06:29,RE 73755,Brandenburg Hbf (ab 05:44),2
06:34,06:34,ICE 279,Berlin Ostbahnhof (ab 06:15),3
06:38,06:38,RE 3706,Dessau Hbf (ab 05:05),2
06:42,06:42,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),1
06:51,06:51,RE 73715,Magdeburg Hbf (ab 05:01),2
07:07,07:07,RE 73720,Frankfurt(Oder) (ab 05:42),4
07:08,07:08,RE 73805,Magdeburg Hbf (ab 05:31),2
07:29,07:29,RE 73757,Brandenburg Hbf (ab 06:44),2
07:29,07:29,RE 73762,Eisenhüttenstadt (ab 05:36),4
07:35 (+3),07:38,IC 2432,Cottbus Hbf (ab 06:01),3
07:38 (+2),07:40,RE 3708,Dessau Hbf (ab 06:05),2
07:45,07:45,ICE 649,Hannover Hbf (ab 05:50),2
07:46,07:46,RE 73806,Berlin Ostbahnhof (ab 07:30),3
07:51,07:51,RE 73717,Magdeburg Hbf (ab 06:12),2
07:57,07:57,RB 18146,Berlin Ostbahnhof (ab 07:39),3
08:03,08:03,RB 18145,Potsdam Hbf (ab 07:41),1
08:07,08:07,RE 73722,Eisenhüttenstadt (ab 06:20),3
08:08,08:08,RE 73807,Brandenburg Hbf (ab 07:22),2
08:11,08:11,ICE 851,Hannover Hbf (ab 06:09),1
08:18,08:18,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:22,08:22,IC 2231,Magdeburg Hbf (ab 07:02),2
08:29,08:29,RE 73759,Brandenburg Hbf (ab 07:44),2
08:29,08:29,RE 73764,Eisenhüttenstadt (ab 06:20),4
08:46,08:46,RE 73808,Berlin Ostbahnhof (ab 08:30),
08:51,08:51,RE 73719,Magdeburg Hbf (ab 07:12),2
08:57,08:57,RB 18148,Berlin Ostbahnhof (ab 08:39),
09:03,09:03,RB 18147,Potsdam Hbf (ab 08:41),
09:07,09:07,RE 73724,Frankfurt(Oder) (ab 07:41),3
09:08,09:08,RE 73809,Brandenburg Hbf (ab 08:22),
09:18,09:18,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:29,09:29,RE 73761,Brandenburg Hbf (ab 08:44),2
09:29,09:29,RE 73766,Frankfurt(Oder) (ab 08:11),
09:38,09:38,RE 3712,Dessau Hbf (ab 08:05),1
09:46,09:46,RB 73810,Berlin Ostbahnhof (ab 09:30),
09:51,09:51,RE 73721,Magdeburg Hbf (ab 08:12),2
09:57,09:57,RB 18150,Berlin Ostbahnhof (ab 09:39),
10:03,10:03,RB 18149,Potsdam Hbf (ab 09:41),
10:07,10:07,RE 73726,Frankfurt(Oder) (ab 08:38),
10:08,10:08,RE 73811,Brandenburg Hbf (ab 09:22),
10:18,10:18,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:29,10:29,RE 73763,Brandenburg Hbf (ab 09:44),2
10:29,10:29,RE 73768,Frankfurt(Oder) (ab 09:08),
10:38,10:38,RE 3714,Dessau Hbf (ab 09:05),2
10:51,10:51,RE 73723,Magdeburg Hbf (ab 09:12),2
11:07,11:07,RE 73728,Frankfurt(Oder) (ab 09:38),
11:18,11:18,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:29,11:29,RE 73765,Brandenburg Hbf (ab 10:44),2
11:29,11:29,RE 73770,Frankfurt(Oder) (ab 10:07),4
11:38,11:38,RE 3716,Dessau Hbf (ab 10:05),2
11:51,11:51,RE 73725,Magdeburg Hbf (ab 10:12),2
12:07,12:07,RE 73730,Frankfurt(Oder) (ab 10:38),4
12:18,12:18,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:21,12:21,IC 2035,Hannover Hbf (ab 09:36),2
12:29,12:29,RE 73767,Brandenburg Hbf (ab 11:44),2
12:29,12:29,RE 73772,Frankfurt(Oder) (ab 11:07),4
12:42,12:42,RE 3117,Cottbus Hbf (ab 11:03),4
12:51,12:51,RE 73727,Magdeburg Hbf (ab 11:12),2
13:07,13:07,RE 73732,Frankfurt(Oder) (ab 11:38),4
13:18,13:18,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:29,13:29,RE 73769,Brandenburg Hbf (ab 12:44),2
13:29,13:29,RE 73774,Frankfurt(Oder) (ab 12:07),4
13:43,13:43,RE 3119,Cottbus Hbf (ab 12:03),4
13:51,13:51,RE 73729,Magdeburg Hbf (ab 12:12),2
14:07,14:07,RE 73734,Frankfurt(Oder) (ab 12:38),4
14:18,14:18,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:29,14:29,RE 73771,Brandenburg Hbf (ab 13:44),2
14:29,14:29,RE 73776,Frankfurt(Oder) (ab 13:07),4
14:46,14:46,RE 73812,Berlin Ostkreuz (ab 14:26),3
14:51,14:51,RE 73731,Magdeburg Hbf (ab 13:12),2
14:57,14:57,RB 18160,Berlin Ostbahnhof (ab 14:39),3
15:03,15:03,RB 18159,Potsdam Hbf (ab 14:41),1
15:07,15:07,RE 73736,Frankfurt(Oder) (ab 13:38),3
15:08,15:08,RB 73813,Brandenburg Hbf (ab 14:22),2
15:29,15:29,RE 73773,Brandenburg Hbf (ab 14:44),2
15:30,15:30,RE 73778,Frankfurt(Oder) (ab 14:07),4
15:37 (+8),15:45,IC 2034,Berlin Ostbahnhof (ab 15:19),3
15:46,15:46,RE 73814,Berlin Ostbahnhof (ab 15:30),3
15:51,15:51,RE 73733,Magdeburg Hbf (ab 14:12),2
15:57,15:57,RB 18162,Berlin Ostbahnhof (ab 15:39),3
16:07,16:07,RE 73738,Frankfurt(Oder) (ab 14:38),4
16:08,16:08,RE 73815,Brandenburg Hbf (ab 15:22),2
16:18,16:18,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),1
16:28,16:28,RE 73780,Frankfurt(Oder) (ab 15:07),4
16:29,16:29,RE 73775,Brandenburg Hbf (ab 15:44),2
16:38,16:38,RE 3726,Dessau Hbf (ab 15:05),2
16:46,16:46,RE 73816,Berlin Ostbahnhof (ab 16:30),3
16:51,16:51,RE 73735,Magdeburg Hbf (ab 15:12),2
16:57,16:57,RB 18164,Berlin Ostbahnhof (ab 16:39),3
17:03,17:03,RB 18163,Potsdam Hbf (ab 16:41),1
17:07,17:07,RE 73740,Frankfurt(Oder) (ab 15:38),4
17:18,17:18,RE 3126,Hennigsdorf(b Berlin) (ab 16:35),1
17:29,17:29,RE 73777,Brandenburg Hbf (ab 16:44),2
17:38,17:38,RE 3728,Dessau Hbf (ab 16:05),2
17:46,17:46,RE 73818,Berlin Ostbahnhof (ab 17:30),3
17:51,17:51,RE 73737,Magdeburg Hbf (ab 16:12),2
17:57,17:57,RB 18166,Berlin Ostbahnhof (ab 17:39),3
18:03,18:03,RB 18165,Potsdam Hbf (ab 17:41),1
18:07,18:07,RE 73742,Frankfurt(Oder) (ab 16:38),3
18:08,18:08,RE 73819,Brandenburg Hbf (ab 17:22),2
18:18,18:18,RE 3128,Hennigsdorf(b Berlin) (ab 17:34),1
18:21 (+8),18:29,IC 2431,Hannover Hbf (ab 15:36),2
18:29,18:29,R 5903,Schärding (ab 04:32),4
18:29,18:29,RE 73779,Brandenburg Hbf (ab 17:45),2
18:29,18:29,RE 73784,Frankfurt(Oder) (ab 17:07),4
18:38,18:38,RE 3730,Dessau Hbf (ab 17:05),2
18:44 (+25),19:09,ICE 1549,Köln Hbf (ab 13:34),2
18:46,18:46,RE 73820,Berlin Ostbahnhof (ab 18:30),3
18:51,18:51,RE 73739,Magdeburg Hbf (ab 17:12),2
19:07,19:07,RE 73744,Frankfurt(Oder) (ab 17:38),4
19:08,19:08,RE 73821,Brandenburg Hbf (ab 18:21),2
19:18,19:18,RE 3130,Hennigsdorf(b Berlin) (ab 18:34),1
19:29,19:29,RE 73781,Brandenburg Hbf (ab 18:44),2
19:29,19:29,RE 73786,Frankfurt(Oder) (ab 18:07),4
19:38 (+33),20:11,RE 3732,Dessau Hbf (ab 18:05),2
19:46 (+6),19:52,RB 73822,Berlin Ostbahnhof (ab 19:30),3
19:51 (+4),19:55,RE 73741,Magdeburg Hbf (ab 18:12),2
20:07,20:07,RE 73746,Frankfurt(Oder) (ab 18:38),4
20:18,20:18,RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:29,20:29,RE 73783,Brandenburg Hbf (ab 19:44),2
20:29,20:29,RE 73788,Frankfurt(Oder) (ab 19:07),4
20:33 (+15),20:48,ICE 2863,Hamburg Dammtor (ab 06:06),3
20:33 (+15),20:48,ICE 679,Berlin Ostbahnhof (ab 20:14),
20:33 (+28),21:01,ICE 794,Karlsruhe Hbf (ab 14:40),1
20:38,20:38,ICE 540,Berlin Ostbahnhof (ab 20:20),3
20:38,20:38,RE 3734,Dessau Hbf (ab 19:05),2
20:45,20:45,ICE 1055,Köln Hbf (ab 15:36),2
21:09,21:09,RE 73748,Frankfurt(Oder) (ab 19:42),4
21:11 (+26),21:37,ICE 643,Köln Hbf (ab 16:26),1
