Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:02,RE 73794,Brandenburg Hbf (an 00:55),4
00:09 (+98),ICE 901,Berlin-Spandau (an 23:56),2
00:21,ICE 947,Berlin Ostbahnhof (an 00:36),1
00:35,RE 7,Erfurt Hbf (an 17:06),
00:35,RE 94045,Berlin-Wannsee (an 00:47),
00:57,RE 3742,Berlin Ostbahnhof (an 01:14),
01:16 (+4),RE 73791,Frankfurt(Oder) (an 02:38),2
01:16,RE 94791,Frankfurt(Oder) (an 02:38),
01:25 (+132),ICE 1707,Berlin Ostbahnhof (an 01:40),2
01:51 (+14),ICE 274,Berlin Ostbahnhof (an 02:07),2
01:58,RB 94752,Potsdam Hbf (an 02:18),
02:31,RB 94793,Frankfurt(Oder) (an 03:55),
02:36,RE 3703,Berlin-Wannsee (an 02:48),
03:13,RE 73754,Magdeburg Hbf (an 05:08),
04:04,RE 73751,Frankfurt(Oder) (an 05:29),
04:24,RE 73801,Frankfurt(Oder) (an 05:36),
04:29 (+1),ICE 646,Köln Hbf (an 09:33),4
04:35 (+1),ICE 277,Chur (an 14:22),3
04:39,RE 92402,Berlin Ostbahnhof (an 04:56),
04:42,RE 2,Singen(Hohentwiel) (an 07:50),
04:42,RE 3101,Berlin-Spandau (an 04:53),
05:09,RE 73716,Magdeburg Hbf (an 06:50),
05:09,RE 73753,Frankfurt(Oder) (an 06:35),2
05:21,RE 3707,Dessau Hbf (an 06:53),3
05:34 (+1),ICE 946,Köln Hbf (an 10:35),3
05:39,RE 3704,Berlin Ostbahnhof (an 05:55),
05:44,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:52,RE 73713,Frankfurt(Oder) (an 07:18),
06:08 (+1),RE 73718,Magdeburg Hbf (an 07:50),4
06:09,RB 73803,Berlin Ostbahnhof (an 06:24),
06:30,RE 73755,Frankfurt(Oder) (an 07:47),2
06:30,RE 73760,Brandenburg Hbf (an 07:19),4
06:36 (+1),ICE 279,Interlaken Ost (an 15:59),3
06:39,RE 3706,Berlin Ostbahnhof (an 06:56),
06:44,ICE 1272,Frankfurt(M) Flughafen Fernbahnhof (an 23:46),1
06:44,ICE 2810,Berlin Ostbahnhof (an 07:02),1
06:44,RE 3105,Berlin-Spandau (an 06:54),
06:47,RE 73804,Brandenburg Hbf (an 07:33),
06:52 (+1),RE 73715,Frankfurt(Oder) (an 08:20),2
07:08,RE 73720,Magdeburg Hbf (an 08:50),
07:09,RE 73805,Berlin Ostbahnhof (an 07:24),
07:21,RE 3711,Dessau Hbf (an 08:53),4
07:30,RE 73757,Frankfurt(Oder) (an 08:43),2
07:30,RE 73762,Brandenburg Hbf (an 08:23),
07:39,RE 94008,Berlin Ostbahnhof (an 07:56),
