Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:02,00:02,RE 73794,Brandenburg Hbf (an 00:55),4
00:09 (+3),00:12,ICE 2833,Berlin Ostbahnhof (an 00:23),
00:09 (+3),00:12,ICE 901,Berlin Ostbahnhof (an 00:23),2
00:23,00:23,RB 21962,Berlin-Charlottenburg (an 00:26),4
00:35,00:35,RE 75445,Berlin-Wannsee (an 00:47),2
00:38 (+17),00:55,ICE 947,Berlin Ostbahnhof (an 00:51),2
00:46,00:46,RE 3140,Cottbus Hbf (an 02:40),1
00:57,00:57,RE 3141,Berlin-Charlottenburg (an 01:00),4
00:57,00:57,RE 3742,Berlin Ostbahnhof (an 01:14),1
01:02,01:02,RE 73796,Potsdam Hbf (an 01:22),2
01:16,01:16,RE 73791,Erkner (an 01:53),2
01:25 (+53),02:18,ICE 1707,Berlin Ostbahnhof (an 01:40),2
01:37,01:37,RB 21969,Berlin Ostbahnhof (an 01:53),
01:51 (+9),02:00,ICE 274,Berlin Ostbahnhof (an 02:07),2
02:31 (+2),02:33,ICE 2889,Hamm(Westf)Hbf (an 23:03),
02:31 (+2),02:33,ICE 647,Berlin Ostbahnhof (an 02:48),
02:52,02:52,RB 21803,Berlin Ostbahnhof (an 03:08),
03:22,03:22,RB 21805,Berlin Ostbahnhof (an 03:38),
04:04,04:04,RE 73751,Frankfurt(Oder) (an 05:29),
04:21,04:21,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:24,04:24,RE 73801,Frankfurt(Oder) (an 05:36),
04:29,04:29,ICE 646,Köln Hbf (an 09:33),4
04:33,04:33,RB 21813,Berlin Ostbahnhof (an 04:50),
04:35,04:35,ICE 277,Chur (an 14:22),3
04:39,04:39,RE 3702,Senftenberg (an 06:41),2
04:42,04:42,RE 2,Lübbenau(Spreewald) (an 21:32),
04:42,04:42,RE 3101,Berlin-Spandau (an 04:53),
04:45,04:45,RE 1,Weimar (an 22:04),
04:45,04:45,RE 73756,Berlin-Wannsee (an 04:57),
05:04,05:04,RB 21817,Flughafen BER (an 05:45),2
05:09,05:09,RE 73716,Magdeburg Hbf (an 06:50),3
